date,KINGSTON SECURITIES LTD,WELL LINK SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,SANFULL SECURITIES LTD,HEAD & SHOULDERS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,1.559193176327396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.559193176327396
2024-03-07,0.0,0.0,1.559193176327396,0.0,0.9569978959153193,0.0,0.0,0.0,0.0,0.0,2.516191072242715
2024-03-08,0.0,0.0,1.5596050633067011,0.0,0.9569978959153193,0.0,0.0,0.0,0.0,0.0,2.5166029592220207
2024-03-15,0.0,0.0,1.5604288372653117,0.0,0.9545265740394879,0.0,0.0,0.0,0.0,0.0,2.5149554113047996
2024-03-18,0.0,0.0,1.5604288372653117,0.0,0.9545265740394879,1.0556138947467697,0.0,0.0,0.0,0.0,3.5705693060515693
2024-03-20,0.0,0.0,1.560840724244617,0.0,0.9545265740394879,1.0556138947467697,0.0,0.0,0.0,0.0,3.5709811930308746
2024-03-21,0.0,0.0,1.560840724244617,0.0,0.9545265740394879,1.0556138947467697,0.0,0.0,0.0,0.6583031013748025,4.2292842944056765
2024-03-25,0.0,0.0,1.5616644982032273,0.0,0.9388748688258903,1.0556138947467697,0.0,0.0,0.0,0.6583031013748025,4.21445636315069
2024-03-26,0.0,0.0,1.5620763851825326,0.0,0.9368154339293644,1.0819746614223025,0.0,0.0,0.0,0.6583031013748025,4.239169581909001
2024-03-28,0.0,0.0,1.5624882721618378,0.0,0.9368154339293644,1.0819746614223025,0.0,0.0,0.0,0.6583031013748025,4.239581468888307
2024-04-03,0.0,0.0,1.5624882721618378,0.0,0.9368154339293644,1.0823865484016078,0.0,0.0,0.0,0.6582533454277025,4.239943599920512
2024-04-05,0.0,0.0,1.562900159141143,0.0,0.9368154339293644,1.0823865484016078,0.0,0.0,0.0,0.6582533454277025,4.2403554868998174
2024-04-08,0.0,0.0,1.562900159141143,0.0,0.9368154339293644,1.082798435380913,0.0,0.0,0.0,0.6581956812505998,4.2407097097020205
2024-04-09,0.0,0.0,1.562900159141143,0.07717439834975934,0.9368154339293644,1.082798435380913,0.0,0.0,0.0,0.6577837942712945,4.3174722210724745
