date,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHIEF SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,TOTAL_CCASS_PCT
2024-03-01,0.026507750000000004,1.5278650833333334,2.1493333333333333,1.7239999999999998,0.0,0.4808333333333334,0.0,0.0,0.0,0.13183333333333333,6.040372833333333
2024-03-04,0.020841083333333333,1.5303650833333333,2.1495,1.7273333333333336,0.0,0.48133333333333334,0.0,0.0,0.0,0.13183333333333333,6.041206166666667
2024-03-05,0.020841083333333333,1.5473650833333332,2.1675,1.6965000000000001,0.0,0.48133333333333334,0.4708333333333333,0.14533333333333334,0.0,0.13183333333333333,6.661539499999999
2024-03-06,0.00400775,1.5675317500000001,2.1623333333333337,1.6798333333333333,0.0,0.49816666666666665,0.4708333333333333,0.149,0.10866666666666668,0.13183333333333333,6.772206166666667
2024-03-07,0.0038410833333333335,1.6116984166666668,2.1456666666666666,1.6798333333333333,0.0,0.49583333333333335,0.46583333333333327,0.14933333333333332,0.10366666666666666,0.12233333333333335,6.778039499999999
2024-03-08,0.0038410833333333335,1.6145317499999998,2.1221666666666668,1.6789999999999998,0.06933333333333333,0.484,0.46583333333333327,0.14933333333333332,0.10366666666666666,0.12233333333333335,6.814039500000001
2024-03-11,0.00300775,1.6305317499999998,2.1065,1.6789999999999998,0.06916666666666667,0.484,0.451,0.14933333333333332,0.10616666666666667,0.12233333333333335,6.8010395
2024-03-12,0.002841083333333333,1.6356984166666668,2.0843333333333334,1.6811666666666665,0.06916666666666667,0.4696666666666667,0.451,0.14916666666666667,0.1045,0.12233333333333335,6.769872833333333
2024-03-13,0.002841083333333333,1.8058650833333332,1.9916666666666667,1.659,0.07833333333333334,0.46849999999999997,0.4618333333333334,0.14816666666666667,0.09366666666666668,0.12233333333333335,6.832206166666667
2024-03-14,11.005882416666667,1.8613650833333333,1.9619999999999997,1.6401666666666666,0.06933333333333333,0.473,0.4618333333333334,0.16266666666666665,0.08766666666666667,0.12233333333333335,17.8462475
2024-03-15,11.004549083333332,1.8631984166666666,1.9613333333333334,1.6401666666666666,0.06916666666666667,0.473,0.45849999999999996,0.16266666666666665,0.08766666666666667,0.12233333333333335,17.842580833333333
2024-03-18,11.004549083333332,1.8785317499999998,1.9351666666666667,1.6398333333333335,0.06916666666666667,0.47383333333333333,0.45849999999999996,0.16266666666666665,0.091,0.12233333333333335,17.835580833333335
2024-03-19,11.004549083333332,1.8871984166666669,1.9293333333333333,1.6398333333333335,0.06916666666666667,0.47250000000000003,0.4568333333333333,0.16266666666666665,0.091,0.12233333333333335,17.835414166666666
2024-03-20,11.004549083333332,1.8843650833333332,1.9293333333333333,1.6398333333333335,0.06916666666666667,0.47250000000000003,0.4568333333333333,0.16266666666666665,0.091,0.12233333333333335,17.832580833333335
2024-03-21,21.532122833333332,1.895365083333333,1.9269999999999998,1.6398333333333335,0.06916666666666667,0.47250000000000003,0.4568333333333333,0.16266666666666665,0.091,0.12233333333333335,28.368821249999996
2024-03-22,21.532122833333332,1.9243650833333334,1.9381666666666666,1.644,0.07133333333333333,0.4676666666666667,0.45066666666666666,0.16266666666666665,0.091,0.12233333333333335,28.40432125
