date,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,SDICS INTERNATIONAL SECURITIES (HONG,CITIC SECURITIES BROKERAGE (HK) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,CHINA SECURITIES (INTERNATIONAL)
2024-03-01,0.0,94.63114052604553,0.0,0.0,0.0,5.36885947395447,0.0,0.0,0.0
2024-03-04,0.0,94.63255867070175,0.0,0.0,0.0,5.367441329298236,0.0,0.0,0.0
2024-03-05,0.0,94.63071914091506,0.0,0.0,0.0,5.369280859084938,0.0,0.0,0.0
2024-03-06,61.89429230702251,36.05947146153511,0.0,0.0,0.0,2.0462362314423785,0.0,0.0,0.0
2024-03-07,61.927994249994555,36.060592860409905,0.004356064731121905,0.0,0.0,2.0070568248644176,0.0,0.0,0.0
2024-03-08,61.930017533733384,36.0585038606885,0.0043562070505211116,0.0,0.0,2.007122398527602,0.0,0.0,0.0
2024-03-11,61.97658957647623,36.00496981058047,0.004359482965320313,0.0,0.0,2.0140811299779844,0.0,0.0,0.0
2024-03-12,41.80708719305984,24.247904719894134,0.0029407440082340835,0.0,0.0,33.94206734303779,0.0,0.0,0.0
2024-03-13,41.820307846179865,24.204093339314735,0.0029416739595666914,0.0,0.0,33.97265714054583,0.0,0.0,0.0
2024-03-14,41.831752334730496,24.184866534303993,0.0029413927494668724,0.0,0.0,33.98043973821604,0.0,0.0,0.0
2024-03-15,41.82898403664733,24.183266053426863,0.0029411980970448313,0.0,0.0,33.98480871182876,0.0,0.0,0.0
2024-03-18,41.82836890905214,24.182910419776324,0.002941154844449673,0.0,0.0,33.985779516327085,0.0,0.0,0.0
2024-03-19,41.831137125713276,24.18451085357962,0.002941349491146538,0.0,0.0,33.981410671215954,0.0,0.0,0.0
2024-03-20,41.832675182186534,24.18540007500717,0.0029414576393331717,0.0,0.0,33.97898328516696,0.0,0.0,0.0
2024-03-21,41.833290436445196,24.185755781887707,0.002941500900834651,0.0,0.0,33.978012280766265,0.0,0.0,0.0
2024-03-22,40.53301228165161,23.429886302111534,0.0028495711395434987,0.0,0.0,32.8925996637506,3.1416521813467075,0.0,0.0
2024-03-25,40.50954778880191,23.425380522653295,0.0028490231411904643,0.0,0.0,32.88841088611743,3.173811779286177,0.0,0.0
2024-03-26,40.512433310302086,23.412802997385835,0.002849226078966301,0.0,0.0,32.86511051435654,3.2068039518765716,0.0,0.0
2024-03-27,40.51560785878129,23.3576486344014,0.0028494493439142885,0.0,0.0,32.86056219635555,3.263331861117839,0.0,0.0
2024-03-28,40.51762828504463,23.34171588148549,0.0028495914398273146,0.0,0.0,32.874311645567815,3.2634945964622326,0.0,0.0
2024-04-02,40.521092341780715,23.338724271332797,0.002849835065795567,0.0,0.0,32.873559942718316,3.263773609102373,0.0,0.0
2024-04-03,40.548826133763,23.214960467122477,0.002851785574242673,0.0,0.0,32.347803768634634,3.885557844905642,0.0,0.0
2024-04-05,40.586153253314684,23.2192044757161,0.0028544107782550988,0.0,0.0,32.30265317481839,3.8891346853725723,0.0,0.0
2024-04-08,40.59455408443667,23.212590557082187,0.0028550016059384034,0.0,0.0,32.30006066878413,3.8899396880910744,0.0,0.0
2024-04-09,40.59397460512323,23.212259201895694,0.0028549608513493262,0.0,0.0,32.30102707216627,3.8898841599634566,0.0,0.0
2024-04-10,40.59455408443667,23.21116305627922,0.0028550016059384034,0.0,0.0,32.301488169587095,3.8899396880910744,0.0,0.0
2024-04-11,40.59919051460143,23.202392764599647,0.002855327684543397,0.0,0.0,32.305177422924,3.8903839701903786,0.0,0.0
2024-04-12,40.616876624675065,23.195360927814438,0.00285657154283429,0.0,0.0,32.29282714885594,3.8920787271117203,0.0,0.0
2024-04-15,40.61745675803065,23.19426392241441,0.002856612343421936,0.0,0.0,32.29328838929913,3.892134317912388,0.0,0.0
2024-04-16,40.646484570415794,23.196546746137244,0.0028586538598973743,0.0,0.0,32.2591941454769,3.8949158841101728,0.0,0.0
