date,THE HONGKONG AND SHANGHAI BANKING,ORIENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,OCBC BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD
2024-03-01,92.01470274877477,0.0,0.0,0.0,0.0,1.9816748348604303,6.003622416364799,0.0,0.0
2024-03-04,92.0,0.0,0.0,0.0,0.0,1.981358189081225,6.0186418109187745,0.0,0.0
2024-03-07,86.41252688978939,0.0,0.0,6.023312822052128,0.0,1.8610235629596277,5.70313672519886,0.0,0.0
2024-03-14,86.40820410205102,0.0,0.0,5.977988994497249,0.0,1.8609304652326162,5.7528764382191095,0.0,0.0
2024-03-15,71.01407641482332,0.0,17.966922477120693,4.895965855460253,0.0,1.526654902121722,4.596380350474002,0.0,0.0
2024-03-19,67.68166360473752,0.0,17.195012312864012,4.663252941406403,0.0,1.45409060704374,4.327092209670484,4.678888324277841,0.0
2024-03-20,67.47067762927172,0.0,17.141409811791295,4.88641234462066,0.0,1.5859408486926703,4.251256673031213,4.6643026925924485,0.0
2024-03-21,67.45010913626443,0.0,17.14998440910508,4.887745556594949,0.0,1.5902712815715623,4.252416588712192,4.669473027751793,0.0
2024-03-22,67.48420806363565,0.0,17.156671605708492,4.88965140762692,0.0,1.5830928799812836,4.215082274038837,4.6712937690088125,0.0
2024-03-26,67.48420806363565,0.0,17.156671605708492,4.92864384309444,0.0,1.5830928799812836,4.176089838571317,4.6712937690088125,0.0
2024-03-28,67.48157679260733,0.0,17.156002651382227,4.928451670760713,0.0,1.583031153741178,4.175927009006902,4.675010722501657,0.0
2024-04-02,67.63365912542346,0.0,17.14886491959036,4.921926716249367,0.0,1.48748101709435,4.139246914060979,4.668821307581481,0.0
2024-04-03,67.64797507788161,0.0,17.149532710280376,4.922118380062305,0.0,1.4875389408099688,4.11993769470405,4.672897196261682,0.0
2024-04-05,67.61637863926514,0.0,17.141522652965904,4.9198193990347185,0.0,1.5296590378327883,4.118013389381909,4.674606881519539,0.0
2024-04-08,67.61374693496282,0.0,17.14085548593002,4.91962791421788,0.0,1.5295995018098314,4.117853111742498,4.67831705133694,0.0
