date,HUATAI FINANCIAL HOLDINGS (HONG KONG),GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,UOB KAY HIAN (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,CGS INTERNATIONAL SECURITIES HK LTD,TIGER BROKERS (HK) GLOBAL LTD,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,DBS BANK LTD
2025-03-25,65.19917279798425,6.865046065144373,6.469822403978363,3.718312915289288,3.703367482724187,3.2343023139957885,1.3743155545419723,3.961978819554383,4.267862006053454,1.2058196407339425
2025-03-27,68.14787457423537,6.856070735011113,6.4046616020585745,3.6582879988076398,3.716481310193364,3.206111722390507,1.7124833968235875,3.253784209118925,1.8505692204507298,1.1936752309101828
2025-03-28,68.62525360080276,6.857080884962732,6.4020235481764844,3.6567811649643094,3.525982306003602,3.2102684772558967,1.6961128419502833,3.2339305823945175,1.5993830325178668,1.1931835609715484
2025-03-31,68.96317900348217,6.840290934026637,6.381352443577208,3.650433660293795,3.5096837877767086,3.1999030365501975,1.6654127661990654,3.0061945230937894,1.5942188818847596,1.1893309631156714
2025-04-01,68.99736363785226,6.838494162340959,6.379778065248598,3.6495330418597547,3.509254559050691,3.199113570988008,1.690874256987997,2.941808992014497,1.5938255634337115,1.1999541502235176
2025-04-02,69.19522875160054,6.840151379414322,6.38468026342815,3.652399826945011,3.5119019005458227,3.201626542090382,1.7023628998072797,2.715674149692565,1.5950775469892364,1.200896739486691
2025-04-03,69.15699274128036,6.8562581343955005,6.380860040355336,3.650214442318947,3.510455700846414,3.1997108741035785,1.734864565044592,2.71634216433881,1.59412314492108,1.2001781923953774
2025-04-07,69.3359151903485,6.82654598660843,6.357460279471518,3.6368284497435366,3.507264192507901,3.187976959101862,1.7225192687397675,2.64143554151006,1.5882772087659849,1.1957769232024456
2025-04-08,69.36568302498858,6.812716520772423,6.344581104569423,3.6294608300284117,3.499941917335884,3.181518639106895,1.7160984517441629,2.6607288451537885,1.5850596188691577,1.2042110474312806
2025-04-09,69.71901878476004,6.792237566489217,6.325811780038405,3.6078992546279958,3.4762738760426655,3.172106677173605,1.6670743878229206,2.458558572211025,1.5803704994620245,1.200648601372108
2025-04-10,69.76306670719951,6.787991167876342,6.322260002401679,3.6058735136901165,3.474213855529219,3.17032562235423,1.6683020447815933,2.4285094547213024,1.5794831628176682,1.1999744686283271
2025-04-11,69.99595104544007,6.7154340749218555,6.309890786199003,3.5988187849897155,3.467416713004702,3.164123023435349,1.6650380871658939,2.384564305496321,1.5011364065798212,1.1976267727672714
2025-04-14,70.01056945642794,6.681945642795513,6.302847282139775,3.594801553062985,3.4637618636755825,3.1605910267471957,1.774050905953408,2.315681622088007,1.4994607420189818,1.1962899050905953
2025-04-15,70.13535003558444,6.670600154827262,6.292145477332019,3.5713632012851306,3.457019284499939,3.1552245587476864,1.8730007310689216,2.154123110283739,1.4969147599477592,1.1942586864231135
2025-04-16,70.33841892225598,6.652207990208184,6.274492962131867,3.561343797979364,3.4443144117931266,3.1463726258602733,1.8406897218136333,2.0585361663749877,1.49271518912593,1.1909082124566508
2025-04-17,70.87999522182263,6.608176656043755,6.232961744717341,3.537771065576218,3.420023122965542,3.1255466106937315,1.8016288465394479,1.749367531431448,1.4828348243806502,1.1616943758292484
2025-04-22,71.32176367979416,6.56600446367068,6.193184106280296,3.515193648277163,3.3850562409788703,3.105599935567147,1.5933354387050693,1.692210195227306,1.473371639794917,1.1542806517043973
2025-04-23,71.468597911806,6.540966819040782,6.169568109118165,3.501789428121998,3.372148263885223,3.0937575879142343,1.5778638767775515,1.657675538148074,1.467753343960812,1.149879121227157
2025-04-24,71.63004188660253,6.442924824571255,6.077092978274705,3.45034129053995,3.3199396034291278,3.0473855189654384,1.661217664749117,1.7871478426527903,1.4512647091855198,1.1326436810295704
2025-04-25,71.40866868251076,6.422574689719299,6.057898332212076,3.439443303607062,3.3096608136698693,3.0377602776433075,1.914188066437854,1.8322965592091147,1.4484430765913645,1.1290661983992802
2025-04-28,71.18292575764625,6.405218622874894,6.041527749779025,3.429114912049457,3.300716940365241,3.029551175689157,2.201787440362657,1.83757966721975,1.445562671546203,1.1260150624673706
2025-04-29,71.04307737677263,6.388654307583009,6.027347540195893,3.4202469960703765,3.292181069958848,3.0217165577281393,2.409330458552319,1.830662199826152,1.4436803796195763,1.123103113693052
2025-04-30,70.76174847451082,6.362588905570628,6.001318564859219,3.40824370036127,3.2787491296855777,3.00938809964407,2.707062948122072,1.9130486575079124,1.439330612680815,1.118520907057608
2025-05-02,70.51047222210852,6.3400228395541784,5.98003380908916,3.39871394481669,3.2673251116395767,2.9987147634387035,2.9717002369910728,1.9949818470568492,1.423481353837086,1.1145538714681575
