date,TIGER FAITH SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,42.83972752740247,38.5754266250164,5.263912933075189,4.660883229606347,0.24967286229641986,8.410376822603178
2024-03-05,0.0,34.386582810527536,28.07727893489771,25.2824440279286,3.570653812958953,3.0547560891216325,0.1636363021377026,5.4646480224278635
2024-03-12,0.0,34.47293143110664,28.147784175822686,25.345931120516692,3.5796201308106963,3.0624269291104342,0.16313074663568036,5.228175465997182
2024-03-22,0.0,34.472398019696364,28.137667980038607,25.345074012116353,3.5794990809084646,3.0623233688255955,0.16312523013945743,5.2399123082751595
2024-03-25,0.0,34.471450295550966,28.136894411941466,25.347126444787015,3.5794006723873784,3.0622391786338947,0.16312074545814112,5.239768251241138
2024-03-28,0.0,34.471292346592975,28.136765488060533,25.34746850592712,3.579384271493259,3.062225147385333,0.16311999803522878,5.2397442425055525
2024-04-03,0.0,34.47088454659789,28.136765488060533,25.34746850592712,3.579384271493259,3.062632947380421,0.16311999803522878,5.2397442425055525
2024-04-08,0.0,34.47056865676128,28.13650764384303,25.34815261880342,3.5793514701559124,3.0626048815319797,0.16311850320995222,5.239696225694426
2024-04-09,0.0,34.443076774197806,28.13650764384303,25.34815261880342,3.5793514701559124,3.090096764095455,0.16311850320995222,5.239696225694426
2024-04-12,0.0,34.44118306827729,28.141375097682452,25.346758958562116,3.579154674755922,3.089010522580957,0.16310953483359897,5.239408143307671
2024-04-15,0.0,34.44026672257598,28.141375097682452,25.34767530426343,3.579154674755922,3.089010522580957,0.16310953483359897,5.239408143307671
2024-04-23,0.0,34.49210169272516,28.183729802711177,25.385825298958054,3.584541548708431,3.093659695873322,0.16335502590186657,5.096786935121991
2024-04-30,0.0,5.542156371989606,4.529123328089412,4.078968996792363,0.5759605477745052,0.4947267972526032,0.026247722036883157,0.8189466226442624
2024-05-02,0.0,34.51490782888763,28.15093827782692,25.402610376119263,3.586911643270025,3.0810119133330005,0.16346303604855844,5.100156924514606
2024-05-03,0.0,34.342396554389744,28.01023518614563,25.276557628043538,3.5689836597401396,3.0656125011558832,0.18548956269419295,5.550724907830876
2024-05-07,0.0,34.31041867730878,27.984153492738685,25.128868238080475,3.5656604053308443,3.0627579601344213,0.1853168443334856,5.7628243820733065
2024-05-14,0.0,34.3179375248589,27.99028599103053,24.990106659975535,3.5664417906370196,3.015035320182633,0.185357455003793,5.934835258311592
2024-05-16,0.0,34.33047626320218,28.00051279652957,24.962700309431693,3.567744860799583,3.0161369230673674,0.1854251790220731,5.937003667947532
2024-05-21,0.0,34.34679032757444,28.01381882131981,24.927042099272093,3.5694402762338644,3.0175702108417988,0.18551329426648774,5.939824970491506
2024-05-22,0.0,34.34522099380871,28.012538846353763,24.93047224592054,3.569277185502625,3.017432335518452,0.18550481800789392,5.939553574888021
2024-06-03,0.0,34.30540794237798,27.980066653206535,24.897921760614366,3.5651396719841486,3.013934521694969,0.18528978043799949,6.052239669683999
2024-06-04,0.0,34.35826241641837,28.027650008064214,24.9402635699116,3.5712026062949134,2.9504868333904475,0.16274714250761527,5.989387423412841
2024-06-05,0.0,34.358270269944086,28.02763355680441,24.94026927069469,3.5712034225914757,2.95048750780535,0.1627471797079502,5.989388792452042
2024-06-06,0.0,34.37555672331029,27.991422567531636,24.95281730638744,3.5730001789747523,2.95197196742193,0.1628290616394444,5.992402194734502
2024-06-11,0.0,30.37442804488741,24.733372538370705,22.048444477297174,3.1571223039144267,14.247836970307134,0.14387664049176066,5.294919024731384
2024-06-14,0.0,30.374498392382243,24.733347548546597,22.048422200240193,3.157119114057041,14.247822574739393,0.14387649512331427,5.294913674911221
2024-06-18,0.0,30.37425287884032,24.73314763177162,22.040161101574206,3.1570935954300023,14.247707411244681,0.14387533218631823,5.303762048952854
2024-06-25,0.0,30.275389047988345,24.66070136354313,21.97325748766015,3.1468177091901834,14.22147460785023,0.14501835368397376,5.577341430083993
2024-06-26,0.0,30.24225278617382,24.649805863950085,21.94840309156207,3.143373532954198,14.20993315371812,0.14485963182154066,5.6613719398201585
2024-06-28,0.0,30.24366446947271,24.646288579329077,21.949427624830165,3.1435202630258634,14.210596461622234,0.14486639374911167,5.661636207970839
2024-07-02,0.0,30.239527149961752,24.642916978287982,21.960104907546846,3.1430902308870516,14.208652458505078,0.14484657609249324,5.6608616987188
2024-07-03,0.0,30.233444912490842,24.621869589962284,21.955687954455236,3.1424580443756045,14.205794596410684,0.14481744232766042,5.695927459977688
2024-07-08,0.0,30.22955356437538,24.61870050797029,21.948839847858288,3.1420535784530372,14.203966167920598,0.1447988028678529,5.712087530554558
