date,CHINA INTERNATIONAL CAPITAL CORPORATION,ABCI SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,CHINA CONSTRUCTION BANK (ASIA),CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,CITIBANK N.A.,TOTAL_CCASS_PCT
2024-03-01,0.0,9.474758516291924,0.0,0.0,0.0,0.0,0.0,0.0,5.274257589243659,0.0,14.749016105535585
2024-03-04,0.0,9.474758516291924,0.0,0.0,0.0,0.0,0.0,0.0,5.217587492281242,0.0,14.692346008573168
2024-03-11,0.0,9.474758516291924,0.0,0.0,1.858495829882462,0.0,0.0,0.0,5.217587492281242,0.0,16.55084183845563
2024-03-12,0.0,9.474758516291924,0.0,0.0,2.1418463146945466,0.0,0.0,0.0,4.928569997772916,0.0,16.545174828759386
2024-03-13,0.0,9.474758516291924,0.0,0.0,2.207271941637657,0.0,0.0,0.0,4.862379324520813,0.0,16.544409782450394
2024-03-14,0.0,9.474758516291924,0.0,0.0,2.207271941637657,2.154427076220203,0.0,0.0,4.862379324520813,0.0,18.698836858670596
2024-03-15,0.0,9.474758516291924,0.0,0.0,2.2652737858786907,2.154427076220203,0.0,0.0,4.805709227558396,0.0,18.700168605949212
2024-03-18,0.0,9.474758516291924,0.0,0.0,2.4887806482984627,2.154427076220203,0.0,0.0,4.579028839708728,0.0,18.69699508051932
2024-03-21,0.0,9.474758516291924,0.0,0.0,2.828801230072964,2.154427076220203,0.0,0.0,4.553527296075641,0.0,19.011514118660735
2024-03-22,0.0,9.474758516291924,0.0,0.0,3.1303144809615033,2.154427076220203,0.0,0.0,4.553527296075641,0.0,19.31302736954927
2024-03-25,0.0,9.474758516291924,0.0,0.0,3.1400900726875203,2.154427076220203,0.0,0.0,4.553527296075641,0.0,19.32280296127529
2024-03-26,0.0,9.474758516291924,0.0,0.0,3.384904891565161,2.154427076220203,0.0,0.0,4.286979495012913,0.0,19.3010699790902
2024-03-28,0.0,9.474758516291924,0.0,0.0,3.5561052544886227,2.154427076220203,0.0,0.0,4.116969204125662,0.0,19.302260051126414
2024-04-02,0.0,9.474758516291924,0.0,0.0,3.7759852307028003,2.154427076220203,0.0,0.0,3.8885887133671226,0.0,19.29375953658205
2024-04-05,0.0,9.474758516291924,0.0,0.0,3.783579023695764,2.154427076220203,0.0,0.0,3.8885887133671226,0.0,19.301353329575015
2024-04-08,0.0,9.48405241219376,0.0,0.0,3.783579023695764,2.154427076220203,0.0,0.0,3.8885887133671226,0.0,19.310647225476853
2024-04-10,0.0,9.48405241219376,0.0,0.0,3.7838623741805764,2.154427076220203,0.0,0.0,3.8885887133671226,0.0,19.310930575961663
2024-04-11,0.0,9.48405241219376,0.0,0.0,3.7838623741805764,2.154427076220203,1.7893583115883134,0.0,3.8885887133671226,0.0,21.100288887549976
2024-04-17,0.0,9.48518581413301,0.0,0.0,3.7838623741805764,2.154427076220203,1.7893583115883134,0.0,3.8885887133671226,0.0,21.101422289489225
2024-04-18,0.0,9.48518581413301,0.0,0.0,3.7838623741805764,2.154427076220203,1.7893583115883134,0.6811745654882512,3.88337506444658,0.5658225831212514,22.34320578917818
2024-04-19,0.0,9.48518581413301,0.0,0.0,3.7838623741805764,2.154427076220203,1.7893583115883134,0.6912618427475613,3.88337506444658,0.5658225831212514,22.353293066437494
2024-04-22,0.0,9.48518581413301,0.0,0.0,3.7838907092290577,2.154427076220203,1.7893583115883134,0.6916585334262982,3.88337506444658,0.5658225831212514,22.353718092164712
2024-04-23,0.0,9.490767818683807,0.0,0.0,3.783975714374501,2.154427076220203,1.7893583115883134,0.6961921411832915,3.88337506444658,0.5658225831212514,22.36391870961795
2024-04-26,0.0,9.490767818683807,0.0,0.0,3.784004049422982,2.154427076220203,1.7893583115883134,0.6961921411832915,3.88337506444658,0.5658225831212514,22.36394704466643
2024-04-30,0.0,9.490767818683807,0.0,0.0,3.783975714374501,2.154427076220203,1.7893583115883134,0.6961921411832915,3.88337506444658,0.5658225831212514,22.36391870961795
2024-05-06,0.0,9.490767818683807,0.0,0.0,3.783975714374501,2.154427076220203,1.7893583115883134,0.7055993772790528,3.88337506444658,0.5658225831212514,22.37332594571371
2024-05-07,0.0,9.490767818683807,0.0,0.0,3.783975714374501,2.156013838935151,1.7893583115883134,0.7055993772790528,3.88337506444658,0.5658225831212514,22.374912708428656
2024-05-08,0.0,9.490767818683807,0.0,0.0,3.783975714374501,2.156013838935151,1.7893583115883134,0.7057977226184212,3.88337506444658,0.5658225831212514,22.375111053768027
2024-05-09,0.0,9.490767818683807,0.0,0.0,3.783975714374501,2.156013838935151,1.7906050537214866,0.7057977226184212,3.88337506444658,0.5658225831212514,22.376357795901196
2024-05-13,0.0,9.490767818683807,0.0,0.0,3.789642724070743,2.156013838935151,1.7906050537214866,0.7057977226184212,3.88337506444658,0.5658225831212514,22.38202480559744
2024-05-14,0.0,9.493034622562304,0.0,0.0,3.789642724070743,2.156013838935151,1.7893583115883134,0.7057977226184212,3.88337506444658,0.5658225831212514,22.383044867342765
2024-05-16,0.0,9.493034622562304,0.0,0.0,3.792476228918863,2.156013838935151,1.7893583115883134,0.7057977226184212,3.88337506444658,0.5658225831212514,22.385878372190884
2024-05-17,0.0,9.493034622562304,0.0,0.0,3.792476228918863,2.154427076220203,1.7893583115883134,0.7057977226184212,3.88337506444658,0.5658225831212514,22.384291609475937
