date,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DEUTSCHE BANK AG,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,79.54700389879972,0.0,20.45299610120028,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,79.51652189898432,0.0,20.483478101015674,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,79.47914671977327,0.0,20.520853280226724,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,79.45215978417487,0.0,20.547840215825133,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,79.44335825186889,0.0,20.55664174813111,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,79.4439886834983,0.0,20.5560113165017,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,79.46538084140808,0.0,20.53461915859193,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,79.4491249319647,0.0,20.550875068035293,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,79.43178682039802,0.0,20.568213179601972,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,60.092149360684864,0.0,15.514896129379554,0.0,0.0,0.0,0.0,24.392954509935578
2024-03-15,0.0,59.98113327661741,0.0,15.629864981393707,0.0,0.0,0.0,0.0,24.389001741988878
2024-03-18,0.0,59.93749638289253,0.0,15.673360726893918,0.0,0.0,0.0,0.0,24.389142890213552
2024-03-19,0.0,59.881913692801945,0.0,15.7240021996469,0.0,0.0,0.0,0.0,24.394084107551155
2024-03-20,0.0,59.93158019646092,0.0,15.674618105199789,0.0,0.0,0.0,0.0,24.393801698339285
2024-03-21,0.0,60.00567270790764,0.0,15.61962756936043,0.0,0.0,0.0,0.0,24.37469972273193
2024-03-22,0.0,59.96608423379885,0.0,15.675913439556432,0.0,0.0,0.0,0.0,24.358002326644712
2024-03-25,0.0,59.98414342675594,0.0,15.67891017887835,0.0,0.0,0.0,0.0,24.336946394365707
2024-03-26,0.0,59.99421380008679,0.0,15.687545204686822,0.0,0.0,0.0,0.0,24.318240995226382
2024-03-27,0.0,59.998842760017354,0.0,15.685809344712858,0.0,0.0,0.0,0.0,24.31534789526978
2024-03-28,0.0,60.03147674539711,0.0,15.656787751842893,0.0,0.0,0.0,0.0,24.31173550276
2024-04-02,0.0,60.02707831882985,0.0,15.66203017959637,0.0,0.0,0.0,0.0,24.310891501573785
2024-04-03,0.0,60.05425038461094,0.0,15.655689350036436,0.0,0.0,0.0,0.0,24.29006026535263
2024-04-05,0.0,60.17995928941525,0.0,15.561389711324944,0.0,0.0,0.0,0.0,24.258650999259807
2024-04-08,0.0,60.17822446336047,0.0,15.566015914137676,0.0,0.0,0.0,0.0,24.255759622501852
2024-04-10,0.0,60.185832981595944,0.0,15.566258651294298,0.0,0.0,0.0,0.0,24.247908367109762
2024-04-11,0.0,60.182123034227565,0.0,15.576433857539316,0.0,0.0,0.0,0.0,24.241443108233117
2024-04-12,0.0,60.221432081635015,0.0,15.548810452981817,0.0,0.0,0.0,0.0,24.22975746538317
2024-04-15,0.0,60.21980944452153,0.0,15.554900328384441,0.0,0.0,0.0,0.0,24.22529022709403
2024-04-16,0.0,60.26530258366568,0.0,15.539564187041211,0.0,0.0,0.0,0.0,24.195133229293102
2024-04-17,0.0,60.26900023697915,0.0,15.538896370750994,0.0,0.0,0.0,0.0,24.192103392269857
2024-04-18,0.0,60.159417778547905,0.0,15.687633570149599,0.0,0.0,0.0,0.0,24.152948651302488
2024-04-19,0.0,60.30268896398348,0.0,15.596568754873926,0.0,0.0,0.0,0.0,24.100742281142594
2024-04-22,0.0,60.234657978197944,0.0,15.672172059409718,0.0,0.0,0.0,0.0,24.093169962392334
2024-04-23,0.0,60.24252297844561,0.0,15.666360479962101,0.0,0.0,0.0,0.0,24.091116541592285
2024-04-24,0.0,60.24069238057822,0.0,15.669270412054262,0.0,0.0,0.0,0.0,24.09003720736752
2024-04-25,0.0,60.28930083705454,0.0,15.630794826321292,0.0,0.0,0.0,0.0,24.079904336624168
2024-04-26,0.0,60.28919866665896,0.0,15.631517224247396,0.0,0.0,0.0,0.0,24.079284109093642
2024-04-29,0.0,60.298305711364385,0.0,15.626390004101415,0.0,0.0,0.0,0.0,24.0753042845342
2024-04-30,0.0,60.374251842950564,0.0,15.578420724239134,0.0,0.0,0.0,0.0,24.0473274328103
2024-05-02,0.0,60.51470885768624,0.0,15.46959090357302,0.0,0.0,0.0,0.0,24.015700238740745
2024-05-03,0.0,60.518785300119674,0.0,15.475109983177344,0.0,0.0,0.0,0.0,24.006104716702993
2024-05-08,0.0,60.633180703945236,0.0,15.381457841912955,0.0,0.0,0.0,0.0,23.985361454141806
2024-05-09,0.0,60.50200594267744,0.0,15.538829731885818,0.0,0.0,0.0,0.0,23.959164325436742
