date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,TOTAL_CCASS_PCT
2024-12-06,88.12528319135498,4.1776182081483455,4.780464379957094,0.0,0.03674631500131662,0.0,0.0039845401808656575,0.12661983241417535,0.22810262739103773,4.9191854084761205e-05,97.4788682863019
2024-12-10,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.030154606553958622,0.0,0.0039845401808656575,0.04186226782613178,0.12061842621583449,0.00044272668676285085,97.7219252373347
2024-12-11,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.027203095308872945,0.0,0.0039845401808656575,0.03925509955963944,0.12411104785585252,0.00044272668676285085,97.71985917946316
2024-12-12,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.028777234639585304,0.0,0.0039845401808656575,0.03773015208301184,0.11569924080735836,0.00044272668676285085,97.71149656426874
2024-12-13,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.028777234639585304,0.0,0.004279691305374225,0.035910053481875676,0.10861561381915275,4.9191854084761205e-05,97.70249445497122
2024-12-16,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.0390583321433004,0.0,0.005657063219747539,0.030007030991704334,0.12411104785585252,0.0017709067470514034,97.72546705082881
2024-12-17,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.04073085518218228,0.0,0.005657063219747539,0.030744908802975753,0.1284399310153115,0.0017709067470514034,97.73220633483842
2024-12-18,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.04122277372302989,0.0,0.004279691305374225,0.025333804853652022,0.12907942511841342,0.0017709067470514034,97.72654927161868
2024-12-19,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.042649337491487964,0.0,0.004279691305374225,0.025284612999567257,0.13075194815729527,0.0017709067470514034,97.72959916657193
2024-12-20,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.039205907705554675,0.0,0.004279691305374225,0.024792694458719646,0.1256359953324801,0.0020168660174752096,97.72079382469076
2024-12-23,88.12528319135498,4.619115098559077,4.780464379957094,0.0,0.0384188380401985,0.0,0.004279691305374225,0.02080815427785399,0.1289318495561591,0.0020660578715599705,97.7193672609223
2024-12-27,88.12528319135498,4.869452443996427,4.780464379957094,0.0,0.03679550685540138,0.0,0.004279691305374225,0.02075896242376923,0.12214337369246207,0.0009838370816952241,97.96016138666721
2024-12-30,88.12528319135498,5.025882539985967,4.780464379957094,0.0,0.03281096667453572,0.0,0.004279691305374225,0.020414619445175898,0.10713985819660991,0.0008362615194409404,98.09711150843918
2025-01-02,88.12528319135498,5.025882539985967,4.780464379957094,0.0,0.030744908802975753,0.0,0.003640197202272329,0.01879128826037878,0.10226986464221853,0.0007378778112714181,98.08781424801715
2025-01-03,88.12528319135498,5.025882539985967,4.780464379957094,0.0,0.02808854868239865,0.0,0.003640197202272329,0.0180042185950226,0.06616304374400382,0.0006394941031018956,98.04816561362485
2025-01-06,88.12528319135498,5.308047015016157,4.780464379957094,0.0,0.036057629044129964,0.0,0.003640197202272329,0.017807451178683556,0.058095579674102976,0.0006394941031018956,98.33003493753053
2025-01-07,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03397220247884984,0.0,0.0036381229861575815,0.017305666096317143,0.058209967778521304,0.00063912971378444,98.32857747080541
2025-01-08,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03579126397192864,0.0,0.0036381229861575815,0.013225068692924181,0.05442435331995193,0.0005408020655099107,98.32243199278827
2025-01-09,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.038249455178791865,0.0,0.0036381229861575815,0.013225068692924181,0.05270361947514766,0.0005408020655099107,98.32316945015032
2025-01-10,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03874109342016451,0.0,0.0036381229861575815,0.011946809265355301,0.05024542826828443,0.0005408020655099107,98.31992463775727
2025-01-13,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03741367016845837,0.0,0.0036381229861575815,0.013225068692924181,0.053637732133755694,4.9163824137264614e-05,98.32277613955722
2025-01-14,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03529962573055599,0.0,0.0036381229861575815,0.012635102803277006,0.057226691295776004,9.832764827452923e-05,98.32371025221582
2025-01-15,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03259561540300644,0.0,0.0036381229861575815,0.012979249572237856,0.05865244219575668,0.015312073027551063,98.33798988493649
2025-01-16,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.037167851047772045,0.0,0.0036381229861575815,0.011651826320531713,0.05781665718542318,0.015312073027551063,98.34039891231922
2025-01-17,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.035692936323654105,0.0,0.0036381229861575815,0.012585938979139741,0.06111063340261991,0.015312073027551063,98.34315208647091
2025-01-20,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03397220247884984,0.0,0.0036381229861575815,0.012438447506727946,0.059045752788854794,0.015312073027551063,98.33921898053993
2025-01-21,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03298892599610455,0.0,0.0036381229861575815,0.0127825942756888,0.058701606019893944,0.015312073027551063,98.33823570405717
2025-01-22,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03397220247884984,0.0,0.0036381229861575815,0.011848481617080771,0.05580094039579533,0.015410400675825591,98.33548252990549
2025-01-23,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03490631513745787,0.0,0.0036381229861575815,0.009783601003315658,0.05535846597855995,0.03200564951335926,98.35050453637064
2025-01-24,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03559460867537958,0.0,0.0036381229861575815,0.009685273355041128,0.0563909062854425,0.03200564951335926,98.35212694256717
2025-01-27,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03323474511679088,0.0,0.0036381229861575815,0.009439454234354805,0.07826880802652526,0.03200564951335926,98.37139916162897
2025-02-03,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.029891605075456882,0.0,0.0036381229861575815,0.010422730717100098,0.09400123175044993,0.046877706314881806,98.39964377859583
2025-02-04,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03171066656853567,0.0,0.0036381229861575815,0.01012774777227651,0.09783601003315658,0.04697603396315633,98.40510096307507
2025-02-05,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.030383243316829532,0.0,0.020206331720415756,0.010275239244688303,0.09714771649523486,0.04697603396315633,98.4198009464921
2025-02-06,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.029154147713397912,0.0,0.03795447223396828,0.009832764827452921,0.09709855267109761,0.04682854249074454,98.43568086168844
2025-02-07,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.027974215934103562,0.0,0.04346082053734192,0.009832764827452921,0.09695106119868581,0.04682854249074454,98.43985978674012
2025-02-10,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.025024386485867686,0.0,0.057226691295776004,0.009832764827452921,0.09980256299864716,0.03008580218079908,98.43678458954032
2025-02-11,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.0279250521099663,0.0,0.057226691295776004,0.007620392741276015,0.08726578784364468,0.029790819235975492,98.42464112497842
2025-02-12,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.027580905341005445,0.0,0.057226691295776004,0.007915375686099603,0.08746244314019375,0.029790819235975492,98.42478861645083
2025-02-13,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.02684344797894648,0.0,0.057226691295776004,0.007964539510236866,0.08697080489882109,0.029790819235975492,98.42360868467154
2025-02-14,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.02994076889959415,0.0,0.057226691295776004,0.007718720389550544,0.08741327931605648,0.029790819235975492,98.42690266088874
2025-02-17,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.031169864503025762,0.0,0.05717752747163874,0.00821035863092319,0.08343100956093805,0.0666071489411661,98.46140829085948
2025-02-18,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.026155154441024772,0.0,0.05717752747163874,0.008505341575746778,0.08760993461260554,0.06663173085323473,98.46089207070602
2025-02-19,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.0334805642374772,0.0,0.05717752747163874,0.008407013927472248,0.07998954187132952,0.08626530402245135,98.48013233328216
2025-02-20,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.040461827264968775,0.0,0.05717752747163874,0.008407013927472248,0.07753135066446629,0.08641279549486315,98.48480289657519
2025-02-21,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.045919011744205145,0.0,0.05717752747163874,0.009291962761943011,0.0764005827093092,0.08680610608796126,98.49040757252683
2025-02-24,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.046312322337303265,0.0,0.05717752747163874,0.009144471289531218,0.07492566798519126,0.08872349522931458,98.49109586606475
2025-02-25,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.05304776624410852,0.0,0.05717752747163874,0.009390290410217541,0.073204934140387,0.12170996303421226,98.52934286305235
2025-02-26,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.05127786857516698,0.0,0.05717752747163874,0.009390290410217541,0.07733469536791723,0.10926414095386372,98.5192569045306
2025-02-27,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.051916998288951424,0.0,0.05717752747163874,0.010521058365374626,0.07192667471281812,0.10906748565731467,98.51542212624788
2025-02-28,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.050343755916558965,0.0,0.05717752747163874,0.013274232517061446,0.07064841528524925,0.10980494301937363,98.51606125596166
2025-03-03,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.04842636677520564,0.0,0.05717752747163874,0.010078583948139245,0.06804273260597422,0.10149625674017591,98.50003384929292
2025-03-04,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.04272336317528295,0.0,0.05717752747163874,0.01651904491012091,0.07369657238175965,0.11221888678451333,98.5171477764751
2025-03-05,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.0383477828270664,0.0,0.05717752747163874,0.011160188079159066,0.07187751088868086,0.11226805060865061,98.50564344162697
2025-03-06,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.038052799882242805,0.0,0.04891800501657829,0.013126741044649653,0.0716808555921318,0.11128477412590532,98.4978755574133
2025-03-07,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.03780698076155648,0.0,0.026794284154809212,0.012094300737767094,0.06317551401638502,0.11128477412590532,98.4659682355482
2025-03-10,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.09847513974694101,0.0,0.026794284154809212,0.010570222189511891,0.048672185895891965,0.12151084954645634,98.52083506328539
2025-03-11,88.07506863638578,5.362003315706628,4.777740429659374,0.0,0.09926176093313725,0.0,0.0075712289171387505,0.010521058365374626,0.047393926468323085,0.14041188173602773,98.51997223817179
2025-03-12,88.07506863638578,5.362003315706628,4.777740429659374,0.02994076889959415,0.09282129997115558,0.005899658896471753,0.0075712289171387505,0.017846468161827053,0.046459813809715055,0.0987971627950401,98.51414878320273
2025-03-13,88.07506863638578,5.362003315706628,4.777740429659374,0.06573203287152278,0.08136612894717293,0.010176911596413775,0.0035889591620203165,0.019911348775592166,0.04695145205108771,0.09152091682272494,98.53406013197832
2025-03-14,88.07506863638578,5.362003315706628,4.777740429659374,0.11769819498461148,0.09011728964360602,0.0069320992033543105,0.0035889591620203165,0.020108004072141226,0.04788556470969573,0.07572212193621496,98.57686461546344
2025-03-17,88.07506863638578,5.362003315706628,4.777740429659374,0.14193596028428293,0.16804195090117044,0.016125734317022793,0.0032939762171967286,0.01524078548255203,0.03525046190641872,0.047342304452978955,98.6420435553134
2025-03-18,88.07506863638578,5.362003315706628,4.777740429659374,0.2341181305416541,0.25162045193452026,0.0048672185895891965,0.0032939762171967286,0.014749147241179383,0.030334079492692265,0.04055769672203644,98.79435308249064
2025-03-19,88.07506863638578,5.362003315706628,4.777740429659374,0.2686802989101511,0.3183480522448227,0.000884948834470763,0.0032939762171967286,0.012143464561904358,0.023008669696239836,0.05196370392188183,98.89313549613846
