date,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,PRUDENTIAL BROKERAGE LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,OSHIDORI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.
2024-03-04,0.0,0.0,0.0,42.68504601348717,0.0,11.683283809428936,0.0,0.0,45.6316701770839
2024-03-05,0.0,0.0,0.0,42.837290359644236,0.0,11.52441567583238,0.0,0.0,45.638293964523385
2024-03-06,0.0,0.0,0.0,42.932646003243754,0.0,11.403746440360763,0.0,0.0,45.66360755639548
2024-03-07,0.0,0.0,0.0,42.949252789923015,0.0,11.369476503135472,0.0,0.0,45.68127070694151
2024-03-08,0.0,0.0,0.0,32.04757329228979,0.0,8.48359652055902,0.0,25.411951630868483,34.0568785562827
2024-03-11,0.0,0.0,0.0,32.05147366194168,0.0,8.48359652055902,0.0,25.411951630868483,34.052978186630824
2024-03-12,0.0,0.0,42.39181958333872,18.66934522401312,0.0,4.5317590653231,0.0,14.799254442128726,19.607821685196328
2024-03-13,0.0,0.0,42.86141374275979,18.76436006387907,0.0,4.388976233649522,0.0,14.8541507283452,19.13109923136642
2024-03-14,0.0,33.687297915085054,28.566883576959523,12.469026380502127,0.0,2.890153184931362,0.0,9.863478970603456,12.523159971918474
2024-03-15,0.0,33.737372299206434,28.732887961721644,12.510897065303897,0.0,2.750694731044868,0.0,9.873703281461024,12.394444661262133
2024-03-18,0.0,33.67570461971849,28.7084805970659,12.731788375977073,0.0,2.7483581330166196,0.0,9.79717769591786,12.338490578304057
2024-03-20,0.0,33.717573557543616,28.631012405328704,12.836600155397484,0.0,2.7505384174311254,0.0,9.804949839431453,12.25932562486762
2024-03-21,0.0,33.7180845165223,28.629930873617965,12.836794682328495,0.0,2.750580099324344,0.0,9.805098424475615,12.259511403731274
2024-03-22,0.0,33.749333517130616,28.656464312278963,12.84869147334105,0.0,2.7531292619007313,0.0,9.814185522127344,12.178195913221296
2024-03-26,0.0,33.753122107907046,28.64845551823486,12.850133825794629,0.0,2.753438319266936,0.0,9.815287230779708,12.179562998016822
2024-03-28,0.0,33.727005928270195,28.616352519196514,12.92750177380024,0.0,2.7513078707254626,0.0,9.807692739115002,12.170139168892582
2024-04-02,0.0,33.71422984106758,28.60551239256376,12.960485603810342,0.0,2.7502656510468944,0.0,9.803977498635076,12.165529012876348
2024-04-03,0.0,33.702074435165585,28.60291198410626,12.959307419832552,0.0,2.768196806077456,0.0,9.803086259713895,12.164423095104247
