date,BANK OF CHINA (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHAOSHANG SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,CITIBANK N.A.,LEADING SECURITIES COMPANY LTD,SINOPAC SECURITIES (ASIA) LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-07,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,21.862934362934364,78.13706563706563,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,21.483660996049867,76.78156104327756,0.0,0.0,1.7347779606725697,0.0,0.0,0.0
2024-04-09,0.0,0.0,21.93004237027208,76.32608224957738,0.0,0.0,1.7438753801505307,0.0,0.0,0.0
2024-04-10,0.0,0.0,25.627904429745136,72.71436367378615,0.0,0.0,1.6577318964687042,0.0,0.0,0.0
2024-04-11,0.0,0.0,22.993045385847154,75.2904924930444,0.0,0.0,1.716462121108437,0.0,0.0,0.0
2024-04-12,0.0,0.0,26.030173215214692,72.32106133993416,0.0,0.0,1.6487654448511528,0.0,0.0,0.0
2024-04-15,74.19398136708121,0.0,7.12571837002038,18.26392192443722,0.0,0.0,0.4163783384611882,0.0,0.0,0.0
2024-04-16,74.49075460745831,0.0,6.754224604634529,18.336976951160917,0.0,0.0,0.41804383674623896,0.0,0.0,0.0
2024-04-17,74.78133086407831,0.0,6.390488077829337,18.40850650067715,0.0,0.0,0.41967455741519866,0.0,0.0,0.0
2024-04-18,44.41543330686177,40.58240458100879,3.8194001792721735,10.93350149445531,0.0,0.0,0.2492604384019507,0.0,0.0,0.0
2024-04-22,44.40635539561688,40.574110088769,3.9242191942122306,10.846105828447694,0.0,0.0,0.24920949295420408,0.0,0.0,0.0
2024-04-23,44.13872185850339,40.32957318630208,4.503260208024662,10.780737219812426,0.0,0.0,0.24770752735744683,0.0,0.0,0.0
2024-04-24,44.33238388078634,40.36100469342246,4.2695714812956345,10.789139362258174,0.0,0.0,0.24790058223739664,0.0,0.0,0.0
2024-04-25,44.37749647444314,40.40207601521763,4.1721562839994695,10.800118380694562,0.0,0.0,0.2481528456451988,0.0,0.0,0.0
2024-04-26,44.5346001527831,40.54510604752729,3.8363138708389934,10.834948581082978,0.0,0.0,0.2490313477676392,0.0,0.0,0.0
2024-04-29,44.681848341868466,39.84554211216791,4.065102188819884,11.156751791407016,0.0,0.0,0.25075556573671837,0.0,0.0,0.0
