date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,BANK OF CHINA (HONG KONG) LTD
2024-03-01,4182020304.0,1603655396.0,342840477.0,544701173.0,32656725.0,771428734.0,194524020.0,0.0,146618066.0
2024-03-04,4236570073.0,1579878812.0,342781494.0,550004047.0,28747360.0,771276734.0,204473672.0,0.0,145937721.0
2024-03-05,4232285699.0,1585370023.0,342212490.0,567726047.0,23896623.0,770650555.0,201234272.0,0.0,144762772.0
2024-03-06,4230665261.0,1587475484.0,350281065.0,572194047.0,24106610.0,770144439.0,200651006.0,0.0,136779169.0
2024-03-07,4236227445.0,1592868292.0,349239289.0,577688056.0,22300610.0,769846473.0,198305006.0,772000.0,138940236.0
2024-03-08,4247403737.0,1582726680.0,348868344.0,572260056.0,20402610.0,769661824.0,197192796.0,0.0,142065889.0
2024-03-11,4252025501.0,1583622866.0,348124088.0,570108056.0,20176610.0,769396194.0,198970676.0,0.0,145184026.0
2024-03-12,4261889813.0,1588596953.0,347998569.0,570030243.0,20320211.0,769219510.0,198179544.0,0.0,147110665.0
2024-03-13,4239704397.0,1593218717.0,347544959.0,567792243.0,21438211.0,769277081.0,197318754.0,778000.0,147610702.0
2024-03-14,4241813229.0,1599933612.0,346698341.0,566100243.0,20875566.0,968856187.0,194412754.0,0.0,138376161.0
2024-03-15,4258179624.0,1592563673.0,346041121.0,567501678.0,22435927.0,968088066.0,187774129.0,782000.0,137702161.0
2024-03-18,4257309121.0,1594871735.0,345805557.0,559815678.0,24418212.0,968081436.0,192188129.0,0.0,140613354.0
2024-03-19,4252221992.0,1589192112.0,352161441.0,561068621.0,20796994.0,968157188.0,191158129.0,0.0,144186756.0
2024-03-20,4244291179.0,1592501822.0,351963919.0,560999042.0,19905868.0,968082237.0,190960129.0,0.0,147484981.0
2024-03-21,4245216473.0,1602417444.0,351706982.0,561995042.0,21040373.0,968426680.0,190638129.0,0.0,151000588.0
2024-03-22,4246711305.0,1603814825.0,351554433.0,561237042.0,21002373.0,966323040.0,190488129.0,0.0,154520588.0
2024-03-25,4233221795.0,1610449612.0,350957931.0,561343042.0,20961211.0,968496317.0,191805009.0,0.0,157736542.0
2024-03-26,4227879743.0,1617971961.0,350512854.0,564215042.0,20783211.0,970400884.0,191829660.0,0.0,161303501.0
2024-03-27,4229932497.0,1611211900.0,350475453.0,548215042.0,18173181.0,973497839.0,192282450.0,780000.0,168587501.0
2024-03-28,4231670107.0,1616867571.0,350430375.0,544595445.0,22974942.0,975881934.0,194170528.0,0.0,173159171.0
2024-04-02,4240700922.0,1602512668.0,350372839.0,545189445.0,22139543.0,975836409.0,193892528.0,0.0,173107171.0
2024-04-03,4239703543.0,1607222668.0,350415062.0,546295445.0,20760610.0,975678355.0,197252528.0,0.0,173157171.0
2024-04-05,4228216585.0,1628005879.0,350065304.0,537483445.0,20785571.0,975473673.0,197439813.0,0.0,172907630.0
2024-04-08,4221882007.0,1632735656.0,350134892.0,521911445.0,20047051.0,975670325.0,197843823.0,0.0,173527354.0
2024-04-09,4219314344.0,1645454351.0,350318843.0,0.0,20107051.0,975694738.0,195846127.0,766000.0,173711676.0
2024-04-10,4214975736.0,1650273177.0,350180862.0,529131445.0,20608480.0,975565536.0,196404127.0,0.0,173372893.0
2024-04-11,4223522665.0,1655699077.0,349980834.0,530723445.0,21056692.0,975573626.0,195727127.0,0.0,172212893.0
2024-04-12,4225001966.0,1657060687.0,350039174.0,529992333.0,20793872.0,975741365.0,195881127.0,0.0,172882560.0
2024-04-15,4218362627.0,1660982303.0,350008654.0,531152333.0,21622392.0,975980757.0,194652127.0,0.0,173365671.0
2024-04-16,4204652332.0,1659546863.0,349937594.0,529155120.0,20828392.0,976275916.0,196469718.0,0.0,172668661.0
2024-04-17,4196560046.0,1673882923.0,349872555.0,529013789.0,20819642.0,976185031.0,197169718.0,0.0,172244661.0
2024-04-18,4205759897.0,1670621354.0,349628322.0,524080050.0,21975642.0,976672195.0,197907718.0,0.0,176490671.0
2024-04-19,4203728658.0,1672401553.0,349559177.0,532425318.0,20993142.0,976780985.0,199849718.0,0.0,176306671.0
2024-04-22,4178998729.0,1678420353.0,349536625.0,527301003.0,23463142.0,976896181.0,202982710.0,768000.0,176540671.0
2024-04-23,4186258210.0,1675910187.0,349553093.0,525831934.0,23366524.0,977021307.0,201508705.0,0.0,176287726.0
2024-04-24,3544640731.0,1678234138.0,350823870.0,525521768.0,659713654.0,977238546.0,200884705.0,770000.0,176537235.0
2024-04-25,3545665651.0,1680001568.0,350813273.0,523221427.0,658960522.0,977226546.0,198434705.0,0.0,176483235.0
2024-04-26,3546916484.0,1673943532.0,349617364.0,531893427.0,660168947.0,976910983.0,197767417.0,772000.0,175547235.0
2024-04-29,3555490933.0,1662033420.0,349130759.0,529261427.0,663651721.0,976770350.0,199019350.0,0.0,174664186.0
2024-04-30,3553975453.0,1662055498.0,349084504.0,530018591.0,662300418.0,976584812.0,194807459.0,0.0,173888186.0
2024-05-02,3554233459.0,1677119821.0,349002277.0,528711936.0,665205966.0,976305705.0,196247459.0,0.0,173619416.0
2024-05-03,3551023156.0,1687202530.0,348922072.0,529707414.0,667324284.0,976064377.0,196509607.0,0.0,173349421.0
2024-05-06,3535837309.0,1703693977.0,348743498.0,0.0,668306652.0,976029424.0,196915179.0,0.0,172217421.0
2024-05-07,3476347452.0,1704752561.0,348759738.0,0.0,670326652.0,975833729.0,196981179.0,792000.0,171603421.0
2024-05-08,3478903663.0,1706394928.0,348691509.0,527994387.0,670151193.0,975588752.0,196809179.0,0.0,171522874.0
2024-05-09,3484243480.0,1696212027.0,348852512.0,533738387.0,670434875.0,975092819.0,196935414.0,0.0,169948138.0
2024-05-10,3492762349.0,1681810064.0,348654760.0,534054387.0,671764655.0,974956777.0,197377914.0,0.0,169558138.0
2024-05-13,3501122062.0,1690780344.0,352023318.0,532661890.0,671742751.0,970783395.0,196833914.0,770000.0,166238947.0
2024-05-14,3512658523.0,1668165792.0,351098892.0,532285890.0,670304002.0,970028187.0,197171914.0,0.0,171291207.0
2024-05-16,3520356710.0,1676645189.0,351023807.0,532746578.0,670459831.0,969641401.0,198281914.0,0.0,171353238.0
2024-05-17,3523876408.0,1677502241.0,350677308.0,530076138.0,670998602.0,969299492.0,199299912.0,0.0,171078589.0
2024-05-20,3524328557.0,1662352462.0,350331061.0,533381703.0,670712603.0,968644516.0,199497504.0,0.0,171006702.0
2024-05-21,3530145935.0,1650194925.0,350076966.0,515835254.0,670963303.0,968641815.0,199749504.0,0.0,171308720.0
2024-05-22,3534582301.0,1645784762.0,349937226.0,509874921.0,672168414.0,968275573.0,200245504.0,0.0,171554681.0
2024-05-23,3538037847.0,1643212835.0,349411904.0,508414353.0,671004524.0,968192993.0,201063614.0,750000.0,171188442.0
2024-05-24,3532974632.0,1637303794.0,348698774.0,515758845.0,671631066.0,955344620.0,203145238.0,746000.0,164823109.0
2024-05-27,3530956315.0,1640076769.0,346586975.0,511749476.0,673655073.0,953101602.0,202455360.0,742000.0,163039523.0
2024-05-28,3535424167.0,1653349808.0,343272561.0,501114479.0,673704630.0,950258499.0,201171755.0,736000.0,161649521.0
2024-05-29,3528669652.0,1663285473.0,342403905.0,512835878.0,673387630.0,938310878.0,202055915.0,722000.0,159927276.0
2024-05-30,3547763956.0,1670243567.0,341395610.0,508122760.0,673806768.0,937765269.0,202836244.0,726000.0,140130587.0
2024-05-31,3545155231.0,1657324669.0,342082157.0,513160760.0,675554630.0,937609682.0,192709730.0,776000.0,140142898.0
2024-06-03,3533710833.0,1670808439.0,341183460.0,513914814.0,675551479.0,936878352.0,191985731.0,778000.0,139653556.0
2024-06-04,3536565456.0,1673810254.0,340726549.0,514964814.0,674642790.0,936396205.0,174558874.0,0.0,139506238.0
2024-06-05,3524689540.0,1666869368.0,342562858.0,523386814.0,675408462.0,936154649.0,178175063.0,0.0,139486332.0
2024-06-06,3525426506.0,1666259673.0,365162377.0,522159752.0,673181574.0,936008403.0,179318663.0,0.0,117343241.0
2024-06-07,3546423464.0,1654678642.0,361563876.0,520301752.0,673584656.0,934474428.0,188858664.0,804000.0,107520693.0
2024-06-11,3545523058.0,1647176285.0,357094017.0,523939752.0,673174348.0,932019174.0,189034664.0,812000.0,107441737.0
2024-06-12,3567935292.0,1641387707.0,357095029.0,527176619.0,673473087.0,932431081.0,186537665.0,728000.0,109365195.0
2024-06-13,3570791580.0,2104072491.0,355184805.0,532576619.0,673981152.0,462099819.0,180323315.0,0.0,110160477.0
2024-06-14,3575616656.0,2106005574.0,353903876.0,535638619.0,673868002.0,462048921.0,175181715.0,0.0,110506766.0
2024-06-17,3577853484.0,2087876353.0,354095639.0,534782819.0,670143048.0,461443950.0,197826105.0,0.0,110793389.0
2024-06-18,3583993107.0,2095498342.0,352117781.0,534610819.0,666411178.0,460673982.0,202062105.0,0.0,110524922.0
2024-06-19,3586922667.0,2095962440.0,352330566.0,537052819.0,666473863.0,460161111.0,202332105.0,0.0,108012922.0
2024-06-20,3562822961.0,2122111132.0,351216952.0,541478819.0,669127587.0,458945359.0,200537505.0,730000.0,108125278.0
2024-06-21,3562045259.0,2115061649.0,345809117.0,549868819.0,667717529.0,451322349.0,201303505.0,738000.0,106134292.0
2024-06-24,3533949278.0,2131096300.0,364304034.0,551468819.0,668926043.0,448386784.0,178689505.0,746000.0,105273590.0
2024-06-25,3547989013.0,2139828657.0,362978616.0,548372334.0,668717596.0,447072185.0,175786805.0,758000.0,105061026.0
2024-06-26,3554967191.0,2141344541.0,862508725.0,534590819.0,666129249.0,446982796.0,176972705.0,784000.0,105303264.0
2024-06-27,3555468883.0,2146562457.0,862358005.0,531048819.0,664541753.0,447237760.0,176506801.0,804000.0,108866666.0
2024-06-28,3556206657.0,2146374843.0,862175890.0,531054819.0,660389066.0,447014405.0,176532801.0,0.0,112020666.0
2024-07-02,3555397135.0,2140877747.0,861781259.0,531112819.0,662783999.0,446829615.0,178287172.0,768000.0,111891799.0
2024-07-03,3546774172.0,2140554562.0,861442696.0,528668819.0,663183552.0,446992968.0,176851738.0,736000.0,112707354.0
2024-07-04,3552078010.0,2138645914.0,861090041.0,524717937.0,662920181.0,446792151.0,177368219.0,0.0,112232950.0
2024-07-05,3553746412.0,2141358256.0,861053421.0,513922932.0,662931207.0,452481401.0,177500214.0,0.0,112197290.0
2024-07-08,3546212654.0,2137433866.0,860751920.0,515693891.0,662923307.0,455349961.0,177462214.0,732000.0,111906750.0
2024-07-09,3543827540.0,2136057735.0,860864320.0,515827891.0,665810470.0,458333629.0,177719116.0,0.0,112123896.0
2024-07-10,3542339930.0,2134122747.0,860584702.0,511411891.0,682282380.0,461250532.0,177361111.0,0.0,113405896.0
2024-07-11,3534936213.0,2133260068.0,860195381.0,513349499.0,681728380.0,464018928.0,179199111.0,0.0,115514696.0
2024-07-12,3545716394.0,2131053743.0,859807463.0,512020341.0,668478023.0,466589574.0,180415106.0,0.0,117143184.0
2024-07-15,3557250141.0,2132495112.0,859724003.0,512631006.0,668304024.0,469206129.0,180412496.0,0.0,118921999.0
2024-07-16,3551058753.0,2133253307.0,859679110.0,505149372.0,674350024.0,473029714.0,182154496.0,0.0,121591944.0
2024-07-17,3534328410.0,2145552328.0,859880349.0,496619943.0,676235174.0,476140654.0,179903496.0,736000.0,122167444.0
2024-07-18,3520088451.0,2143807031.0,859774887.0,492876200.0,676635982.0,476106161.0,182239196.0,742000.0,122783665.0
2024-07-19,3525831146.0,2144341468.0,859742070.0,495530600.0,675258637.0,476205168.0,182774146.0,732000.0,123271442.0
2024-07-22,3748611405.0,2140731401.0,859754809.0,490066600.0,676910284.0,476282400.0,183158146.0,0.0,123699444.0
2024-07-23,3751218582.0,2142084303.0,859688932.0,482278600.0,676367008.0,476490100.0,181817696.0,730000.0,124546936.0
2024-07-24,3754095168.0,2133612972.0,862361028.0,484932600.0,676163603.0,476365882.0,182037696.0,0.0,124888936.0
2024-07-25,3740801373.0,2116541779.0,862329924.0,491684600.0,675801603.0,476335984.0,184013696.0,0.0,124906946.0
