date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,RICHES DEPOT SECURITIES CO LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA GALAXY INTERNATIONAL SECURITIES,UBS SECURITIES HONG KONG LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,39.57439177396538,27.10167477990264,0.0,33.32393344613198,0.0,0.0
2024-03-18,0.0,39.54157266248485,27.16212948697197,0.0,33.296297850543176,0.0,0.0
2024-03-20,0.0,39.53955900994729,27.163034159709515,0.0,33.2974068303432,0.0,0.0
2024-04-03,0.0,39.53093115812692,27.228596469729503,0.0,33.24047237214358,0.0,0.0
2024-04-08,0.0,39.53040462242966,27.228233796055807,0.0,33.241361581514546,0.0,0.0
2024-04-11,0.0,39.53053625503898,27.228324463568477,0.0,33.24113928139254,0.0,0.0
2024-04-17,0.0,39.51059526410881,27.237303537261965,0.0,33.25210119862923,0.0,0.0
2024-04-23,0.0,30.707564314849968,21.16878382982337,22.290274511509516,25.833377343817148,0.0,0.0
2024-04-25,0.0,30.699616638489992,21.18918678287949,22.284505382900814,25.826691195729705,0.0,0.0
2024-04-30,9.398051409754572,27.796910241228368,19.250189671468863,20.174061940445736,23.380786737102458,0.0,0.0
2024-05-02,9.393805477696917,27.7982129040754,19.251091804355784,20.175007369298633,23.381882444573268,0.0,0.0
2024-05-03,9.379849023971609,27.756912871520633,19.371061118525354,20.14503319563431,23.347143790348092,0.0,0.0
2024-05-21,9.358641684078094,27.763408670515904,19.375594422352528,20.149747627927177,23.352607595126297,0.0,0.0
2024-05-30,9.356452044615232,27.756912871520633,19.39445809788173,20.14503319563431,23.347143790348092,0.0,0.0
2024-06-03,9.349801828156302,27.737184295138572,19.454087539769972,20.128376823901075,23.330549513034075,0.0,0.0
2024-06-06,9.282242853555037,27.54256624420353,20.030286247750233,19.98293497137801,23.16196968311319,0.0,0.0
2024-06-07,9.282997003627774,27.544803982287323,20.031913639111245,19.98455851561187,23.155726859361785,0.0,0.0
2024-06-13,9.26257059843757,27.484194103084835,20.14997072295765,19.96374649787278,23.139518077647164,0.0,0.0
2024-06-20,9.26261350697047,27.48385817616152,20.15006406698915,19.9638389792271,23.13962527065176,0.0,0.0
2024-07-03,9.256117393214403,27.464583025683353,20.207916607451278,19.949837815417418,23.12154515823355,0.0,0.0
2024-07-10,9.251916468411315,27.465854479413622,20.208852118867103,19.95076137925543,23.122615554052533,0.0,0.0
