date,CHINA SUNRISE SECURITIES (INTL) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL
2024-09-27,0.0,100.0,0.0
2024-12-18,82.50825082508251,17.491749174917494,0.0
2025-03-06,78.6795336261902,16.680061128752325,4.640405245057461
