date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,DBS VICKERS (HONG KONG) LTD,FORTHRIGHT SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,STOCKWELL SECURITIES LTD
2025-03-13,13826016.0,9607867.0,8715520.0,6878996.0,4334503.0,6370908.0,0.0,0.0,0.0,0.0
2025-03-17,13781536.0,10047627.0,8731520.0,6959556.0,4286503.0,6330908.0,0.0,0.0,0.0,0.0
2025-03-18,13421536.0,10399627.0,0.0,7023556.0,4230503.0,6154908.0,0.0,0.0,0.0,0.0
2025-03-26,13405536.0,10839627.0,8771520.0,7106756.0,4318503.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,13381536.0,10719627.0,0.0,7130756.0,4614503.0,0.0,0.0,960000.0,0.0,0.0
2025-04-01,13485536.0,10847627.0,0.0,6973956.0,5694503.0,0.0,8497660.0,4920000.0,0.0,0.0
2025-04-02,13605536.0,10543627.0,0.0,6949956.0,5950503.0,0.0,0.0,5984000.0,0.0,0.0
2025-04-08,13613536.0,0.0,9339520.0,6637956.0,5870503.0,0.0,0.0,7552000.0,0.0,0.0
2025-04-09,13413536.0,0.0,8811520.0,6629956.0,5542503.0,0.0,0.0,8944000.0,0.0,0.0
2025-04-17,13276420.0,10696908.0,0.0,7437956.0,5614503.0,6018908.0,0.0,0.0,0.0,0.0
2025-05-02,13244420.0,10696908.0,9243520.0,6261956.0,5622503.0,0.0,0.0,0.0,0.0,0.0
