date,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-14,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,61.19079492573468,38.809205074265314,0.0,0.0,0.0,0.0
2024-05-31,0.0,60.957642725598525,39.042357274401475,0.0,0.0,0.0,0.0
2024-06-04,0.0,60.94603174603175,39.05396825396825,0.0,0.0,0.0,0.0
2024-06-07,0.0,52.42490442381212,33.68651010376843,0.0,13.888585472419443,0.0,0.0
2024-06-13,0.0,52.49658189773038,33.59584358764014,0.0,13.907574514629479,0.0,0.0
2024-06-14,0.0,52.48223072717332,33.613996719518866,0.0,13.90377255330782,0.0,0.0
2024-06-17,0.0,52.47649245571835,33.621255193527226,0.0,13.902252350754429,0.0,0.0
2024-06-19,0.0,52.4621522653987,33.63939443624638,0.0,13.898453298354921,0.0,0.0
2024-06-24,0.0,52.447819910392305,33.65752376789422,0.0,13.894656321713475,0.0,0.0
2024-07-24,39.534192269573836,31.711265279154276,20.353485298975883,0.0,8.401057152296003,0.0,0.0
2024-07-25,39.532886260777644,31.710217700109016,20.35611641505071,0.0,8.400779624062634,0.0,0.0
2024-09-10,39.47420504024278,31.663148172582133,20.474336983770947,0.0,8.388309803404143,0.0,0.0
2024-10-03,39.450781301509856,31.644359464627154,20.521526999406607,0.0,8.383332234456384,0.0,0.0
2024-10-04,39.388346954916955,31.633930925388874,20.61363037173741,0.0,8.364091747956763,0.0,0.0
2024-11-07,39.317082798776276,31.576696601861904,20.757261752031315,0.0,8.348958847330504,0.0,0.0
2024-11-08,39.30415337564537,31.56631260482094,20.78332072741623,0.0,8.346213292117465,0.0,0.0
2024-11-18,38.13656668793874,30.628589661774093,20.16592214422463,0.0,8.098276962348438,0.0,2.970644543714103
2024-12-30,38.0970625798212,30.648148148148145,20.178799489144318,0.0,8.103448275862068,0.0,2.972541507024266
2025-01-03,37.99023518524428,30.631521843188565,20.295497335418194,0.0,8.115007818234037,0.0,2.9677378179149247
2025-01-24,37.96600440093121,30.611984564849955,20.346334151864017,0.0,8.109831935453009,0.0,2.965844946901808
2025-03-07,34.17343628900307,27.554037374056318,18.313861698768548,9.98937910841921,7.299710078364957,0.0,2.669575451387892
2025-03-14,34.17147449697178,27.552455581388674,18.312810356209994,9.99454634174345,7.299291024426648,0.0,2.6694221992594507
2025-03-27,32.78169401916511,26.431875757241986,17.568014098468996,9.588060359070383,7.002423174358409,4.067077872012336,2.5608547196827844
2025-04-30,32.77808370044053,26.43997797356828,17.566079295154186,9.587004405286343,7.001651982378855,4.066629955947136,2.5605726872246697
