date,GUOYUAN SECURITIES BROKERAGE (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD
2024-03-06,0.0,55.03691033881193,0.0,24.728042402892754,20.235047258295317,0.0,0.0
2024-03-08,0.0,47.91854803002828,0.0,21.5297675737437,17.617887304490132,12.933797091737887,0.0
2024-03-12,83.70531872392121,7.8033139058468555,0.0,3.5060230663200618,2.8774446356196233,2.107899668292252,0.0
2024-03-13,83.71027204830256,7.7961673629989,0.0,3.509612008834363,2.877614910542255,2.106333669321927,0.0
2024-03-15,83.71267046371872,7.793697145153761,0.0,3.5096416782132196,2.877639237176301,2.1063514757379855,0.0
2024-03-18,83.72682657517397,7.795015087166887,0.0,3.510235171151499,2.861215499214793,2.1067076672928517,0.0
2024-03-19,83.73093274307881,7.791169577141027,0.0,3.510407321650781,2.8606793727512456,2.106810985378132,0.0
2024-03-20,83.72385339464292,7.7938927945447505,0.0,3.5118014966385855,2.863819457099753,2.106632857073986,0.0
2024-03-21,83.68243477227091,7.7912143591071406,0.0,3.536106550855926,2.884403998232141,2.105840319533886,0.0
2024-03-22,83.66971115931207,7.790029733011421,0.0,3.536413600807278,2.8983253727751155,2.105520134094113,0.0
2024-03-25,83.65695861587164,7.788056156507447,0.0,3.5515629391074848,2.897591092284203,2.1058311962292184,0.0
2024-03-26,83.65737265056029,7.787858853855507,0.0,3.5514729637949882,2.897517684697604,2.105777847091615,0.0
2024-03-27,83.65973498667732,7.787135496319758,0.0,3.551143093315877,2.8972485553654574,2.1047378683215823,0.0
2024-03-28,83.65973498667732,7.787135496319758,0.0,3.5528318700955075,2.896404166975642,2.1038934799317675,0.0
2024-04-03,83.64207838670488,7.83614461232577,0.0,3.522534679605437,2.8957928735052185,2.103449447858684,0.0
2024-04-05,83.63335994722719,7.836276921620701,0.0,3.531036400137865,2.895841767487185,2.1034849635270563,0.0
2024-04-09,83.63194786455094,7.83614461232577,0.0,3.5326652017593947,2.8957928735052185,2.103449447858684,0.0
2024-04-10,83.63119657882308,7.834887896823404,0.0,3.537163102107879,2.8953284630105407,2.101423959235104,0.0
2024-04-11,83.63190249462839,7.834954029695174,0.0,3.5371929586619153,2.894508820039828,2.101441696974694,0.0
