date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,60.12281076122925,0.0,32.97736472821431,0.0,0.0,0.0,0.0,0.0,6.899824510556439
2024-03-06,46.60309599352151,0.0,25.472411000647355,22.59203922543549,0.0,0.0,0.0,0.0,5.332453780395651
2024-03-07,39.77220039148469,0.0,21.582009327657577,19.524721649354763,14.57598600221967,0.0,0.0,0.0,4.545082629283306
2024-03-08,39.76886300654308,0.0,21.566772326495162,19.54490053221506,14.574762894729664,0.0,0.0,0.0,4.544701240017035
2024-03-11,39.76380843685159,0.0,21.568582200244627,19.63046027773174,14.57598600221967,0.0,0.0,0.0,4.461163082952373
2024-03-12,39.76380843685159,0.0,21.536692772638872,19.63046027773174,14.607875429825427,0.0,0.0,0.0,4.461163082952373
2024-03-13,39.76380843685159,0.0,21.53501438171225,19.632138668658357,14.607875429825427,0.0,0.0,0.0,4.461163082952373
2024-03-14,30.77327769987026,22.204643450606167,16.771239677130446,15.416261653039504,11.364058041604922,0.0,0.0,0.0,3.4705194777487085
2024-03-15,28.82625837138552,20.799759953888994,15.710126586334763,14.450662380937365,10.645056287134015,0.0,6.317196038725475,0.0,3.250940381593866
2024-03-18,28.814980624615632,20.791622427935668,15.688086497617556,14.475573801842451,10.640891603406738,0.0,6.314724551226036,0.0,3.274120493355919
2024-03-19,26.928198333992164,19.43591604940901,14.679123629212473,13.52772460313095,9.944134382039715,6.5239279969491335,5.901241349254338,0.0,3.05973365601222
2024-03-20,26.89994207005664,19.39043582142185,14.73527665735429,13.545017525573119,9.944247999479176,6.524002536568749,5.901308774321818,0.0,3.059768615224362
2024-03-21,26.90024942083677,19.390657370805165,14.735445018266159,13.54517228693627,9.944361619514956,6.5240770778916986,5.901376200930057,0.0,3.0586610048189278
2024-03-22,26.90209367301904,19.391986773429366,14.73645526453587,13.546100929387073,9.945043394257308,6.524524361602715,5.901780792938357,0.0,3.0520148108302716
2024-03-25,26.907320427747266,19.395754404298163,14.773604503953063,13.531589713331215,9.903546508519565,6.525791998574429,5.902927438290179,0.0,3.0594650052861203
