date,CHEER UNION SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BOCI SECURITIES LTD,VALUABLE CAPITAL LTD,CMB WING LUNG BANK LTD
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,46.033368288362816,27.937755459455936,0.0,9.116562257890507,0.0,16.91231399429074,0.0
2024-03-07,0.0,0.0,39.24215921586503,23.712169692144666,14.909639982277206,7.74528224464339,0.0,14.390748865069705,0.0
2024-03-08,0.0,0.0,39.12182519751024,23.832503710499456,14.909639982277206,7.74528224464339,0.0,14.390748865069705,0.0
2024-03-11,0.0,28.7118367239695,27.879146866800887,17.009356491878,10.624977586311545,5.5194793668266575,0.0,10.255202964213407,0.0
2024-03-12,0.0,28.69215321993488,27.860034216324703,17.066251029208818,10.617693594305093,5.515695467683233,0.0,10.248172472543276,0.0
2024-03-13,0.0,26.483747325702584,25.71567567671892,16.092802176130103,9.800460501442462,5.091157989152033,0.0,9.459381045145305,7.356775285708593
2024-03-14,0.0,26.18806803674661,25.94976723255136,16.113457505420513,9.808218646293616,5.095188201929702,0.0,9.482701392728968,7.362598984329237
2024-03-15,0.0,26.15287313721385,26.175772893863126,16.155045874852366,9.802942562205367,5.088340631631053,0.0,9.469957316978594,7.155067583255639
2024-03-18,0.0,26.181850290539828,25.991091402515366,16.196688192139348,9.892946364979235,5.093978468280357,0.0,9.480449946362937,7.16299533518293
2024-03-19,0.0,26.225436620079623,25.717264241598432,16.37427225098168,9.909415683060214,5.102458687276465,0.0,9.496232559545819,7.174919957457776
2024-03-20,0.0,26.172763409537602,25.73562573114038,16.385963075708172,9.916490760359341,5.10610171636947,0.0,9.503012634331068,7.180042672553968
2024-03-21,0.0,26.18107124787269,25.68824577850756,16.391164358051483,9.943445211678876,5.107722510739493,0.0,9.506029109566294,7.182321783583601
2024-03-22,0.0,26.130387029819545,25.700705192751215,16.404182021693178,9.951342175090245,5.111779001917757,0.0,9.513578682422336,7.188025896305719
2024-03-25,0.0,26.579617012130797,25.67381092812558,16.138355662911245,9.947076257632505,4.950818216136927,0.0,9.525377372430826,7.184944550632119
2024-03-27,0.0,26.61553575783882,25.73235320523025,15.96938361746139,9.984365986847218,4.965457776964062,0.0,9.538249627416937,7.194654028241319
2024-04-02,0.0,26.65741185357071,25.624344155622136,16.070736710405534,9.973266855326564,4.959937920320247,0.0,9.52764642164193,7.186656083112881
2024-04-03,0.0,26.469402579749236,25.69003060681788,16.11193306868876,9.998832719669313,4.9726524201785995,0.0,9.552069965045993,7.2050786398502185
2024-04-05,0.0,26.46144569493247,25.66906855427817,16.14806488733773,9.996559681565921,4.97152198538257,0.0,9.549898489674263,7.203440706828887
2024-04-08,0.0,26.461448222183883,25.66906145515917,16.148066429589818,9.996560636306638,4.971522460197368,0.0,9.54989940175574,7.203441394807387
2024-04-10,0.0,26.448817995265024,25.656809439764906,16.18808952052902,9.99178921079037,4.969149519144509,0.0,9.54534117064595,7.200003143860228
2024-04-12,0.0,25.209926617384603,24.455016603331302,15.429821815146866,9.523762945682309,4.736389155495409,4.684108673976319,9.098227016911089,6.862747172072103
2024-04-19,0.0,25.215306189932406,24.463178238229908,15.351536194511253,9.580036528073727,4.73796988143201,4.68567195178727,9.101263465764964,6.865037550268465
2024-04-24,0.0,23.757408595135317,24.940078080932835,15.650808232065621,9.766795495728505,4.830334702927487,4.777017246131434,9.278688944701232,6.998868702377569
2024-04-26,0.0,23.75797756875019,24.93828044736791,15.65118305817091,9.767029403770987,4.830450386125254,4.77713165241274,9.278911162927137,6.9990363204748745
2024-04-30,0.0,23.697322909018272,24.955842103791213,15.662204696173013,9.773907392613374,4.841590526523394,4.780495731381441,9.285445416568626,7.003191223930667
2024-05-02,0.0,23.701078802200215,24.959427505626483,15.64920758677859,9.775456502286135,4.842357891551002,4.7812534132256195,9.286917107749327,7.0043011905826305
2024-05-03,0.0,23.71169129562734,24.90130306200703,15.661329049259903,9.783028312460743,4.853854389588938,4.784956845718331,9.29411050822436,7.009726537113352
2024-05-06,0.0,23.70985479295641,24.899374422290325,15.667861193784411,9.782270603641006,4.853478451979106,4.784586244316774,9.29339066675209,7.009183624279873
2024-05-07,0.0,23.647474687560468,24.891595702336446,15.742444509978268,9.785302143365115,4.854982551929254,4.786068994472722,9.296270701880891,6.995860708476834
2024-05-08,0.0,23.562694424570918,24.74868599641758,16.101971785517943,9.753415628590792,4.823717462238447,4.770473046849719,9.2659777514192,6.973063904395397
2024-05-09,0.0,23.639772441458128,24.700814453239374,16.103997499839416,9.74062823653066,4.8173932401683714,4.7642186318339625,9.269253754152876,6.963921742777216
2024-05-10,0.0,24.15458739532547,25.056161374340597,15.126959921703554,9.843569292822183,4.689050099894964,4.814567920037517,9.445149914381478,6.869954081494235
2024-05-13,0.0,24.432969981919918,25.301333578101133,14.722067656401153,9.872522334274079,4.699121534421045,5.129514893711544,9.496678432292555,6.3457915888785745
2024-05-14,0.0,24.52660404134739,25.2608970934673,14.750961685785665,9.886653375546029,4.698026036831499,5.215072910773019,9.392947685283474,6.26883717096563
2024-05-16,0.0,24.53869723576251,25.31930925484906,14.786325959982063,9.878926486005755,4.702169781494394,5.2109970834131065,9.3387137983178,6.224860400175314
