date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-10-23,20.902776582660106,10.75117827697731,22.169135825533097,16.45900477283361,11.741147548734892,0.0,0.0,10.422727227639848,5.344205981325694,2.209823784295442
2024-10-24,21.138051682429893,10.828416419646796,21.89618165950595,16.45900477283361,11.741147548734892,0.0,0.0,10.34548908497036,5.344205981325694,2.247502850552801
2024-10-25,27.31488954889363,12.544082823995945,18.38371477960157,13.515173775336944,11.05370272590392,0.0,0.0,8.825070146177811,4.377646087624985,3.9857201124651964
2024-10-28,28.262727708366892,14.599607898162878,17.865875952552564,12.743328208374729,10.416928041596234,0.0,0.0,8.191278333310082,4.176392224905292,3.743861632731324
2024-10-29,29.96886077354614,14.894846933174858,15.717183523740296,12.476730176590216,10.198999689777956,0.0,0.0,8.348548531924873,4.1193208396322705,4.275509531613393
2024-10-30,30.46768941522295,15.151166339568045,15.376872972328975,12.341427137736073,10.088397341905706,0.0,0.0,8.252735158331557,4.068850096316242,4.252861538590451
2024-10-31,30.564429518601766,15.020948819122568,15.282351523656068,12.32069583206058,10.071450707878968,0.0,0.0,8.238871770631743,4.067219059360849,4.434032768687464
2024-11-01,28.85779332203456,15.076407110775017,16.948877632144043,12.268936105470669,10.029140148304315,0.0,0.0,8.234703630973659,4.043460669622167,4.540681380675573
2024-11-04,29.18105029691887,14.675166202191745,16.911795731135673,12.163332478696978,10.006050484172833,0.0,0.0,8.444931148930804,3.999770525840863,4.617903132112238
2024-11-05,29.37934965189329,15.254683525811094,16.79069032807668,12.061014066836616,9.920824986151661,0.0,0.0,8.05151646118156,3.9641010049296566,4.5778199751194455
2024-11-06,30.0242142287778,14.659122847307795,16.815857224922024,11.980899876393751,9.849694037954688,0.0,0.0,8.286613500499705,3.9342157746511126,4.449382509493125
2024-11-07,30.418678341393512,14.746758658425781,16.786358311671737,11.905327552414326,9.782785885695006,0.0,0.0,8.252501140472035,3.905911373001963,4.201678736925641
2024-11-08,30.653123661467912,14.640813575549899,16.758547708433067,11.88194461941596,9.752702260072061,0.0,0.0,8.249684736324927,3.900513996321399,4.162669442414775
2024-11-11,30.672920882606224,14.857177544708092,16.77309129201026,11.865942085964594,9.739567377764748,0.0,0.0,8.003387114935451,3.807634265814767,4.280279436195864
2024-11-12,30.912969484488233,14.89224866488756,16.626077576069264,11.830711192365948,9.710649854023526,0.0,0.0,7.993610589331017,3.8175278390150744,4.216204799819372
2024-11-13,30.99970762026032,14.688547094714774,16.70854837055364,11.79731923739859,9.68324173143842,0.0,0.0,8.071864751073832,3.8085666325609084,4.242204561999515
2024-11-14,30.787085078006264,14.904886635029932,16.99333147234887,11.65801308892404,9.604540802084301,0.0,0.0,8.00626066189014,3.7790391116900843,4.266843150026364
2024-11-15,30.71772478632266,15.12635428644038,16.599126230645712,11.705880814072994,9.643976983514985,0.0,0.0,8.035459040348611,3.796549022148197,4.374928836506467
2024-11-18,34.716703692818065,14.989651793847084,15.32864168405435,10.873131917544567,8.950909266234715,0.0,0.0,7.335544168803176,3.518621336821739,4.286796139876298
2024-11-19,34.35494280636446,15.514766961273263,15.18835829124173,10.855547341683778,8.936433405534345,0.0,0.0,7.339957152679048,3.519972406316072,4.290021634907303
2024-11-20,34.35412946530455,15.688402142058907,14.984023997456875,10.866755481939567,8.945660098195996,0.0,0.0,7.331242314896248,3.5252822508004176,4.304504249347434
2024-11-21,34.432144645048126,15.759307604304555,14.872559213399708,10.85927946013307,8.939505735923028,0.0,0.0,7.3261986266025385,3.523723019204175,4.287281695384797
2024-11-22,34.48385893588563,15.750566803693724,14.837076499944315,10.833371565204752,8.918178006383728,0.0,0.0,7.3087198993132345,3.5150281782572312,4.353200111317386
2024-11-25,34.49673174401635,15.773554646407737,14.821669671747559,10.82187011340391,8.90870985569081,0.0,0.0,7.30096045996032,3.5079016021575016,4.368601906615812
2024-11-26,34.40486065937182,15.698511482693506,14.832337453011037,10.85530090152162,8.932668483870172,0.0,0.0,7.320595289228072,3.5225279787584918,4.433197751545283
2024-11-27,34.747235869992565,15.972390186361219,14.233392218613053,10.838511313953035,8.918852577605422,0.0,0.0,7.3092727310808865,3.517367804954884,4.462977297438935
2024-11-28,34.488501897825955,16.263419155969597,14.228845404045302,10.85303668907151,8.907135620942682,0.0,0.0,7.299670326390258,3.5160260600708835,4.443364845683818
2024-11-29,34.474790406711094,16.259951232190144,14.240802482338749,10.869100206475455,8.920319021327792,0.0,0.0,7.310474526605401,3.521287723726237,4.403274400625124
2024-12-02,34.502212680678284,16.250117437912976,14.23029521309469,10.881419147238832,8.930429230961218,0.0,0.0,7.339958026059752,3.5285664188676833,4.337001845186565
2024-12-03,34.23023104330245,16.222594123486147,14.200107922612284,10.871555497786762,8.922334089858865,0.0,0.0,7.569028708389334,3.525656022422368,4.458492592141792
2024-12-04,33.55196329550466,16.92715304470341,14.258818150221417,10.850436096695981,8.909724063808644,0.0,0.0,7.585722840178917,3.520270360262417,4.395912148624555
2024-12-05,33.021992421856545,17.31943980130857,14.582348646027112,10.840804994493993,8.89379699190624,0.0,0.0,7.474280818426121,3.5491322156036875,4.318204110377736
2024-12-06,32.906760036699005,17.247169777165297,14.79296724932425,10.845631705966577,8.897756826254101,0.0,0.0,7.477608633749239,3.53002396699273,4.3020818038487985
2024-12-09,31.09587612597917,18.373477149007368,15.369452237845433,10.849123174123756,8.900621226915254,0.0,0.0,7.604876342415516,3.5348969829118766,4.2716767608016255
2024-12-10,31.070336407288224,18.45866056195063,15.397591228790072,10.863227004729715,8.916916830442952,0.0,0.0,7.512600623429727,3.542520643010892,4.238146700357788
2024-12-11,30.185438877645666,19.157470317645547,15.426198365108466,10.908681773137523,8.933483542178442,0.0,0.0,7.531058755988039,3.5600650263899247,4.297603341906393
2024-12-12,29.80419485850263,19.18470929720155,15.47621627635151,10.923218514360679,8.947991209781934,0.0,0.0,7.703140870324056,3.5752666033840317,4.385262370093609
2024-12-13,29.811940091956433,19.28772994536522,15.315514325742097,10.944210916706789,8.965187591179804,0.0,0.0,7.655470846058818,3.5883911735490193,4.4315551094418195
2024-12-16,29.270176069937566,19.249924907466493,15.667990249877068,11.001755380921432,9.012326386333198,0.0,0.0,7.695723174116091,3.606443959468012,4.495659871880144
2024-12-17,29.268197985277506,19.367892989265517,15.660329134886245,11.005684603538098,9.007919664878859,0.0,0.0,7.69213476516882,3.5958954383980344,4.401945418586924
2024-12-18,28.566685167914997,19.405530411233705,15.735193205724194,11.046686813509437,9.04913294323873,0.0,0.0,8.204945508664384,3.6187764932281374,4.373049456486417
2024-12-19,28.562735647546212,19.8957389289456,15.79216803650739,11.057647567911493,9.05811168278452,0.0,0.0,7.7348197349628585,3.609379320993289,4.289399080348636
2024-12-20,28.497728931134432,20.04818110077073,15.7708916383984,11.042749872341135,9.045907912546443,0.0,0.0,7.724398803295849,3.600368334319977,4.269773407193038
2024-12-23,28.636125051893714,20.021628814032123,15.702969123953647,11.040672815124566,9.044206446106706,0.0,0.0,7.722945902662988,3.5783701006397393,4.2530817455865195
2024-12-27,28.890780144978162,19.854942341459623,15.71407355152451,11.048480278199948,9.0506020987138,0.0,0.0,7.728407219738305,3.572716848616474,4.1399975167691805
2024-12-30,28.89535085799602,19.792914948203315,15.702456361071699,11.045736075616377,9.048354125686126,0.0,0.0,7.726487651207132,3.5858552011753217,4.202844779044005
2025-01-02,28.98326206851519,19.832970077266012,15.5033492534843,11.0662596895018,9.065166488855306,0.0,0.0,7.740843910324526,3.595094089744768,4.213054422308097
2025-01-03,28.870849967831518,19.84785506642148,15.528668866852517,11.078518279609376,9.074488211656357,0.0,0.0,7.748803830450311,3.5981462267648845,4.252669550413557
2025-01-06,28.905586134356255,19.847138464598437,15.491421717246917,11.098395064393754,9.08956724123019,0.0,0.0,7.761679977225302,3.6098785097412924,4.1963328912078515
2025-01-07,28.880085962443612,19.54111447366635,15.53912394914323,11.176429207374618,9.147090253609324,0.0,0.0,7.810799500912589,3.6328416577856006,4.272514995064674
2025-01-08,29.146435361797835,18.688935709091773,15.563089711680592,11.247168594341769,9.200559586317693,0.0,0.0,7.856457543596475,3.6582965175513538,4.639056975622513
2025-01-09,29.586729445823835,18.228232585239084,15.503612985750614,11.255215771416962,9.207142445955737,0.0,0.0,7.862078718784413,3.6618059648457173,4.6951820821836385
2025-01-10,29.451470900301103,18.298448519528222,15.449522381450494,11.274954107316093,9.223289064018,0.0,0.0,7.87598563179195,3.6719806316290993,4.754348763965039
2025-01-13,29.30734703724009,18.31984581741709,15.428935519827192,11.297776259052899,9.241958346440608,0.0,0.0,7.847040139577627,3.6961267375182385,4.860970142926262
2025-01-14,29.290730248934555,18.347859121921374,15.295196769567465,11.293922168842158,9.23880557191451,0.0,0.0,7.809008367694748,3.694865851698756,5.029611899426433
2025-01-15,29.27068802837821,18.38554169727033,15.28739220773628,11.287536188715523,9.234703817735587,0.0,0.0,7.8055414008389015,3.693225441439032,5.035371217886135
2025-01-16,29.351207591608127,18.318969376218558,15.262637486971203,11.29724697031124,9.242648526871033,0.0,0.0,7.812256587086157,3.697596669914866,5.017436791018813
2025-01-17,29.145195300249192,18.35486022698467,15.308537205973266,11.334413325180176,9.273055541604913,0.0,0.0,7.837957813358883,3.710899188515407,5.035081398133495
2025-01-20,29.141573116499615,18.274246609248358,15.340852857375559,11.351900001378738,9.287361965323122,0.0,0.0,7.850170143985332,3.71662434522651,5.037270960962767
