date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,NANYANG COMMERCIAL BANK LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,FUTU SECURITIES INTERNATIONAL,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,CHINA SYSTEM SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,KGI ASIA LTD
2024-03-07,0.0,0.0,81.46456692913387,0.0,0.0,0.0,0.0,0.0,0.0,18.53543307086614
2024-03-12,0.0,0.0,65.59726096880549,0.0,0.0,0.0,0.0,19.47755516104489,0.0,14.925183870149633
2024-03-15,95.11103396114122,0.0,3.20702781118647,0.0,0.0,0.0,0.0,0.9522510570234715,0.0,0.729687170648845
2024-03-18,87.65787055871208,6.035991973341988,2.9557162512398807,0.0,0.9713353232375407,0.0,0.8289489923253082,0.8776300332310956,0.0,0.672506867912109
2024-03-19,87.65787055871208,6.037134720781091,2.9557162512398807,0.0,0.9701925757984377,0.0,0.8289489923253082,0.8776300332310956,0.0,0.672506867912109
2024-03-20,87.66129880102939,6.037134720781091,2.9557162512398807,0.0,0.9667643334811287,0.0,0.8289489923253082,0.8776300332310956,0.0,0.672506867912109
2024-03-26,87.66129880102939,6.038277468220193,2.9557162512398807,0.0,0.9656215860420256,0.0,0.8289489923253082,0.8776300332310956,0.0,0.672506867912109
2024-03-28,87.65923212034845,6.038449978801429,2.9558006945817366,0.0,0.9673633435002669,0.0,0.8289726749853439,0.877655106684235,0.0,0.6725260810985316
2024-04-02,86.99365129049599,5.992601110967458,2.9333578299616447,0.0,0.9583171723632669,0.0,0.8226784341210814,0.8709912288461408,0.7609832220778131,0.6674197111666066
2024-04-05,85.66364842469211,5.9009831993960535,2.8885111743447944,1.5176828478386142,0.9436659355582258,0.0,0.8101009108330617,0.8576750751582455,0.7605165705504755,0.6572158616284212
2024-04-11,85.64834458086386,5.8664320391601645,2.8879951407095104,1.5687736990902228,0.9434973492749027,0.0,0.8099561859929166,0.8575218511752962,0.7603807039718447,0.6570984497612784
2024-04-23,85.64882274321431,5.866464790603831,2.888011263969701,1.5687824573274425,0.9429443311124732,0.0,0.8099607078614424,0.8575266385960681,0.7603849490676073,0.6571021182471173
2024-04-30,76.7085,5.2540000000000004,2.5865,1.405,0.843,0.0,0.7254,0.768,0.681,0.5884999999999999
2024-05-06,85.65049759993033,5.866464790603831,2.843348418209489,1.615120159803662,0.9395946176804575,0.0,0.8099607078614424,0.8575266385960681,0.7603849490676073,0.6571021182471173
2024-05-07,85.60535683181406,5.8664320391601645,2.84333254429413,1.6597737392865595,0.9401476545437493,0.0,0.8099561859929166,0.8575218511752962,0.7603807039718447,0.6570984497612784
2024-05-08,85.60583475417012,5.859765363739799,2.8500478450735205,1.659783005563874,0.9395946176804575,0.0,0.8099607078614424,0.8575266385960681,0.7603849490676073,0.6571021182471173
2024-05-14,85.61348223767446,5.855263819081449,2.8503024503109367,1.659931280073343,0.9413535614543075,0.0,0.8100330646250944,0.857603244598942,0.7548695225896938,0.6571608195917675
2024-05-16,85.61061427124591,5.8550676735723,2.854115185210413,1.6598756740278868,0.9407637103050753,0.0,0.8100059293238003,0.8575745157439738,0.7548442352121436,0.6571388053585008
2024-05-20,85.54661304881954,5.850690512028868,2.851981491131074,1.7333932889171062,0.940060409341913,0.0,0.809400380933678,0.8569334057858625,0.7542799248844312,0.6566475381575262
2024-05-21,85.54565853146909,5.850625230828282,2.8530654553691077,1.7333739479530343,0.940049920277072,0.0,0.8093913497554753,0.8569238442407019,0.7542715087327011,0.6566402113745482
2024-05-29,85.5461357874817,5.850099975006248,2.8530813725140143,1.733383618381119,0.9400551647802334,0.0,0.8093958653193845,0.8569286249866104,0.7542757167850894,0.6566438747455993
2024-06-13,85.5264625944455,5.84859263358489,2.852890378496102,1.7561397949756998,0.93887651681833,0.0,0.8093416818776191,0.8568712595561228,0.7542252232551289,0.6565999169905967
2024-06-18,85.52613961957638,5.848723144073621,2.8529540403274036,1.7561789829782297,0.9388974677104067,0.0,0.8093597422188105,0.8568903805128847,0.7542420536806119,0.656614568921657
2024-06-19,85.53759217268653,5.836115624274671,2.853336070988591,1.7564141477262583,0.939023192701173,0.0,0.809468121194808,0.8570051241764717,0.7543430520094985,0.6567024942419968
2024-06-21,84.78121173846057,5.780084699365916,2.828104970585275,1.745306861002567,0.9307197234053612,0.884266689082099,0.8023102642403435,0.8494269133396524,0.7476726476791732,0.6508954928390436
2024-07-09,84.77464833904551,5.779637229888223,2.827886030773859,1.7551251978248392,0.9306476710583504,0.884198232930661,0.8000362747992997,0.8493611543348939,0.747614766055193,0.6508451032891732
2024-07-16,84.77464833904551,5.7110690116997285,2.8328627562875397,1.831987958536135,0.9173764030218677,0.884198232930661,0.8000362747992997,0.8493611543348939,0.747614766055193,0.6508451032891732
2024-07-17,84.77209963846055,5.711195336373258,2.83292541714177,1.832028480771166,0.9196086216487924,0.8842177907495005,0.8000539710171215,0.8493799415830098,0.7476313027475451,0.6508594995072933
2024-07-18,84.77163086682725,5.711163754680965,2.832909751668337,1.832018350044349,0.9201565150841523,0.8842129012136777,0.8000495468892737,0.8493752446930637,0.7476271685058737,0.6508559003930573
2024-07-19,84.77116210037835,5.687354221802944,2.8328940863681558,1.8563391465816708,0.9201514268429849,0.8842080117319308,0.8000451228103549,0.8493705478550628,0.7476230343099252,0.6508523013186256
2024-07-22,84.77116210037835,5.685142319334571,2.8328940863681558,1.8563391465816708,0.9223633293113573,0.8842080117319308,0.8000451228103549,0.8493705478550628,0.7476230343099252,0.6508523013186256
