date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,ABCI SECURITIES CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,57.77201336048638,11.877208975221686,3.8444745452416433,9.023054540059091,7.189227083860048,5.662509114925555,1.7874369365961829,2.0482255336677238,0.0,0.7958499099416899
2024-03-04,57.476040053317504,12.181899883116566,3.908817372021996,9.013697925040006,7.196081274450665,5.603267429956224,1.8030618491721235,2.07393078741928,0.0,0.743203425505641
2024-03-05,57.36693537462505,12.26988015707671,3.9417018170564795,9.012152553522808,7.200626230669456,5.582435906564776,1.762409745692961,2.089434697641001,0.0,0.7744235171507603
2024-03-06,57.507705998781645,12.192571335838391,4.000421422030117,8.88117700454571,7.218380392672788,5.587086280612443,1.7705423274142054,2.0774869959152693,0.0,0.7646282421894377
2024-03-07,55.922851830853794,11.856022020130847,3.9417526621516763,8.645799519705193,7.030955060735282,5.448650539339557,1.7400198608259663,2.0459310948066536,2.648265163600706,0.7197522478503254
2024-03-08,55.83690121005236,11.887058927252248,3.949559822590777,8.659445369875803,7.043272527008941,5.456679411266318,1.7537506348739642,2.0467509771747445,2.65192628383839,0.7146548360664545
2024-03-11,55.82770429890908,11.946733546734148,3.9482564945409533,8.552914195782835,7.04673831864939,5.453030951228218,1.7986637002365167,2.053671340114343,2.652866191473679,0.7194209623308281
2024-03-12,55.88888784508664,12.104309552248731,3.9440753047189374,8.533927203557049,7.03953035727794,5.418936081351038,1.6687837155888938,2.0389252194053453,2.649281762875754,0.7133429578896684
2024-03-13,55.83464402734265,12.142639927543312,3.9588936165538087,8.490131974077197,7.050125958335595,5.398211102638802,1.682830858156264,2.0769089710884936,2.652234636343743,0.7133789279201315
2024-03-14,55.969642372262186,12.174180337740037,3.8575283971471497,8.435110334628714,7.027959441334816,5.39444221697951,1.7150370225967797,2.0246366563128837,2.6526386928287864,0.748824528169139
2024-03-15,55.97841572787239,12.09316269519064,3.8043776468996873,8.451712239952553,7.0276609708935345,5.393593088054155,1.8981989391100622,1.9585270650386417,2.654790882239643,0.7395607447486968
2024-03-18,55.82267350566714,12.362693378655269,3.8168947976558827,8.419822674611313,7.026055221577174,5.558889856434258,1.684103874126885,1.9497241244858938,2.6525674243454485,0.7065751424407365
2024-03-19,55.77985749188217,12.312562795450452,3.9088903649872457,8.404555094558113,7.0308893903859495,5.555847587312105,1.6764838787138678,1.9545899582396953,2.6479438420517774,0.7283795964186309
2024-03-20,55.86938598539395,12.223248650975382,3.9299947953290255,8.519494351809241,7.049726102939377,5.417421188431577,1.6559028577567254,1.971194022897483,2.652673852712546,0.7109581917546905
2024-03-21,55.8094067318303,12.126352972289627,3.968188940119713,8.630005334774989,7.057343467975366,5.4111834936104355,1.6549930560048058,1.98877298018803,2.6531551814233536,0.7005978417833764
2024-03-22,55.704358194566254,12.128488013228017,4.003989246233436,8.682280528379966,7.075836950033936,5.377832403483525,1.6709033334259156,2.00997747777268,2.657638907277389,0.688694945598888
2024-03-25,55.59164270057185,12.07627541740941,3.9964179756923754,8.691795075307295,7.073765704432393,5.335871465785479,1.6865603724412013,1.991038897001543,2.8494441154978354,0.7071882758606135
2024-03-26,55.385494737242226,11.950976706472078,4.013907192891277,8.679297732431108,7.047741825980134,5.560959705439395,1.7791834331059841,2.0468611242604746,2.846307409821765,0.6892701323555537
2024-03-27,54.801598798589104,12.185147505938302,4.0658150931520725,8.760463984604439,7.107912183398595,5.5582914291718595,1.8791182553235024,2.1011148147457366,2.85127273912902,0.6892651959473781
