date,SHANGHAI COMMERCIAL BANK LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA CONSTRUCTION BANK (ASIA),STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,41.54946952874414,0.0,0.0,34.66567974339995,23.784850727855908,0.0,0.0,0.0
2024-03-04,0.0,42.22606120434354,0.0,0.0,34.67423494570582,23.099703849950643,0.0,0.0,0.0
2024-03-05,0.0,42.683832631839564,0.0,0.0,34.78583807873236,22.530329289428074,0.0,0.0,0.0
2024-03-06,0.0,30.873925501432666,28.062320916905442,0.0,24.98209169054441,16.08166189111748,0.0,0.0,0.0
2024-03-07,0.0,30.829756795422032,28.02217453505007,0.0,24.946351931330472,16.201716738197426,0.0,0.0,0.0
2024-03-11,0.0,30.851825340014315,28.042233357193986,0.0,24.731567644953472,16.374373657838227,0.0,0.0,0.0
2024-03-12,28.879975316260413,17.772292502314098,15.90044225033426,0.0,14.254859611231103,9.359251259899208,8.279337652987762,5.553841406973156,0.0
2024-03-13,28.993288590604028,17.84202374806402,15.942178626742384,0.0,14.155911202891069,9.375322663913268,8.11564274651523,5.575632421270005,0.0
2024-03-14,29.002272257797973,17.84755215864491,15.947118363974386,0.0,14.160297459202646,9.34724230530882,8.118157405494733,5.577360049576534,0.0
2024-03-15,28.9544235924933,17.81810682614972,15.920808414106002,0.0,14.332852134460714,9.300886780779543,8.104763868838937,5.568158383171788,0.0
2024-03-18,28.993288590604028,17.90397521941146,15.942178626742384,0.0,14.093959731543624,9.437274135260711,8.053691275167784,5.575632421270005,0.0
2024-03-19,25.66023942246185,15.845746139084346,14.072923329982636,11.45024216394042,12.473727497030065,8.434615736086997,7.12784428401718,4.9346614273965095,0.0
2024-03-21,25.634471425963117,15.884608362242103,14.058791309110827,11.438743837867445,12.46120138762096,8.471791126529121,7.120686507211977,4.929706043454446,0.0
2024-03-25,25.627452769918772,15.898512366523684,14.054942046180525,11.435611937574155,12.457789540932737,8.432965227708314,7.1643698092543575,4.928356301907456,0.0
2024-03-26,25.606419843151556,15.912821448112346,14.043406894036112,11.426226518329381,12.502279773846434,8.426044136421668,7.158489877804122,4.924311508298377,0.0
2024-03-27,25.594749794913863,15.905569227964634,14.03700665390575,11.421019050223316,12.49658189773038,8.467778689271716,7.155227417737672,4.922067268252666,0.0
2024-03-28,25.49019607843137,15.840595497458242,13.979665940450253,11.374364560639071,12.418300653594772,8.841684822076978,7.1532316630355846,4.901960784313726,0.0
2024-04-02,25.480943738656986,15.934664246823957,13.974591651542651,11.370235934664247,12.413793103448276,8.774954627949183,7.150635208711434,4.900181488203267,0.0
2024-04-03,25.48325619384699,16.045013159088846,13.97585987839187,11.371267810146112,12.414919684181868,8.657772937653146,7.151284145566748,4.900626191124421,0.0
2024-04-05,25.480943738656986,16.043557168784027,13.974591651542651,11.370235934664247,12.413793103448276,8.66606170598911,7.150635208711434,4.900181488203267,0.0
2024-04-08,24.287829950344104,15.402038505096263,13.415802770276155,10.915584981270147,11.917414408920637,8.389232511542817,6.88213258994686,4.704242529837094,4.08572175276592
2024-04-09,24.200714347939716,15.541423468943288,13.415802770276155,10.915584981270147,11.917414408920637,8.328251589859743,6.88213258994686,4.704242529837094,4.094433313006359
2024-04-10,24.00836893034609,15.51739168337547,13.425159096852934,10.923197628803068,11.92572574317845,8.508412518524976,6.886932263970011,4.707523319675704,4.097288815273298
2024-04-11,24.006276150627613,15.516039051603906,13.423988842398884,10.922245467224547,11.92468619246862,8.516387726638772,6.8863319386331945,4.707112970711297,4.096931659693166
2024-04-12,24.00209168554994,15.626634129335889,13.42164894544187,10.920341641973156,11.922607634652257,8.419034338504444,6.8851316018825175,4.706292487362733,4.096217535297194
2024-04-15,24.020933275185346,15.734845180985607,13.432184910597469,10.92891408634976,11.923244657653727,8.259921500218056,6.890536415176625,4.709986916703009,4.099433057130398
2024-04-17,24.02722038038737,15.738963531669867,13.43570057581574,10.931774559413714,11.917640900366429,8.244634444250568,6.892339905775606,4.711219682428895,4.100506019891816
2024-04-18,24.006276150627613,15.725244072524408,13.423988842398884,10.922245467224547,11.907252440725244,8.324616457461646,6.8863319386331945,4.707112970711297,4.096931659693166
2024-04-19,23.991636902169176,15.872462758079973,13.415802770276155,10.915584981270147,11.873856607718443,8.25855910793623,6.873421029706421,4.704242529837094,4.094433313006359
2024-04-22,23.985368402717295,16.016373454102073,13.41229750914475,10.912732973349591,11.713987110259536,8.26511060790803,6.897753004703014,4.703013412297509,4.093363525518202
2024-04-23,23.970754634868136,16.00661502306554,13.404125685438245,10.906084080424753,11.663330141874836,8.364522586822178,6.893550352511098,4.700147967621203,4.09086952737401
2024-04-24,23.997908678982224,15.80690135935866,13.419309864064132,10.918438480306728,11.702683861972812,8.45242244684559,6.88393168351342,4.705472289996514,4.112931334959916
2024-04-25,23.970754634868136,15.789015580120115,13.404125685438245,10.906084080424753,11.689442075028287,8.56471407433197,6.867438419357646,4.700147967621203,4.108277482809644
2024-04-26,23.962411902897415,15.783520403724005,13.39946054119899,10.902288349430087,11.685373705733925,8.596537022535458,6.865048290263638,4.698512137823023,4.106847646393457
2024-04-29,23.958242714223577,15.78077424967377,13.397129186602871,10.900391474554153,11.665941713788603,8.59504132231405,6.863853849499782,4.69769464984776,4.140930839495432
2024-04-30,23.9603271271968,15.782147207238559,13.398294762484774,10.90133982947625,11.666956673046807,8.587088915956151,6.864451017922395,4.698103358273882,4.141291108404385
2024-05-02,23.94782608695652,15.77391304347826,13.391304347826086,10.895652173913044,11.660869565217391,8.608695652173912,6.860869565217391,4.695652173913043,4.165217391304347
