date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG BANK LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,44.506199642397796,24.349997120117234,9.240251489326251,3.862232893979022,4.92251543033471,6.190072319733826,1.2941121728992386,1.937326569816139,1.7291443851149624,1.9681479762808187
2024-03-04,44.62937593717305,24.34828924194218,9.075664865287363,3.890901435968236,4.956335745864339,6.187114273612847,1.2901605192435703,1.9491443877222392,1.7283317918551293,1.944681801331041
2024-03-05,44.639805103558075,24.36685592753236,9.101229404818666,3.91603017651437,4.9244115757366815,6.182423882104609,1.2507443404131608,1.947655147463064,1.7268815965628526,1.94396284529616
2024-03-06,44.61578271202086,24.35448086784418,9.099276248086964,3.915369556214712,4.9284725093705015,6.179982656531567,1.2955597363877847,1.945726045893996,1.7250586464010145,1.9402910212484148
2024-03-07,44.681389158714914,24.37021635449237,9.083861339354605,3.9647669552608527,4.830659249995825,6.1941736234198626,1.256982755058934,1.9510224097174356,1.7259049938779618,1.9410231601072396
2024-03-08,44.698168065149474,24.33244131780347,9.07434624281351,3.9787023940832817,4.83440917916437,6.198701765758523,1.257244651857352,1.9562014717133362,1.726813446333718,1.94297146532296
2024-03-11,44.7601363059389,24.329723644831542,8.963646438989011,3.9848852176008864,4.84726744840588,6.2127433759776265,1.2625023539579916,1.9627543069610773,1.7288235754317212,1.947517331905363
2024-03-12,44.782090150042805,24.273846458255974,8.973245812333708,3.986716232227457,4.882742853680053,6.217494658358605,1.2488700629247853,1.9614324816495894,1.7275478780858975,1.9460134124411297
2024-03-13,44.79305101856624,24.20883809162631,8.982033651925033,4.0098001940987436,4.896837002424884,6.220728003195965,1.2494512351195686,1.961381084645821,1.7276741356781022,1.9502055827193359
2024-03-14,44.83858795361897,24.11120432299034,9.035507838536246,3.9856555687355466,4.90214945491616,6.215481251821882,1.268661426216158,1.9725507405297966,1.7255359566784916,1.9446654859564139
2024-03-15,44.84174959718194,24.101138077534976,9.02044861289565,3.973478781852412,4.927048026063393,6.217274369912789,1.277316014626317,1.9748710022139893,1.723885721920818,1.9427897957977205
2024-03-18,44.840065056381164,24.073734928005443,9.067808416007676,3.971779307748923,4.939093136249515,6.220816519163791,1.2474614897282843,1.9739325543510953,1.7230650540112402,1.9422435383528698
2024-03-19,44.78274593628296,24.10056919924326,9.16201550867726,3.982656924420469,4.876161342481653,6.233479367762053,1.2269570176458315,1.9735924456731408,1.722681260616353,1.9391409971970208
2024-03-20,44.90627629120991,24.116539226838846,9.035002555533488,3.9932985414518876,4.878246426820983,6.246352298870839,1.1815881456718111,1.9760209591988285,1.7247152862670558,1.9419602681363473
2024-03-21,44.920245211906916,24.107420172406098,8.965139758045636,4.051790902162656,4.872753874377629,6.260633803117124,1.1897861574715614,1.9760929751143272,1.7246705923149641,1.9314665530830832
2024-03-22,44.85415939263698,24.108543733056358,8.970467740479624,4.092671860678193,4.877079443772553,6.270594769893147,1.1892015699680218,1.9850728607219255,1.7271758179147154,1.9250328108784822
2024-03-25,44.79088834483584,24.015853925374206,9.055227410522109,4.136278509348563,4.909443133718715,6.258056273680432,1.1938282701630085,1.9934347035092694,1.7240604055085602,1.9229290233392922
2024-03-26,44.76163339849919,24.052013652425217,9.042409223064459,4.189368410073932,4.90085692732267,6.258070899057426,1.1662293709887397,1.9914057043839182,1.7224560606256525,1.9155563535587992
2024-03-27,44.69746161505322,24.046232598451684,9.044544508809281,4.217947875562533,4.904810773381254,6.262761163427139,1.1822550186372351,1.991243157737972,1.7223756513874626,1.9303676375522132
2024-03-28,44.620163463717894,24.027765577397883,9.060738267705172,4.235848092009826,4.928038883609038,6.2537527434111855,1.216812689115701,1.9905842362698984,1.7217299774886654,1.9445660692747366
2024-04-02,44.55343721606776,24.10152212535367,9.000955817010617,4.275132387766076,4.925491465267731,6.264450660955186,1.215317989831479,1.9916777887537978,1.7225942006209578,1.9494203483727188
