date,ASTRUM CAPITAL MANAGEMENT LTD,GRANSING SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,SUNCORP SECURITIES LTD,CIS SECURITIES ASSET MANAGEMENT LTD,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,29.17361821834169,0.0,0.0,0.0,70.82638178165831
2024-03-05,0.0,0.0,19.24293132446567,0.0,0.0,34.27691184364781,46.48015683188652
2024-03-06,0.0,0.0,19.691929835821092,0.0,0.0,34.13444482053795,46.17362534364096
2024-03-07,0.0,0.0,19.603640446113975,0.0,0.0,34.22003244300284,46.176327110883186
2024-03-08,0.0,0.0,19.357055360716434,0.0,0.0,34.33461891309194,46.30832572619163
2024-03-11,0.0,0.0,19.585675682820707,0.0,0.0,34.51569122923359,45.898633087945704
2024-03-12,0.0,0.0,19.437070217676506,0.0,0.0,34.57804677708457,45.98488300523892
2024-03-13,0.0,0.0,19.850928640094647,0.0,0.0,34.447643816012906,45.70142754389244
2024-03-14,0.0,0.0,19.39139841784436,0.0,0.0,34.645147457043116,45.96345412511253
2024-03-15,0.0,0.0,19.697447576606596,0.0,0.0,34.51360915931424,45.788943264079165
2024-03-18,0.0,0.0,19.392069188624152,0.0,0.0,34.644859163335994,45.96307164803985
2024-03-19,0.0,0.0,19.430284678703792,0.0,0.0,34.62843434932154,45.94128097197467
2024-03-20,0.0,0.0,19.785887172730693,0.0,0.0,34.47559829212859,45.73851453514072
2024-03-21,0.0,0.0,19.590795313748917,0.0,0.0,34.55944773362031,45.84975695263078
2024-03-22,0.0,0.0,19.69145589693048,0.0,0.0,34.51618435131385,45.79235975175566
2024-03-25,0.0,0.0,19.688792641173215,0.0,0.0,34.51732900444783,45.79387835437896
2024-03-26,0.0,0.0,19.702107153832326,0.0,0.0,34.511606497850025,45.786286348317645
2024-03-27,0.0,0.0,19.696781878571713,0.0,0.0,34.51389527278263,45.78932284864566
2024-03-28,0.0,0.0,19.720728484350854,0.0,0.0,34.50502796051139,45.77424355513776
2024-04-02,0.0,0.0,19.73336784115994,0.0,0.0,34.4995954079749,45.76703675086517
2024-04-03,0.0,0.0,19.813103502651696,0.0,0.0,34.46532403035425,45.72157246699405
2024-04-05,0.0,0.0,19.8795535068337,0.0,0.0,34.48387655138072,45.636569941785574
2024-04-08,0.0,0.0,19.88484932167134,0.0,0.0,34.481597230269905,45.633553448058755
2024-04-10,0.0,0.0,19.87293275364241,0.0,0.0,34.486726126560576,45.640341119797014
2024-04-11,0.0,0.0,19.91962722764852,0.0,0.0,34.448865255676075,45.631507516675406
2024-04-12,0.0,0.0,19.930202113916923,0.0,0.0,34.444316165561446,45.62548172052163
2024-04-15,0.0,0.0,19.920288239873656,0.0,0.0,34.44858090234095,45.631130857785394
2024-04-16,0.0,0.0,19.700230937108806,0.0,0.0,34.54324485193349,45.75652421095771
2024-04-17,0.0,0.0,19.940774207654513,0.0,0.0,34.43976827673391,45.61945751561158
2024-04-18,0.0,0.0,19.697182829488593,0.0,0.0,34.68561832162722,45.61719884888419
2024-04-19,0.0,0.0,19.664700042290615,0.0,0.0,34.69964878280493,45.63565117490446
2024-04-22,0.0,0.0,19.679287400887226,0.0,0.0,34.6933479882571,45.62736461085567
2024-04-23,0.0,0.0,19.685253429907227,0.0,0.0,34.69077104995313,45.623975520139645
2024-04-24,0.0,0.0,19.389130618234343,0.0,0.0,34.91259514281085,45.69827423895481
2024-04-30,0.0,0.0,19.382466365164042,0.0,0.0,34.91548143309846,45.702052201737494
2024-05-02,0.0,0.0,19.41644254038839,0.0,0.0,34.900766339970126,45.682791119641486
2024-05-03,0.0,0.0,19.29112041089066,0.0,0.0,35.00191510178329,45.70696448732605
2024-05-07,0.0,0.0,19.29445680943154,0.0,0.0,35.00046816881795,45.70507502175051
2024-05-08,0.0,0.0,19.133327994525615,0.0,0.0,35.07034668935374,45.796325316120644
2024-05-10,0.0,0.0,19.212138240040673,0.0,0.0,35.02679235304475,45.76106940691459
2024-05-13,0.0,0.0,19.204781309008652,0.0,0.0,35.02998206112713,45.76523662986422
2024-05-14,0.0,0.0,19.216819225886937,0.0,0.0,35.024762841238484,45.758417932874586
