date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,57.944156165060534,0.0,42.05584383493946,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,42.1010137256661,0.0,30.537364313268146,27.361621961065758,0.0,0.0,0.0,0.0,0.0
2024-04-08,42.111400125571805,0.0,30.531886267826714,27.35671360660149,0.0,0.0,0.0,0.0,0.0
2024-04-10,42.042499775845066,0.0,30.61059804536896,27.346902178785975,0.0,0.0,0.0,0.0,0.0
2024-04-17,42.03730272596843,0.0,30.613342898134867,27.349354375896702,0.0,0.0,0.0,0.0,0.0
2024-04-18,41.95402298850575,0.0,30.657327586206897,27.388649425287355,0.0,0.0,0.0,0.0,0.0
2024-04-23,35.82997550762424,0.0,26.97321640199099,24.09733744173185,0.0,6.668246819941534,6.431223828711385,0.0,0.0
2024-04-24,26.557430810133404,25.87929398812382,19.99273843126691,17.861116641875828,0.0,4.942551621555147,4.766868507044893,0.0,0.0
2024-04-25,26.211741448088393,26.00110612960544,20.086842941363365,17.94518774784952,0.0,4.965815888257375,4.789305844835905,0.0,0.0
2024-04-26,25.669444411517173,26.192197816526598,20.234468534038243,18.077073529237445,0.0,5.0023114946480005,4.82450421403255,0.0,0.0
2024-04-30,25.678254376503773,26.189093408872715,20.232070261108674,18.07493095968994,0.0,5.001718599992889,4.8239323938320045,0.0,0.0
2024-05-08,25.651818214154442,26.198408840303056,20.239266786023403,18.081360192551664,0.0,5.003497705742166,4.825648261225264,0.0,0.0
2024-05-16,25.643001980291945,26.201515456949405,20.24166676548363,18.08350428667987,0.0,5.00409102228125,4.826220488313906,0.0,0.0
2024-05-20,25.654860015889767,26.201515456949405,20.27131185447819,18.04200116208749,0.0,5.00409102228125,4.826220488313906,0.0,0.0
2024-05-22,25.63585460757331,26.212394419664044,20.279728575495874,18.037629306254154,0.0,5.006168738730189,4.828224352282433,0.0,0.0
2024-05-24,24.48293047595315,25.027750719253334,19.363205944317333,17.222436173345717,0.0,4.77991980608477,4.610017443309245,4.513739437736448,0.0
2024-06-03,24.575752075865513,25.06465810608467,19.193248332501476,17.247833386269797,0.0,4.781296792050456,4.616815644992967,4.520395662235129,0.0
2024-06-11,24.56291623648472,25.068923656414157,19.196514675349725,17.250768654769065,0.0,4.782110482068504,4.617601343302209,4.521164951611622,0.0
2024-06-18,24.82305587590168,24.98247518259729,19.130316803473306,17.191280555367115,0.0,4.765619700156027,4.601677859937137,4.505574022567442,0.0
2024-06-26,24.810304078886364,24.986712804333322,19.133561760016285,17.19419660526286,0.0,4.766428062557248,4.6024584139046265,4.506338275039297,0.0
2024-06-27,24.806052518490038,24.988125664397348,19.13464365684301,17.195168841743378,0.0,4.7666975776355365,4.602718657408455,4.506593083482234,0.0
2024-06-28,24.821531603896325,24.99802016042357,19.14222036180154,17.15672410087,0.0,4.76858503693815,4.604541186319874,4.5083775497505405,0.0
2024-07-02,24.8355803081242,25.012168755164648,19.15305464054063,17.109835750104708,0.0,4.771284001765885,4.607147304196239,4.510929240103689,0.0
2024-07-08,24.844087786216342,25.009337755090495,19.15088680377132,17.107899174882004,0.0,4.770743964414664,4.606625844642393,4.5104186709827845,0.0
2024-07-15,25.128504539158108,25.29564630055752,19.370127416972903,16.15894494625133,0.0,4.8253597554693135,4.659362800654829,4.5620542409359945,0.0
2024-07-16,25.137074896120694,25.292750769794303,19.367910165863485,16.157095271345337,0.0,4.824807408340106,4.658829454791039,4.561532033745035,0.0
2024-07-23,24.999713306040068,25.339158954599146,19.403447208174217,16.18674097774108,0.0,4.833660164447656,4.667377667687298,4.5699017213105355,0.0
2024-07-24,25.098492830638143,25.305785881167253,19.377891795318156,16.165422144853178,0.0,4.8272939667414905,4.661230473223693,4.563882908058088,0.0
2024-08-08,25.094203479515752,25.30723505629302,19.379001500383687,16.16634788285554,0.0,4.827570409226787,4.661497405825154,4.564144265900059,0.0
2024-08-09,24.810046313596267,25.020665602246606,19.159561096579136,17.115648107257307,0.0,4.772904847640724,4.608712391434815,4.512461641245145,0.0
2024-08-14,24.843804923404882,25.054710798154005,19.1856311868558,17.002868773457607,0.0,4.7793992584277305,4.614983388327607,4.5186016713723625,0.0
2024-08-30,24.848031210306658,25.013609145345672,19.217247323534746,17.005761204863003,0.0,4.780212302667392,4.615768463073852,4.519370350208673,0.0
2024-09-16,24.88205407367084,24.911540555253133,19.28529305026311,17.005761204863003,0.0,4.780212302667392,4.615768463073852,4.519370350208673,0.0
2024-09-23,24.893395028125568,24.900199600798402,19.28529305026311,17.005761204863003,0.0,4.780212302667392,4.615768463073852,4.519370350208673,0.0
2024-10-04,24.870683787830664,24.934207541177003,19.289668315259313,17.009619311221016,0.0,4.781296792050456,4.616815644992967,4.497708607468579,0.0
2024-10-07,24.84095213254556,24.791054762363775,19.28419954411948,17.004796951724295,0.0,4.757260634377021,4.61550674181513,4.7062292330547395,0.0
2024-10-08,24.729258235534008,24.76437536816349,19.597625628709956,16.929856359599437,0.0,4.752141012279668,4.610539671031764,4.61620372468168,0.0
2024-10-10,24.72359418188409,24.77570347546332,19.597625628709956,16.92419230594952,0.0,4.752141012279668,4.610539671031764,4.61620372468168,0.0
2024-10-14,24.706602020934344,24.792695636413068,19.597625628709956,16.92419230594952,0.0,4.752141012279668,4.610539671031764,4.61620372468168,0.0
2024-10-15,24.712200870195794,24.79831399564902,19.602066715010878,16.905366207396664,0.0,4.753217911530094,4.6115844815083396,4.61724981870921,0.0
2024-10-16,24.80420713808072,24.692001677414968,19.607620904217338,16.910156294272987,0.0,4.754564722149811,4.612891160703154,4.61855810316102,0.0
2024-10-17,24.825507614213198,24.685007251631617,19.602066715010878,16.905366207396664,0.0,4.753217911530094,4.6115844815083396,4.61724981870921,0.0
2024-10-18,24.839979191640467,24.61493225974261,19.717051545925408,16.872865446814288,0.0,4.744079795535249,4.602718657408455,4.608373102933527,0.0
2024-10-21,24.852726676541423,24.610757454121956,19.713707443380333,16.870003731301093,0.0,4.7432751778021505,4.601938015173958,4.607591501679085,0.0
