date,PHILLIP SECURITIES (HONG KONG) LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,BANK OF CHINA (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,UOB KAY HIAN (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,MINERVA HOLDING FINANCIAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-06,92.8900454844815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.109954515518506
2024-03-07,73.78991269403005,0.0,0.0,0.0,11.561049131440287,0.0,8.980446945262587,0.0,5.6685912292670695
2024-03-08,67.4712203635451,0.0,0.0,0.0,10.56344924199736,8.580353871877225,8.205526539866307,0.0,5.179449982714001
2024-03-11,67.46374141596326,0.0,0.0,0.0,10.562054908920912,8.57922129946294,8.20480018911531,0.0,5.190182186537583
2024-03-14,67.45531887174123,0.0,0.0,0.0,10.56073628394283,8.578150222329228,8.203775856770628,0.0,5.202018765216091
2024-03-19,64.72371217827035,0.0,0.0,0.0,10.132917963869135,8.230647006759249,7.87143864931274,4.049658390548888,4.991625811239643
2024-03-22,55.06581095419565,0.0,14.933894430768548,0.0,8.616582203711097,6.998975692524975,6.6961402191086625,3.443940193770547,4.244656305920523
2024-04-03,55.06581095419565,0.0,14.933894430768548,0.0,8.616582203711097,6.998975692524975,6.6961402191086625,3.433714813966641,4.254881685724429
2024-04-05,55.065693010556195,0.0,14.933546735626301,0.0,8.61638159001392,6.998812740398838,6.69714843178595,3.4336348692498615,4.254782622368931
2024-04-09,55.058488483693615,0.0,14.931592903163143,0.0,8.61525426464617,6.997897049854733,6.696272209529558,3.4462801993998085,4.254214889712976
2024-04-15,55.05781819618862,0.0,14.931332210659404,0.0,8.615103849869987,6.997774872715652,6.696155298495396,3.446220030372994,4.25559554169794
2024-04-17,55.05780179677772,0.0,14.930854298044114,0.0,8.61482810308773,6.997550892373948,6.6973958524756165,3.4461097259470836,4.255459331293787
2024-04-19,55.05974681627248,0.0,14.929724808014047,0.0,8.6141764081305,6.997021541285924,6.698343977746369,3.445849034462171,4.255137414088509
2024-04-22,55.06386454757486,0.0,14.930841351382526,0.0,8.599485626361307,6.9975448247423495,6.699426875728008,3.4461067377981456,4.262730036412799
2024-04-23,55.04944655268571,0.0,14.94534665416293,0.0,8.599460604011808,6.99752446363939,6.699407382073619,3.4460967104905893,4.262717632935961
2024-04-25,55.044481417366185,0.0,14.941671082371016,0.0,8.598684983397114,6.996893328214071,6.6988031350503405,3.4457858928972582,4.273680160704007
