date,HAITONG INTERNATIONAL SECURITIES CO LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,ORIENT SECURITIES (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,CMB WING LUNG BANK LTD,CITIBANK N.A.,BOCOM INTERNATIONAL SECURITIES LTD,GRANSING SECURITIES CO LTD,BOCI SECURITIES LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,71.94983654763499,0.0,17.31837991951604,0.0,0.0,6.850622897749332,3.881160635099634,0.0,0.0
2024-03-07,71.95192875211892,0.0,17.3188835147132,0.0,0.0,6.847914239136616,3.8812734940312628,0.0,0.0
2024-03-08,71.95029745686519,0.0,17.319890792975862,0.0,0.0,6.8483125185725715,3.88149923158638,0.0,0.0
2024-03-11,71.9486659718459,0.0,17.320898188413338,0.0,0.0,6.84871084433964,3.8817249954011297,0.0,0.0
2024-03-12,71.94808055628182,0.0,17.322157597518427,0.0,0.0,6.847754609095595,3.882007237104157,0.0,0.0
2024-03-13,71.94644872876263,0.0,17.323165256674013,0.0,0.0,6.848152954543512,3.882233060019836,0.0,0.0
2024-03-14,71.93971543296595,0.0,17.327323090193207,0.0,0.0,6.849796619513343,3.8831648573274937,0.0,0.0
2024-03-15,71.91970051940841,0.0,17.33968236876736,0.0,0.0,6.854682460456931,3.8859346513673025,0.0,0.0
2024-03-18,71.91806538829344,0.0,17.340692067904804,0.0,0.0,6.855081612345678,3.886160931456073,0.0,0.0
2024-03-19,71.91643006673823,0.0,17.34170188463976,0.0,0.0,6.855480810722798,3.886387237899204,0.0,0.0
2024-03-20,68.90034972255184,0.0,16.61575920316361,4.191689416375146,0.0,6.5685028569065995,3.7236988010028123,0.0,0.0
2024-03-21,68.89861438346466,0.0,16.616686351094565,4.191923309760461,0.0,6.568869374846514,3.7239065808337934,0.0,0.0
2024-03-22,68.89687885070524,0.0,16.617613602499727,4.192157229249412,0.0,6.56923593369161,3.724114383854012,0.0,0.0
