date,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,NANYANG COMMERCIAL BANK LTD,ICBC (ASIA) SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,84.78260869565217,0.0,0.0,0.0,0.0,15.217391304347828,0.0,0.0,0.0,0.0
2024-03-05,40.082219938335044,0.0,52.723535457348405,0.0,0.0,7.194244604316546,0.0,0.0,0.0,0.0
2024-03-06,40.30534351145038,0.0,52.56997455470738,0.0,0.0,7.124681933842239,0.0,0.0,0.0,0.0
2024-03-07,30.809205642167782,0.0,40.12620638455828,13.288789903489235,8.982925018559762,5.939123979213066,0.0,0.0,0.8537490720118782,0.0
2024-03-08,27.607599844901127,0.0,41.91547111283443,13.881349360217138,9.383481969755719,6.397828615742536,0.0,0.0,0.8142690965490499,0.0
2024-03-11,17.9109364767518,14.079895219384413,34.34839554682384,11.722331368696791,7.531106745252128,2.7177472167648986,0.0,11.00196463654224,0.68762278978389,0.0
2024-03-12,18.285528031290742,14.015645371577575,34.19165580182529,11.66883963494133,7.496740547588006,2.7053455019556716,0.0,10.951760104302476,0.6844850065189048,0.0
2024-03-13,19.604666234607908,13.933895009721322,33.992222942320154,11.600777705767984,7.453013609850939,2.4951393389500973,0.0,10.239792611795204,0.6804925469863901,0.0
2024-03-14,18.532943849399548,13.956507627393702,28.270042194092827,11.619604024667316,7.465108730931516,2.4667315806556314,0.0,10.256410256410255,0.6815968841285297,6.751054852320674
2024-03-15,18.445022771633052,14.085881587508133,28.13923227065712,11.646063760572543,7.482108002602472,2.47234873129473,0.0,10.279765777488613,0.6831489915419648,6.766428106701366
