date,GRAND CHINA SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,KGI ASIA LTD,KOALA SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,41.02736286122193,27.033874872327342,19.27081275993025,0.0,0.0,0.0,0.0,12.667949506520475
2024-03-04,0.0,0.0,41.02828895021077,27.032227846529764,19.271247749806722,0.0,0.0,0.0,0.0,12.668235453452741
2024-03-05,0.0,32.3169403501263,27.784253105928304,18.269469613301894,13.050440046316641,0.0,0.0,0.0,0.0,8.578896884326861
2024-03-06,0.0,32.3169403501263,27.78119590181789,18.272526817412306,13.050440046316641,0.0,0.0,0.0,0.0,8.578896884326861
2024-03-08,0.0,32.32420494362101,27.777586727344282,18.271681358445,13.048744607601515,0.0,0.0,0.0,0.0,8.57778236298818
2024-03-11,0.0,31.967122324964958,27.67446212841696,18.818725913703744,13.081556342358653,0.0,0.0,0.0,0.0,8.458133290555688
2024-03-12,0.0,26.71812892447722,23.189059789670424,15.63166080995449,10.993336789753634,0.0,0.0,8.745063399709405,7.635488475398608,7.087261811036222
2024-03-13,0.0,26.71847096249736,23.189356649533696,15.630580750052808,10.993477523379141,0.0,0.0,8.745175351567251,7.635586222788343,7.0873525401814
2024-03-14,0.0,26.781899024117955,23.237990748047917,15.82167215239415,10.955414830070769,0.0,0.0,8.445133101072123,7.653712650536704,7.104177493760385
2024-03-15,0.0,26.76087989418669,23.254850846891735,15.833151413198413,10.963363425063886,0.0,0.0,8.451260385499467,7.658623656466297,7.077870378693514
2024-03-18,0.0,26.78978040214581,23.2967336909678,15.700860638338929,10.983108846950458,0.0,0.0,8.466481417158736,7.672417120142025,7.090617884296245
2024-03-19,0.0,26.953033876778726,23.469129882584692,15.112037013037504,11.064384023223866,0.0,0.0,8.529133511313859,7.729193126150177,7.143088566911174
2024-03-20,0.0,26.924501211644785,23.530271629321152,14.988988000493752,11.093208942133405,0.0,0.0,8.55135359887736,7.749329210059576,7.1623474074699685
2024-03-25,0.0,27.003503571823224,23.542507621406237,14.879780035490727,11.098977529039345,0.0,0.0,8.555800393908076,7.753358943858349,7.166071904474042
2024-03-27,0.0,26.999603491871582,23.542507621406237,14.883680115442367,11.098977529039345,0.0,0.0,8.555800393908076,7.753358943858349,7.166071904474042
