date,GF SECURITIES (HONG KONG) BROKERAGE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS BANK CO LTD,BOCI SECURITIES LTD
2024-03-01,0.0,74.89241642514574,0.0,12.436078041003675,8.620729228923887,0.0,0.0,4.050776304926693,0.0,0.0
2024-03-04,0.0,70.4769523527993,0.0,11.706733933339173,8.124155564543168,0.0,5.870270952244904,3.821887197073446,0.0,0.0
2024-03-05,0.0,70.49761972758607,0.0,11.711690828270807,8.103601571548962,0.0,5.869228036133319,3.817859836460845,0.0,0.0
2024-03-06,0.0,70.43871382110744,0.0,11.713406939537576,8.116187585336181,0.0,5.895128016235578,3.836563637783219,0.0,0.0
2024-03-07,0.0,70.4232721097511,0.0,11.713654862573497,8.12412014530929,0.0,5.89525279103786,3.8437000913282686,0.0,0.0
2024-03-08,0.0,70.41323616212823,0.0,11.702576600265354,8.140002641338437,0.0,5.900647207638075,3.8435373886299016,0.0,0.0
2024-03-11,0.0,67.73416046320423,0.0,11.247684435184116,7.877435963781061,0.0,5.6788141867916435,3.699040780096468,0.0,3.762864170942479
2024-03-12,0.0,67.71606878702133,0.0,11.247837174568831,7.877542936441005,0.0,5.678891302982962,3.716744529742981,0.0,3.7629152692428933
2024-03-13,0.0,67.72121266837145,0.0,11.249593975697865,7.878773330881284,0.0,5.6763828521758075,3.710534173412803,0.0,3.763502999460789
2024-03-14,0.0,64.80974915469238,0.0,10.771569298621968,7.5179743887639985,0.0,5.422173869143677,3.5541643322075775,4.320787044917554,3.6035819116528347
2024-03-15,0.0,64.8118435330156,0.0,10.777763831745563,7.520028086999213,0.0,5.42365505387912,3.5401758240388097,4.321967361884602,3.6045663084370902
2024-03-18,65.77455706894787,22.182404310315963,0.0,3.688929354486177,2.5730063804686716,0.0,1.8563665570338992,1.2117039045588318,1.479289444386081,1.2337429798025072
2024-03-20,65.78187914866619,22.177303856537307,0.0,3.669302255923796,2.586651311944096,0.0,1.8570184927473599,1.2145104929122952,1.479454120147058,1.2338803211218954
2024-03-21,65.78583374959213,22.167281677221904,0.0,3.669522842904384,2.5868068133345345,0.0,1.8571301308936996,1.2143608503982228,1.4795430603036652,1.239520875351468
