date,DEUTSCHE BANK AG,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,91.6095842502326,3.926785580769907,2.755171158599002,0.1401842550766978,0.18863765023238524,0.3479110194234311,0.49776955691426045,0.15529517130778317,0.29068501659864476,0.08797634084529123
2024-03-04,91.61128515878904,3.9363004448473404,2.7205049979604867,0.14416124435243505,0.16433871732350247,0.34917780959289363,0.4973150108760225,0.1948324765539908,0.29210788053566944,0.08997625916861388
2024-03-05,91.61546916443379,4.014604392776087,2.63917330759056,0.14726341495675135,0.18556309141486307,0.3370911733393064,0.4918694009338522,0.19535113940283766,0.2904458995367102,0.08316901561523656
2024-03-06,91.63098032176114,4.14681405908897,2.59216887276952,0.1489592004339608,0.06491830388527679,0.3230030790565002,0.5014330038161625,0.2171563796511765,0.291342257736603,0.0832245218006885
2024-03-07,91.5575934811361,4.0650031598006615,2.6562290494169867,0.15150139370907523,0.07287390116091588,0.32740392816636,0.5107674330213808,0.27855789630195543,0.29294131744053564,0.08712843984603555
2024-03-08,91.51498739468606,4.112678525492665,2.6562375333791217,0.1543287672938427,0.07028735252559803,0.32699391669636896,0.5103904656550857,0.2760345311636955,0.2917228802683117,0.08633863283924971
2024-03-11,91.55832813916639,4.084105253904977,2.667071618107977,0.15696559245148636,0.06520528940269335,0.3300455217021729,0.5088737936589527,0.255136629645794,0.2920352046921636,0.08223295726739772
2024-03-12,91.50835432121382,4.072710041767581,2.715668321160083,0.1536482688596299,0.09605742752670289,0.3253042330306538,0.5071991817234625,0.246857201590028,0.29165968689122385,0.08254131623682029
2024-03-13,91.46723257816996,4.105301161979031,2.7441063218442725,0.1490568074644124,0.08757381138026737,0.3216656695406503,0.5040969005213288,0.24000482235079526,0.29031206556573086,0.09064986118356123
2024-03-14,91.46754335993948,4.100723082673332,2.734156415084687,0.14787833612246956,0.13613797220554133,0.295642950301491,0.5035863773845266,0.24329369137178822,0.2882432290828317,0.08279458583384793
2024-03-15,91.47516641367385,4.045365995378679,2.7709996522443174,0.14677016477579022,0.12971354605310303,0.32219581093508914,0.504468326012156,0.23426088849061436,0.2873669277143672,0.08369227472203898
2024-03-18,91.53547118268612,4.029865013650216,2.8395278814230225,0.1490886839864642,0.08777796054105864,0.3293855234222853,0.5075366567814074,0.15179282525282095,0.28844089930575667,0.0811133729508439
2024-03-19,91.88100791237991,3.7936473977172662,2.7252456207211107,0.15218610190498186,0.061712745606835984,0.3428839950587164,0.5145994929405721,0.15564250200632643,0.2909082822318061,0.08216594943247851
2024-03-20,91.81043146649304,3.7445889794191354,2.796854411352888,0.15572542196042075,0.06223212729706013,0.38711528960143143,0.5086627633822611,0.1581991882376999,0.2906772018240523,0.08551315043200192
2024-03-21,91.81194368497263,3.767334875783248,2.750386081763966,0.1623363115162711,0.033492405660124944,0.4105469404569898,0.5208170922076245,0.15957621318880127,0.2920529480520161,0.09151344639832454
2024-03-22,91.78494956298047,3.7359174998029756,2.7243101284052877,0.17308597409333154,0.03345931107527775,0.4345138003378071,0.5504037065724012,0.17883506013996767,0.2995322565607373,0.08499270003175148
2024-03-25,91.79167773390262,3.725878016587527,2.7314810633209308,0.18474482276643447,0.041281764053770126,0.4442232940155542,0.5418184262861847,0.14471404672463475,0.3025192096023005,0.09166162274005224
2024-03-26,91.81700369670874,3.655465670892703,2.8013307807885632,0.17782398473961974,0.0335665888874477,0.44772848486739675,0.5450994459408425,0.1392103162726926,0.299665919143224,0.08310511175878066
2024-03-27,91.7450735635594,3.689614025833903,2.8192685544832954,0.18222195440231478,0.0335836792503587,0.4505459804377085,0.5461058178604087,0.1508861571616137,0.3001652642013432,0.0825350028096565
2024-03-28,91.70860725694725,3.7169767470935873,2.8653896915175734,0.18877809004668514,0.03352267988510124,0.41000412442888196,0.5460185632203753,0.13521444030191745,0.30008536764848015,0.09540303891014766
2024-04-02,91.72540635869176,3.7359370404907395,2.823561391244777,0.18276766637716635,0.033578940270415095,0.4213572477233249,0.548608956308539,0.14354252735976528,0.3019777724744578,0.08326209905905475
2024-04-03,91.7099616028213,3.7410689587808883,2.8626771331764274,0.18647153602433653,0.038274027267146384,0.4125447141394037,0.5489940154522289,0.12686657555496098,0.30391186421733307,0.06922957256598125
