date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,FUTU SECURITIES INTERNATIONAL,DAH SING SECURITIES LTD
2024-03-01,24.73930095357793,21.18484657426903,14.60774194559351,13.658229869580172,5.943015338939197,9.10600499367533,4.217779661307321,3.919768941414111,1.2505805227679894,1.3727311988754116
2024-03-04,24.964674334740742,17.711524591708503,14.795274542878028,13.709309552813309,5.995218991692353,12.835914636218373,3.2758649980013863,4.092751854243044,1.234032598474482,1.385433899229773
2024-03-05,25.264824767488058,17.87533030586673,14.952167019240983,13.859586611178026,6.08442419611782,11.806291921292084,3.3165281559030855,4.118404145257901,1.3192793995374634,1.40316347811785
2024-03-06,24.821993718760787,17.670235537704855,14.595488907915183,13.63769508775628,5.977778715122633,13.299017928602213,3.293684228847365,4.030778364602159,1.2936691291018334,1.3796583815866892
2024-03-07,24.78560261434589,17.85099025301072,14.621641422786693,13.668016793949123,5.937583134342081,13.153507749188215,3.29008364698337,4.012270767439333,1.3020496831190786,1.3782539348354912
2024-03-08,25.196464865229935,18.686455899545866,14.96743707156771,13.868871882628584,6.82534394754092,10.602985123604418,3.3438852255229183,3.7871430289648,1.3209985031997287,1.4004144521951223
2024-03-11,25.213792310190144,18.728518788492494,14.935245326492105,13.877498563281748,6.829452144254566,10.557564403095903,3.3462498545165547,3.79359902664032,1.3180032925190022,1.4000762905171693
2024-03-12,25.266371801735822,18.35506691567985,15.024540823495904,13.930173973268934,6.832875761744764,10.716042571122191,3.357170740707972,3.7781897452408364,1.3376841100898516,1.4018835569138781
2024-03-13,25.26378835574287,18.333173616197378,15.034871873176481,13.991672327144206,6.820505440860609,10.690951483743415,3.359552386566805,3.769783233374106,1.3357868027612807,1.3999144804328452
2024-03-14,25.28143357325136,18.403152664869538,15.045360065543385,13.93084641158922,6.8027370888647685,10.699415324928573,3.3621806852357508,3.7394592971215634,1.334378012275731,1.4010368763201075
2024-03-15,25.24239972054218,18.099127182458005,15.04017875346795,13.946802481433766,6.7941233811465205,9.996896190878415,4.393236722107794,3.751147583941318,1.3372142709166657,1.39887371310739
2024-03-18,25.21635962625956,18.149978471754594,15.025506751128267,13.936745119320937,6.790414110338252,10.04524815831607,4.391616845007166,3.7077454260218627,1.3389187869931358,1.397466704860155
2024-03-19,25.018889380579097,17.851641131140575,14.892357338091767,13.858237065714608,6.739726483440359,10.890414619296585,4.357955095079031,3.6783679655766504,1.3253564571859284,1.3870544638954052
2024-03-20,24.94948766201846,18.06220717331418,14.856970561039788,13.854502877993358,6.720901878185905,10.874241629459723,4.349858653363882,3.629776118871353,1.3196193571776662,1.3824340885756883
2024-03-21,25.07634193229637,17.898330504724857,14.929856430467147,13.99840373506227,6.757654161621368,10.597036311919428,4.377991089104705,3.645681501748151,1.328011635585033,1.3906926974706701
