date,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,KCG SECURITIES ASIA LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA CONSTRUCTION BANK (ASIA),GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD
2024-03-01,0.0,63.058001313146505,20.69524245381322,8.757580006820055,0.0,7.489176226220227,0.0,0.0,0.0,0.0
2024-03-04,0.0,60.58960871075032,19.88513140820452,8.464107632180236,0.0,7.184749757706964,0.0,0.0,0.0,3.8764024911579607
2024-03-05,0.0,60.579111153345785,19.88962596448028,8.467610525553278,0.0,7.1863736977982,0.0,0.0,0.0,3.8772786588224513
2024-03-06,54.624605344017816,27.492761589326793,9.031261499067492,3.8276615991906793,0.0,3.264075405378322,0.0,0.0,0.0,1.7596345630188903
2024-03-07,54.59997398472023,27.480916890427338,9.028781577545892,3.86410991709468,0.0,3.267341170066863,0.0,0.0,0.0,1.7588764601450007
2024-03-08,54.59081666103398,27.489470316134636,9.028501311951645,3.866184813022347,0.0,3.26620503561711,0.0,0.0,0.0,1.7588218622402805
2024-03-11,54.59314465829288,27.48876121610197,9.028886327739864,3.8629318544394864,0.0,3.2673790771331035,0.0,0.0,0.0,1.758896866292695
2024-03-12,54.61602436783238,27.500281616257737,8.987341533784319,3.866119258560495,0.0,3.2692503291854913,0.0,0.0,0.0,1.7609828943795733
2024-03-13,54.634019638818884,27.509342602032838,8.94643390321775,3.882486738046339,0.0,3.2661540025025566,0.0,0.0,0.0,1.7615631153816282
2024-03-14,54.63407107086786,27.509368499117944,8.945532312702529,3.88405938026522,0.0,3.265403963342755,0.0,0.0,0.0,1.7615647737036961
2024-03-15,54.63379676772565,27.50766140249613,8.899359405261263,3.886675764824653,0.0,3.314088689132973,0.0,0.0,0.0,1.7584179705593335
2024-03-18,54.63323102619372,27.507376556349193,8.897227598902917,3.886823793265812,0.0,3.3169412634228213,0.0,0.0,0.0,1.7583997618655343
2024-03-19,51.700031657917734,26.030535117128274,8.478934114147176,3.682420421821969,5.303297115033421,3.1407884026133335,0.0,0.0,0.0,1.6639931713380993
2024-03-20,51.71147149479482,26.03629497966634,8.502729698625494,3.6388320765717976,5.3028073306864645,3.143503051048352,0.0,0.0,0.0,1.6643613686067327
2024-03-21,51.35949821836875,25.85907936802181,8.444856009401784,3.6140644261582104,5.266713860195574,3.122106849463869,0.0,0.6806483479424921,0.0,1.6530329204475176
2024-03-22,51.33819351564712,25.849837344692894,8.47280065396427,3.62102951643868,5.26483153903209,3.1204602184700407,0.0,0.6804050845292459,0.0,1.652442127225655
2024-03-25,51.32464784864287,25.843016822488924,8.498424287976928,3.620221504986244,5.263589807705732,3.1178680420275735,0.0,0.6802255585258575,0.0,1.6520061276458806
2024-03-26,51.31151764801013,25.836405496156296,8.51997600338801,3.612428126909882,5.262095876951899,3.125941808882015,0.0,0.6800515388601933,0.0,1.651583500841573
2024-03-27,51.304818994030455,25.83303258597101,8.519305769878637,3.624716710560179,5.263736987047463,3.1230583048272154,0.0,0.679962758988617,0.0,1.6513678886964287
2024-03-28,51.302944289047225,25.832029697087577,8.518847129155816,3.6252325611352822,5.263544647338377,3.1261562165947785,0.0,0.6799379127929247,0.0,1.6513075468480256
2024-04-02,51.30397747638481,25.831481628511405,8.51866638794146,3.6284560103484056,5.263432972667269,3.122789525674442,0.0,0.6799234868028605,0.0,1.651272511669349
2024-04-03,51.36394172683264,25.802328720282357,8.473224383255628,3.618370201592246,5.2758581187227565,3.1323869735703704,0.0,0.6807091909773952,0.0,1.6531806847666097
2024-04-05,51.355866351541515,25.797682171057033,8.477231181967024,3.6171818898914863,5.276474005557974,3.142041455516118,0.0,0.6806021707216193,0.0,1.652920773747231
