date,QUAM SECURITIES LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,LONG BRIDGE HK LTD,FUTU SECURITIES INTERNATIONAL,HUATAI FINANCIAL HOLDINGS (HONG KONG),TOYO SECURITIES ASIA LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,23.12703583061889,76.8729641693811,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,57.16911764705882,42.830882352941174,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,62.708719851577,37.291280148423006,0.0,0.0,0.0
2024-03-08,0.0,84.05970149253731,0.0,10.08955223880597,5.850746268656716,0.0,0.0,0.0
2024-03-13,0.0,83.95945140131187,0.0,10.077519379844961,5.963029218843173,0.0,0.0,0.0
2024-03-15,0.0,83.93442622950819,0.0,10.104321907600596,5.961251862891207,0.0,0.0,0.0
2024-03-18,0.0,83.83447454599583,0.0,10.21137243227151,5.954153021732658,0.0,0.0,0.0
2024-03-27,0.0,83.14142308827871,0.0,10.953646294656037,5.90493061706525,0.0,0.0,0.0
2024-04-03,0.0,83.14142308827871,0.0,11.33746678476528,5.521110126956009,0.0,0.0,0.0
2024-05-06,0.0,83.19054652880354,0.0,11.34416543574594,5.465288035450517,0.0,0.0,0.0
2024-05-07,0.0,83.19054652880354,0.0,11.698670605612998,5.110782865583456,0.0,0.0,0.0
2024-05-08,0.0,82.84789644012946,0.0,14.062959694027654,3.089143865842895,0.0,0.0,0.0
2024-05-10,0.0,82.84789644012946,0.0,14.357163871726977,2.7949396881435717,0.0,0.0,0.0
2024-05-13,0.0,82.36326411231354,0.0,14.858145656624744,2.778590231061714,0.0,0.0,0.0
2024-05-14,0.0,82.33918128654972,0.0,14.883040935672515,2.7777777777777777,0.0,0.0,0.0
2024-05-20,0.0,50.28571428571429,38.92857142857143,9.089285714285714,1.6964285714285714,0.0,0.0,0.0
2024-05-23,0.0,50.13352323304255,38.81075307103436,9.061776749154353,1.9939469467687376,0.0,0.0,0.0
2024-05-29,0.0,49.902534113060426,38.63193336877547,9.020024809498493,2.4455077086656036,0.0,0.0,0.0
2024-05-30,0.0,49.858356940509914,38.59773371104816,9.012039660056658,2.531869688385269,0.0,0.0,0.0
2024-06-13,54.2449773169151,22.812702527543745,17.660401814646793,4.123460790667531,1.1584575502268308,0.0,0.0,0.0
2024-06-24,54.249372113748684,22.814550757514382,17.661832617678037,4.123794863485377,1.1504496475735235,0.0,0.0,0.0
2024-08-01,54.24058323207777,22.810854597002837,17.65897124341839,4.1231267719724585,1.1664641555285542,0.0,0.0,0.0
2024-08-14,54.18455804909665,22.814550757514382,17.661832617678037,4.123794863485377,1.215263712225553,0.0,0.0,0.0
2024-08-20,54.111642226363124,22.814550757514382,17.661832617678037,4.19671068621891,1.215263712225553,0.0,0.0,0.0
2024-08-23,54.09982174688057,22.816399286987522,17.663263652568464,4.197050721114892,1.2234645924485497,0.0,0.0,0.0
2024-09-02,52.70775347912525,22.393638170974157,17.335984095427435,4.119284294234593,1.5825049701789262,0.0,0.0,1.860834990059642
2024-09-11,52.63241483363773,22.361629476693402,17.31120463749702,4.113396331295164,1.7231795441912174,0.0,0.0,1.8581751766854602
2024-09-20,52.53792993883549,22.36873460957979,17.316705059972993,4.114703312415601,1.8031614901898485,0.0,0.0,1.8587655890062753
2024-10-02,52.53792993883549,22.36873460957979,17.316705059972993,4.114703312415601,1.7793311621256653,0.0,0.0,1.8825959170704583
2024-10-03,52.52958462393773,22.36518147883409,17.30601223095862,4.114049718052577,1.802875069494083,0.0,0.0,1.8822968787228973
2024-10-04,52.642470550780004,22.41324418974849,17.343202801655526,4.122890799108564,1.591849729385546,0.0,0.0,1.886341929321872
2024-10-07,51.64363238853752,21.9879753259936,17.053174045443896,3.9275396267666123,1.1556180213945497,2.4127430311548372,0.0,1.8193175607089873
2024-10-08,51.639600249843845,21.98625858838226,17.02841973766396,3.9272329793878824,1.1945658963148034,2.40474703310431,0.0,1.8191755153029356
2024-10-09,51.65573258356764,21.993127147766323,17.03373945641987,3.8972196188691037,1.1949390815370198,2.405498281786942,0.0,1.8197438300531084
2024-10-10,51.651698555251855,21.991409605622803,17.03240921515033,4.006247559547052,1.0933229207340882,2.405310425614994,0.0,1.8196017180788755
2024-11-12,51.651698555251855,21.991409605622803,17.048028114017963,4.006247559547052,1.0777040218664584,2.405310425614994,0.0,1.8196017180788755
2024-11-18,51.63153786104606,21.982825917252146,17.08040593286495,4.004683840749414,1.0772833723653397,2.4043715846994536,0.0,1.8188914910226384
2024-12-18,51.58296943231441,21.95882719900187,17.061759201497193,4.0003119151590765,1.0917030567685588,2.487523393636931,0.0,1.816905801621959
2024-12-19,51.35072193758733,21.859959633597267,16.984940226672876,3.982300884955752,1.5370284117373079,2.4763235522434406,0.0,1.8087253532060241
2025-01-09,51.334781933881736,21.85317398727301,16.979667856588545,3.9810647214030728,1.5675927363029645,2.4755548657457704,0.0,1.8081638988049047
2025-01-16,51.37885496776198,21.875242756156297,16.996815039229396,3.9850850617571663,1.5769439912996193,2.377068282451643,0.0,1.8099899013438983
2025-01-17,51.30313372634192,21.843003412969285,16.97176543592926,3.979211914365498,1.7297548867514736,2.365808253180267,0.0,1.8073223704623023
2025-01-27,51.29915458000466,21.841309237570776,16.97044908089661,3.9789032808500733,1.7373768711704027,2.3656247576204144,0.0,1.8071821918870703
2025-02-13,50.74031453778289,21.60337552742616,16.985040276179518,3.9355581127733026,2.5086306098964326,2.4395857307249713,0.0,1.7874952052167243
2025-02-17,50.74031453778289,21.60337552742616,16.785577291906407,3.9355581127733026,2.807825086306099,2.339854238588416,0.0,1.7874952052167243
2025-02-21,50.763681019264716,21.613324123109987,16.777956865453987,3.9373704812341694,2.778417376621383,2.3409317675953645,0.0,1.7883183667203932
2025-02-24,50.951390493798634,21.693243971959017,16.8399969185733,3.9134119097141977,2.465141360449888,2.3495878591787998,0.0,1.7872274863261692
2025-02-25,50.880836987460576,21.663204861912455,16.80129240710824,3.731056235095007,2.8617585968151396,2.346334333410262,0.0,1.7155165781983228
2025-02-26,50.880836987460576,21.663204861912455,16.80129240710824,3.7233633356412033,2.8694514962689435,2.346334333410262,0.0,1.7155165781983228
2025-02-27,50.8534522528064,21.651545440565894,16.776872212824852,3.552206673842842,3.1062586498539138,2.345071505459019,0.0,1.7145932646470858
2025-02-28,50.77927063339731,21.61996161228407,16.7447216890595,3.547024952015355,3.2552783109404992,2.3416506717850285,0.0,1.7120921305182342
