date,KINGSTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF COMMUNICATIONS TRUSTEE LTD,MIB SECURITIES (HONG KONG) LTD,KGI ASIA LTD,CGS INTERNATIONAL SECURITIES HK LTD,UBS SECURITIES HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,CHINA SYSTEM SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-06,0.0,76.0669486410946,1.4490156156772518,0.0,8.084401763960843,0.0,0.0,0.0,0.0,85.6003660207327
2024-03-07,0.0,76.06643878338323,1.449525473388609,0.0,8.084401763960843,0.0,0.0,0.0,0.0,85.6003660207327
2024-03-15,0.0,76.06643878338323,1.4485057579658944,0.0,8.085421479383557,0.0,0.0,0.0,0.0,85.6003660207327
2024-03-28,0.0,79.10009216595877,1.4485057579658944,0.0,8.085421479383557,0.0,0.0,0.0,0.0,88.63401940330822
2024-04-03,0.0,79.10009216595877,1.4479959002545373,0.0,8.085421479383557,0.0,0.0,0.0,3.4063593695776633,92.03986891517452
2024-04-17,0.0,79.09754287740198,1.4479959002545373,0.0,8.085421479383557,0.0,0.0,0.0,3.4063593695776633,92.03731962661774
2024-04-23,0.0,79.09703301969063,1.4479959002545373,0.0,8.086951052517628,0.0,0.0,0.0,3.407888942711735,92.03986891517452
2024-04-24,0.0,78.94633335622935,1.4479959002545373,0.0,8.086951052517628,0.0,0.15115343682438753,0.0,3.407888942711735,92.04032268853763
2024-09-03,0.0,78.94123477911577,1.4479959002545373,0.0,8.086951052517628,0.0,0.15115343682438753,0.0,3.408908658134449,92.03624382684677
2024-10-03,0.0,78.93970520598171,1.4479959002545373,0.0,8.086951052517628,0.0,0.15115343682438753,0.0,3.408908658134449,92.0347142537127
2024-10-23,0.0,78.88464057315512,1.4479959002545373,0.0,8.086951052517628,0.0,0.15115343682438753,0.0,3.408908658134449,91.97964962088612
2024-10-24,0.0,78.79337604282217,1.4536043350794667,0.0,8.087970767940343,0.0,0.15115343682438753,0.0,3.4094185158458066,91.89552309851217
