date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD
2024-03-01,28.98020265890048,10.767365684482083,14.67136302931859,6.303587257622115,0.5843266180456742,8.428296967875498,0.6692616054935029,0.27349704096850125,0.0
2024-03-04,28.96915003415546,10.93942433243255,14.674854740325074,6.384692621438735,0.5849283368713345,8.225699822746302,0.6715101337367594,0.2745104621485606,0.0
2024-03-05,28.958034070586685,11.085947458545533,14.671997367638484,6.349828082597626,0.5832181886299844,8.192289384951518,0.6674483733164936,0.26991839742641693,0.0
2024-03-06,28.959332516473637,11.265629567322994,14.669907186454612,6.283876374017021,0.5853400392257336,8.092946240223256,0.672701695358626,0.2707101327233382,0.0
2024-03-07,29.043256457947294,11.237727073641834,14.666108440499984,6.281912870480657,0.5842949486337974,8.028504212506821,0.6671210699447464,0.27599892450677266,13.645146140084577
2024-03-08,29.058867577837873,11.300259119127977,14.728175895713894,6.282067258863557,0.5839782545150288,7.974764704187108,0.6920358713094447,0.29319541515590375,0.0
2024-03-11,29.023334497712042,11.038292911023838,14.686347728242243,6.282799614013208,0.5876835757046206,8.017893059363363,0.6791304276225677,0.2955389516347909,13.645462834203345
2024-03-12,29.022384415355738,10.954447192997513,14.72590393210585,6.282356242246932,0.5852133615782262,8.118596088637617,0.6621239534446978,0.2941771669240862,13.645146140084577
2024-03-13,28.953820138642353,11.0183619250062,14.683280070660793,6.28146949871438,0.5798929003829149,8.137060780885356,0.6770404047857549,0.2768223292155708,0.0
2024-03-14,29.025614695367178,11.036594638811941,14.688030482442318,0.0,0.5921489627792569,8.007649746438855,0.669883117701586,0.2735920492041318,0.0
2024-03-15,29.133195687512845,11.00078936009103,14.683826526362727,6.284351415195173,0.59664601926577,7.934827517298625,0.671297315288947,0.2737187268516393,0.0
2024-03-18,29.146148476970478,11.115017445095532,14.688709791327078,6.283559679898253,0.5757442074270471,7.874546375261629,0.6744595060648507,0.29332209280341115,13.645462834203345
2024-03-19,29.197452924210978,11.181160436923875,14.686317167259782,0.0,0.5771376615496286,7.853537204116644,0.7306505435579508,0.29287872103713525,0.0
2024-03-20,29.10941195919333,11.282662960500959,0.0,6.284513720931042,0.5772010003733823,7.84865188064052,0.7184750798148353,0.27881750216381257,0.0
2024-03-21,28.986787996406154,11.396277925691525,0.0,6.290595673134932,0.577113909490721,7.897490072431113,0.7012654463597753,0.27964090687261073,0.0
2024-03-22,28.912111523200533,11.757221813510869,0.0,0.0,0.5776522894926276,7.929917333334179,0.6798486898839348,0.280876013935808,13.645779528322114
2024-03-25,28.889119530177936,11.757985838072397,14.701043443782519,6.286631612850307,0.5785707024370562,7.968705712306829,0.6761394100178584,0.2811293692308228,0.0
2024-03-26,29.033880411867038,11.621065827722834,14.723053685036932,6.285586522258371,0.6219577967083447,7.866730997798658,0.6688704882568237,0.2872415657230554,13.646096222440882
2024-03-27,28.951033230397186,11.577393708744653,14.72191247777995,6.285776538729632,0.6371274449973572,7.91685781795852,0.6548843258896492,0.28714655748742485,0.0
2024-03-28,28.97911085592603,11.55649965591184,14.720105262791197,6.285713199905879,0.6481167309186252,7.816008000960216,0.6473036187686869,0.2873682433705628,0.0
2024-04-02,28.796788468280393,11.553771969466887,14.781890701892342,6.28428807637142,0.6091000154863424,7.978548723865214,0.6488636539977407,0.27479548685545224,13.645146140084577
2024-04-03,28.914181435960806,11.536889005995336,14.785120823556722,6.282546258718193,0.606376446064933,8.022797226139552,0.6466333356663133,0.2702667609570623,13.656737144831505
2024-04-05,29.17900105807505,11.469562686592216,14.751752981120914,6.284193068135789,0.6221794825914826,7.672216836662791,0.6544873498117728,0.2705834550758308,13.648059725977246
2024-04-08,29.355336343405366,11.481222097268798,14.758435227026927,6.284351415195173,0.6276582908461782,7.567158788214291,0.6365255678246375,0.27115350448961417,13.7177641015182
2024-04-09,0.0,11.451975078706406,14.751626303473406,6.285459844610863,0.6636664121501599,7.554926477876857,0.6439552118509473,0.2722936033171809,0.0
2024-04-10,29.213837411139586,11.359653042591242,14.752364042423077,6.317540958842116,0.6645848250945886,7.843548038222446,0.6190988405511618,0.2736237186160087,0.0
2024-04-11,29.265383812686835,11.367134149411852,14.76138982480798,6.291508702279343,0.6626846603819774,7.827122856099576,0.6158379995572616,0.2728636527309642,0.0
2024-04-12,29.296071472795497,11.540922580639032,14.777041481545758,6.2937572305225995,0.6605624930921096,7.831346288867473,0.6167589460546405,0.273782065675393,0.0
2024-04-15,29.289705921008256,11.61859007144936,14.7840667071824,6.307976796455305,0.6237943059030834,7.944659444562853,0.6240112413744398,0.2738770739110235,13.720931042705885
2024-04-16,29.1875720677054,11.812830292172494,14.760314648274761,6.2842247375476665,0.6246810494356352,8.167733714717503,0.6182474084128525,0.2752071892098514,13.722514513299727
2024-04-17,29.184968683702067,11.791731496591897,14.76036151900434,6.321151271796078,0.6173020764683285,8.142501110804622,0.6194825154760499,0.2747638174435754,0.0
2024-04-18,29.18272015545881,11.833706135093477,0.0,6.473826181166137,0.6143568211637812,8.178856170515713,0.6255199721562531,0.27736070921747735,0.0
2024-04-19,29.217619847347102,11.672540181358054,14.766378707260941,6.0882510915654535,0.5985221152253548,8.164438354064659,0.6447274704595644,0.27584057744738844,0.0
2024-04-22,29.290712849958872,11.569652912746653,14.791904253233684,6.092463123345075,0.6020690893555624,8.191742929249584,0.6356578259392118,0.27599892450677266,13.728848395675097
2024-04-23,29.39481020679809,11.602293942179887,14.768753913151706,6.030316652948533,0.6242693470812362,8.186166262512188,0.7064248685956928,0.27584057744738844,0.0
