date,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,DBS BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-20,0.49466313476662765,0.48888067516786793,0.0,0.5913879135095177,0.0,0.0,0.0
2024-03-22,0.0,0.5184500708433437,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.5250210476601163,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.5874453274194542,0.0,0.0,0.0
2024-04-22,0.0,0.0,0.0,0.581531448284359,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,0.5848169366927453,0.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,1.6972504568882318,3.3647672436805687,0.0
2024-05-23,0.0,0.0,0.0,0.0,1.696671553830674,0.0,0.0
2024-05-31,0.0,0.538163001293661,0.0,0.0,0.0,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.6025585740980307,0.0,0.0,0.0
2024-06-18,0.0,0.0,0.0,0.5992730856896445,0.0,0.0,0.0
2024-07-12,0.0,0.5447339781104334,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,3.680075566233393
2024-07-29,0.0,0.0,0.0,0.0,1.8760592209285614,0.0,0.0
2024-08-02,0.0,0.0,0.0,0.5920450111911949,0.0,0.0,0.0
2024-08-12,0.5018912092650772,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,0.49466313476662765,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-28,0.0,0.0,0.0,0.5657611039241052,0.0,0.0,0.0
2024-09-20,0.0,0.5414484897020473,0.0,0.0,0.0,0.0,0.0
2024-10-02,0.0,0.0,0.0,0.546048173473788,0.0,0.0,0.0
2024-10-03,0.0,0.0,0.0,0.0,1.8944579560155237,0.0,0.0
2024-10-04,0.0,0.0,0.0,0.529620731431857,1.914170886465841,0.0,0.0
2024-10-08,0.0,0.0,0.0,0.0,1.9253415470543545,0.0,0.0
2024-10-09,0.0,0.5427626850654017,0.0,0.0,0.0,0.0,0.0
2024-10-10,0.0,0.5756175691492639,0.0,0.0,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0,0.0,1.9266557424177089,0.0,0.0
2024-11-27,0.0,0.0,0.0,0.0,1.926820016838128,0.0,0.0
2024-12-12,0.0,0.0,0.0,0.0,1.923534528429742,0.0,0.0
2024-12-19,0.0,0.0,0.0,0.5289636337501796,0.0,0.0,0.0
2025-01-03,0.0,0.0,0.0,0.5158216801166349,0.0,0.0,0.0
2025-01-07,0.0,0.0,0.0,0.5151645824349577,0.0,0.0,0.0
2025-01-08,0.0,0.5644469085607507,0.0,0.0,0.0,0.0,0.0
2025-01-10,0.0,0.0,0.0,0.0,0.0,3.3627959506355367,0.0
2025-01-13,0.0,0.0,0.0,0.0,0.0,3.3562249738187644,0.0
2025-01-22,0.0,0.0,0.0,0.5020226288014127,0.0,0.0,0.0
2025-01-24,0.0,0.0,0.0,0.0,1.9269842912585475,0.0,0.0
2025-02-10,0.0,0.5795601552393272,0.0,0.0,0.0,0.0,0.0
2025-02-12,0.0,0.0,0.9647836711226104,0.0,0.0,0.0,0.0
2025-02-19,0.0,0.0,0.0,0.0,0.0,0.0,5.958003244419803
2025-03-11,0.0,0.5861311320560997,0.0,0.0,0.0,0.0,0.0
2025-03-12,0.0,0.589416620464486,0.0,0.5841598390110679,1.9328981703936425,0.0,0.0
2025-03-17,0.0,0.0,0.0,0.5874453274194542,0.0,0.0,0.0
2025-03-18,0.0,0.0,0.0,0.0,1.9327338959732234,0.0,0.0
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,5.946175486149613
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,5.935661923242777
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,5.929090946426005
2025-03-26,0.0,0.0,0.0,0.57890305755765,0.0,0.0,0.0
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,5.925805458017618
2025-03-31,0.0,0.605844062506417,0.0,0.6012443787346763,1.931419700609869,0.0,0.0
2025-04-10,0.0,0.526992340705148,0.0,0.0,0.0,0.0,0.0
2025-04-28,0.0,0.5335633175219204,0.0,0.0,0.0,0.0,0.0
2025-04-30,0.5735148565678967,0.0,0.0,0.0,0.0,0.0,0.0
