date,HTF SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,USMART SECURITIES LTD,VALUABLE CAPITAL LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,YUANTA SECURITIES (HONG KONG) CO LTD,TIGER BROKERS (HK) GLOBAL LTD
2024-03-01,0.0,0.0,6.439402035742144,54.79097231358172,11.731813807053358,22.081067826862874,0.0,0.0,4.956744016759906
2024-03-04,67.41985393910328,0.0,2.105242721150257,17.848594904920397,3.821206746307662,7.192095504870445,0.0,0.0,1.6130061836479608
2024-03-05,67.42158869534755,0.0,2.1050672704787896,17.8480878743517,3.820888287403746,7.191496116508757,0.0,0.0,1.6128717559094592
2024-03-06,67.39185465976604,0.0,2.1002187540028374,17.904408979527915,3.819203212482062,7.1883245477938935,0.0,0.0,1.5959898464272613
2024-03-07,67.32124932779705,0.0,2.0979878798368876,17.985248296327132,3.8151464151770185,7.180689034826697,0.0,0.0,1.599679046035219
2024-03-08,67.32451586710224,0.0,2.102403651906961,17.977504329874623,3.8141860897925586,7.18072418431878,0.0,0.0,1.600665877004834
2024-03-11,67.32220907034456,0.0,2.0993947144984717,17.983251636906232,3.814055401112635,7.180478145100334,0.0,0.0,1.6006110320377718
2024-03-12,67.31693698559926,0.0,2.1026564244719057,17.986248352894663,3.813756717757237,7.179915833051822,0.0,0.0,1.6004856862251238
2024-03-13,68.05805536639181,0.0,2.1128363305863496,17.203725351436923,3.790851339630139,7.248422018600668,0.0,0.0,1.5861095933541118
2024-03-14,68.4921275658632,0.0,2.132232354958319,16.74330493434104,3.807841393677892,7.251128628902132,0.0,0.0,1.5733651222574185
2024-03-15,65.1786276687579,0.0,2.028491619109335,15.928683220908498,3.62257628068129,6.8794480085226875,3.8478068445349103,0.9797765618370277,1.5345897956483567
2024-03-18,65.26362033436304,0.0,2.028491619109335,15.909795961885134,3.584801762634561,6.870004379011005,3.8478068445349103,0.9797765618370277,1.515702536624992
2024-03-19,65.23374933742699,0.0,2.0945475753628697,15.918863761767781,3.6130473504681424,6.853316226917128,3.8477160035239018,0.9797534307659953,1.459006313767193
