date,CHINA MERCHANTS SECURITIES (HK) CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CMB WING LUNG BANK LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,47.83840270706854,0.0,24.571852917984092,21.71932537647086,0.0,0.0,5.8704189984765085
2024-03-05,0.0,0.0,47.82961460446247,0.0,24.56733897202342,21.71533545103142,0.0,0.0,5.887710972482682
2024-03-06,0.0,0.0,47.82229365170474,0.0,24.563578617074196,21.71201163280144,0.0,0.0,5.902116098419623
2024-03-07,0.0,0.0,35.70501598820413,25.31870813701584,18.339625732670793,16.21059266063903,0.0,0.0,4.426057481470213
2024-03-11,0.0,0.0,35.66833045430974,25.292694135906597,18.35503119190846,16.193936898695206,0.0,0.0,4.4900073191799965
2024-03-12,0.0,0.0,31.282129676294662,22.182404607802084,16.09787894875624,14.202538430657249,12.335232531949053,0.0,3.899815804540711
2024-03-13,0.0,0.0,31.213687183097676,22.133871496656113,16.1775484998768,14.154480772324737,12.308244149847598,0.0,4.012167898197074
2024-03-14,0.0,23.8702171670648,23.92578287362885,16.858047185416435,12.269729795896298,10.780622123923022,9.374454020802629,0.0,2.921146833267962
2024-03-15,0.0,23.834670368194953,23.824812218197945,16.9043620486465,12.110898724645626,10.986423811692331,9.359734089643004,0.0,2.9790987389796424
2024-03-18,0.0,23.823086168088945,23.699321148010533,17.23788112250404,12.105012548242824,10.981084156059675,9.355185042773108,0.0,2.7984298143208783
2024-03-19,0.0,23.798326551595725,23.674690161973118,17.219965587852588,12.092431664883488,10.969671384831571,9.345462087810521,0.0,2.8994525610529918
2024-03-20,0.0,23.795979772191192,23.672355574490236,17.218267507926647,12.091239216770788,10.968589653356688,9.344540521417775,0.0,2.9090277538466736
2024-03-21,0.0,23.79038547326001,23.666790338901837,17.21421959157949,12.08839663549132,10.966011000577444,9.34461877933024,0.0,2.929578180859659
2024-03-25,0.0,23.75417648246893,23.63076946003046,17.188019531922293,12.069998083565988,10.949320720725481,9.4818391469519,0.0,2.9258765743349424
2024-03-27,0.0,23.753996613777833,23.63059052578808,17.187889382742927,12.06990668849033,10.949995020216981,9.481767349640897,0.0,2.9258544193429508
2024-03-28,0.0,23.737460339197497,23.61414015999139,17.175924084317117,12.061504258600104,10.942372213526731,9.475166645306807,0.0,2.9934322990603524
2024-04-09,0.0,23.737101110657807,23.6137827977056,17.17566415414605,12.061321727002394,10.995173526666989,9.475023253796987,0.0,2.9419334300241724
2024-04-10,0.0,23.723458478189876,23.600211041054067,17.16579263393155,12.054389617700933,10.98885417407856,9.471090060984094,0.0,2.996203994060922
2024-04-11,0.0,23.732611671122246,23.609316681578697,17.172415690681888,12.059040548085058,10.99309399022735,9.414978646230775,0.0,3.0185427720739884
2024-04-12,0.0,23.73512554802285,23.611817498457484,17.17423467882068,12.060317901959861,10.994258433712591,9.415975927847581,0.0,3.008270011178946
2024-04-16,0.0,23.738358458117304,23.615033613029315,16.764923594554766,12.061960611765993,10.995755937865225,9.41725845755507,0.0,3.4067093271123277
2024-04-18,0.0,23.738358458117304,23.609736641618877,16.764923594554766,12.061960611765993,11.00105290927566,9.41725845755507,0.0,3.4067093271123277
2024-04-19,0.0,23.74051422083325,23.611880723741283,16.76644607544933,12.063056000270382,11.002051953069687,9.41811367147835,0.0,3.397937355157717
2024-04-22,0.0,23.74033455898554,23.611702035357396,16.766319191479866,12.06296471029621,11.001968692489731,9.418042397718716,0.0,3.3986684136725396
2024-05-02,0.0,23.739077002186967,23.610451292393066,16.76543105746331,12.06232571916301,11.001385903713416,9.417543511604997,0.0,3.4037855134752335
2024-05-07,0.0,23.740154899857075,23.611523349678023,16.766192309430835,12.062873421703744,11.001885433169951,9.417971125037836,0.0,3.3993994611225355
2024-05-08,0.0,23.73817882889646,23.609557985685072,16.76479673362762,12.06186933837022,11.000969663815951,9.417187196738858,0.0,3.4074402528658156
2024-05-13,0.0,23.718256869550363,23.7409578539157,16.75072709495061,12.021503793801362,10.99173724240781,9.409283944267795,0.0,3.367533201106369
2024-05-14,0.0,23.7180775444188,23.740778357150237,16.750600448782784,12.021412903574424,10.991654137872011,9.409212804087026,0.0,3.3682638041147213
2024-05-17,0.0,23.716463740249548,23.739163008392637,16.749460719443796,12.02059495337472,10.990906253595075,9.40857259086468,0.0,3.374838734079544
2024-05-20,0.0,23.706068934557255,23.72875825372632,16.742119515816807,12.015326387613205,11.011026465025912,9.404448861248198,0.0,3.3922515820123067
2024-05-22,0.0,23.701591224581325,23.724276258088725,16.73895718823811,12.01305687819018,11.008946652333906,9.402672506231244,0.0,3.410499292336508
