date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,TELECOM KING SECURITIES LTD,REALINK FINANCIAL TRADE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TIGER BROKERS (HK) GLOBAL LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-04,0.0,55.80546224623922,0.0,0.0,31.98481086607273,0.0,0.0,0.0,0.0,12.209726887688038
2024-03-08,0.0,32.27024758707511,42.33319345362988,0.0,18.380193033990768,0.0,0.0,0.0,0.0,7.016365925304238
2024-03-12,0.0,32.24804900562222,42.07434757069733,0.0,18.37710833263405,0.0,0.0,0.0,0.0,7.300495091046404
2024-03-15,0.0,32.10301149232447,42.06022984648939,0.0,18.538713195201744,0.0,0.0,0.0,0.0,7.298045465984397
2024-03-18,0.0,32.250774252950535,41.96869506989203,0.0,18.498367791077257,0.0,0.0,0.0,0.0,7.2821628860801875
2024-03-21,0.0,28.963391716154252,37.69074644816959,0.0,16.6127941065925,0.0,10.133052694880854,0.0,0.0,6.60001503420281
2024-03-22,0.0,26.316508435216175,34.24629465200464,0.0,15.094597363568063,0.0,9.207021378321153,0.0,9.138720032784645,5.9968581381053205
2024-03-25,0.0,26.286299965835326,34.26033481380253,0.0,15.10078578749573,0.0,9.210796036897847,0.0,9.142466689443115,5.999316706525453
2024-03-27,0.0,26.304273504273507,34.215384615384615,0.0,15.11111111111111,0.0,9.217094017094016,0.0,9.14871794871795,6.003418803418803
2024-04-02,0.0,26.314350174335132,34.21070622820811,0.0,15.109044916934437,0.0,9.215833732139195,0.0,9.147467013058042,6.002597935325084
2024-04-03,0.0,25.435209645735963,34.5729187834451,0.0,14.969857075120233,0.0,9.266409266409266,0.0,9.063198536882748,6.692406692406692
2024-04-05,37.895275892971455,15.170912815260529,21.738573806170784,0.0,9.43114411300303,0.0,5.837920880809115,0.0,5.709896300089618,4.216276191695472
