date,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,ICBC (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,34.2962032788385,34.93736379759303,12.945261077998785,16.058804669119706,0.0,0.0,0.0,0.0,1.7623671764499866,0.0
2024-03-04,30.037668595788507,30.665320658607726,11.39318975050679,14.154117043581719,8.618662093189764,0.0,0.0,3.5042184303039567,1.626823428021534,0.0
2024-03-05,30.02830111242803,30.654082151397628,11.386279276479533,14.160690185927164,8.600460982083046,0.0,0.0,3.5029341722805967,1.667252119404002,0.0
2024-03-06,29.71255599425886,30.310880837428172,11.249869445996733,14.038500249731717,8.505426213507645,1.0683536219314749,0.0,3.4647977102724776,1.6496159268729156,0.0
2024-03-07,29.703840493230743,30.303090667867117,11.261473863990961,14.0406186729398,8.507037654019983,1.0685560325179249,0.0,3.465454151849564,1.6499284635839082,0.0
2024-03-08,28.470123072023657,29.04004303217465,10.812343319263086,13.458442226682301,8.15697720752001,1.0243259532971105,4.132858071004936,3.322852405265265,1.5820347127689853,0.0
2024-03-11,28.465826365893303,29.045790210859984,10.804317198284291,13.459294944140526,8.15953946085784,1.0246477125133113,4.134156276101972,3.323896173005435,1.582531658343336,0.0
2024-03-12,27.96394154651583,28.612563138454117,10.780082709813536,13.197745959067838,8.038483977982528,0.999471712193558,4.072821652170525,3.27458262311934,1.5851396295229458,1.4751670511597856
2024-03-13,27.93931031348456,28.599011835463557,10.819545366309884,13.194540213576737,8.039235685436182,0.999341197041017,4.07333211233125,3.274993037351747,1.5853383002969603,1.47535193870811
2024-03-14,27.926196742514925,28.58481196030628,10.834966518270605,13.256032876607604,8.01711347227294,0.9684038055616819,4.072570737032932,3.278498308560615,1.584474550189235,1.4769310286831785
2024-03-15,27.996280191878803,28.539180980432256,10.861753788929812,13.219497730704719,8.003267628623911,0.9545510622360016,4.074646979297801,3.280169723790223,1.5852823330961834,1.4853695810102894
2024-03-18,28.027790367553855,28.474334260386076,10.908873246483216,13.265572383539084,8.004984330563111,0.8830026287165217,4.0790464158397555,3.283711355401495,1.585711662316077,1.486973349200811
2024-03-19,28.024081969083763,28.46738734180753,10.947649455604825,13.278178488610138,7.999013655921859,0.8152155148163958,4.087620902642941,3.2844189146375573,1.5860533442762035,1.510380412598785
2024-03-20,28.05839701972604,28.486121922850632,10.854538630282416,13.24998389641393,8.051022896809277,0.815832879473882,4.095337295861183,3.286906212930369,1.600603525336581,1.5012557203156898
2024-03-21,28.113338711570478,28.41518939085028,10.86286684054634,13.285772144859648,8.054739736363539,0.7972171730661606,4.094552531206321,3.2866902395416826,1.5987935265575786,1.490839705437973
2024-03-22,28.149225794769727,28.38467894909525,10.911085015654894,13.275739256239724,8.051229582077159,0.7611726200771244,4.097496185177397,3.2761621755565247,1.600644615912604,1.4925658054395958
2024-03-25,28.366021382412637,28.273584511465238,10.97731717959365,13.253585747396555,7.989607498473426,0.6769026497501823,4.088368791267029,3.2989021337229323,1.6004884418628695,1.475221664055479
2024-03-26,28.325083589542118,28.258757798333733,11.023928378320043,13.25630427922388,7.987945079221262,0.6755654204077749,4.07520979476225,3.321740285065096,1.6003610927972935,1.475104282326551
2024-03-27,28.2725778809552,28.27327254018189,11.131285704264425,13.260314025415806,7.962001724275171,0.6759124157622323,4.061894635300619,3.2856960261003274,1.601183097369878,1.4758619503744488
2024-03-28,27.92641153250303,28.284074507047336,11.147015361627389,13.579121533149346,7.930937940175534,0.6762197887376334,4.062200258256354,3.315574736309481,1.6019112396577297,1.4765331025361623
