date,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHEONG LEE SECURITIES LTD,GRAND CHINA SECURITIES LTD,"INDUSTRIAL BANK CO., LTD.",PATRONS SECURITIES LTD,SUNHIGH FINANCIAL HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,XIN YONGAN INTERNATIONAL SECURITIES
2025-01-06,0.0,126300.0,56700.0,0.0,25800.0,0.0,2510300.0,4239600.0,906100.0,0.0
2025-01-20,1764300.0,158400.0,57600.0,0.0,8700.0,0.0,0.0,4160700.0,891100.0,0.0
2025-01-23,0.0,156000.0,51900.0,0.0,64800.0,0.0,2515700.0,4112400.0,880000.0,0.0
2025-02-27,1764000.0,166800.0,0.0,0.0,160500.0,0.0,2549900.0,4128000.0,872800.0,0.0
2025-03-19,1767900.0,187500.0,58200.0,0.0,0.0,0.0,0.0,3646900.0,852100.0,0.0
2025-03-25,0.0,213000.0,82500.0,45900.0,206700.0,0.0,2515100.0,4102800.0,850300.0,0.0
2025-04-02,0.0,218700.0,0.0,382200.0,0.0,0.0,2365700.0,4124400.0,849100.0,0.0
2025-04-09,1769100.0,222600.0,105600.0,0.0,0.0,0.0,2351600.0,0.0,848200.0,0.0
2025-04-10,1768800.0,224100.0,0.0,383700.0,0.0,0.0,2467100.0,0.0,847900.0,0.0
2025-04-14,0.0,226800.0,0.0,508500.0,285600.0,0.0,2362400.0,0.0,846700.0,0.0
2025-04-22,0.0,220800.0,117000.0,547500.0,210000.0,0.0,0.0,4182600.0,845500.0,0.0
2025-04-29,0.0,230400.0,105300.0,0.0,0.0,0.0,2310500.0,4195200.0,843400.0,0.0
