date,ABCI SECURITIES CO LTD,CCB INTERNATIONAL SECURITIES LTD,TAIPING SECURITIES (HK) CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CATHAYSIA SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,71.9034780864954,0.0,0.0,28.096521913504603,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,69.98546984450566,0.0,0.0,30.014530155494352,0.0
2024-03-05,0.0,0.0,0.0,0.0,71.63288454752885,24.00763637897502,0.0,0.0,4.35947907349613,0.0
2024-03-06,0.0,0.0,0.0,0.0,71.60624922798611,23.998709598063446,0.0,0.0,4.39504117395045,0.0
2024-03-07,0.0,0.0,0.0,0.0,71.59560064549166,23.99514074420404,0.0,0.0,4.409258610304296,0.0
2024-03-08,0.0,0.0,0.0,0.0,70.80588365018447,23.75988245582957,0.0,0.0,5.434233893985965,0.0
2024-03-11,0.0,0.0,0.0,0.0,71.0566909106822,23.844044261618706,0.0,0.0,5.099264827699089,0.0
2024-03-12,0.0,0.0,0.0,0.0,71.14594509683151,23.39372185831906,0.0,0.0,5.460333044849432,0.0
2024-03-13,0.0,0.0,0.0,0.0,60.2861850309413,19.81662903243529,15.226494565672501,0.0,4.670691370950911,0.0
2024-03-14,0.0,0.0,0.0,0.0,60.33907447762914,19.834014284864285,15.239852864462858,0.0,4.587058373043713,0.0
2024-03-15,0.0,0.0,0.0,0.0,60.2710907862414,19.805408001200806,15.222682209080723,0.0,4.700819003477073,0.0
2024-03-18,0.0,0.0,0.0,0.0,59.97452061404529,19.707953430780602,15.147777417660155,0.0,5.169748537513954,0.0
2024-03-19,0.0,0.0,0.0,0.0,59.97825642733985,19.709181039333057,15.148720972817916,0.0,5.163841560509183,0.0
2024-03-20,0.0,0.0,0.0,0.0,59.62541998500892,19.59323706674361,15.059604997591327,0.0,5.7217379506561405,0.0
2024-03-21,0.0,0.0,0.0,0.0,59.61803646159408,19.584619210541902,15.057740139513246,0.0,5.739604188350777,0.0
2024-03-22,0.0,0.0,0.0,0.0,59.65497237629817,19.5967527169035,15.067069051339917,0.0,5.681205855458414,0.0
2024-03-25,0.0,0.0,0.0,0.0,59.74751270318433,19.627152360555833,15.09044198136882,0.0,5.534892954891026,0.0
2024-03-26,0.0,0.0,0.0,0.0,59.784609274112825,19.508951961479802,15.09981147017223,0.0,5.606627294235148,0.0
2024-03-28,0.0,0.0,0.0,0.0,59.60696460451644,19.450982839201547,15.054943718218086,0.0,5.887108838063929,0.0
2024-04-02,0.0,0.0,0.0,0.0,59.599585650837575,19.448574934314404,15.053080014319193,0.0,5.898759400528827,0.0
