date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,IFAST SECURITIES (HK) LTD,DBS BANK LTD,BNP PARIBAS
2024-03-01,99.02709950921313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9729004907868657
2024-03-04,98.96837123961772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0316287603822722
2024-03-06,99.23527752140828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764722478591721
2024-03-07,99.67084448980114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32915551019885253
2024-03-08,98.4035705672759,0.0,0.0,0.0,0.0,0.8399009781449738,0.0,0.0,0.0,0.7565284545791123
2024-03-11,98.40090415415408,0.0,0.0,0.0,0.0,0.841303810580447,0.0,0.0,0.0,0.7577920352654762
2024-03-12,98.40401410518133,0.0,0.0,0.0,0.0,0.8396676274481173,0.0,0.0,0.0,0.7563182673705469
2024-03-13,98.55308910837827,0.0,0.0,0.0,0.0,0.844031353446013,0.0,0.0,0.0,0.6028795381757236
2024-03-14,98.55317857084339,0.0,0.0,0.0,0.0,0.8439791670080197,0.0,0.0,0.0,0.6028422621485854
2024-03-15,98.55326802224629,0.0,0.0,0.0,0.0,0.8439269870229996,0.0,0.0,0.0,0.602804990730714
2024-03-18,97.44262100621629,0.9981879754577219,0.0,0.0,0.0,0.834625780398034,0.2568079324301643,0.0,0.0,0.46775730549779926
2024-03-19,97.4649690215545,0.9984169052623145,0.0,0.0,0.0,0.8348171979681833,0.2568668301440564,0.0,0.0,0.44493004507095485
2024-03-20,97.46477520751992,0.9984932385340712,0.0,0.0,0.0,0.8348810233378299,0.2568864687193323,0.0,0.0,0.4449640618888434
2024-03-21,97.16676883793582,0.9962843020074899,0.0,0.0,0.0,0.8330340411884984,0.256318166519538,0.0,0.0,0.7475946523486525
2024-03-22,97.1649088694536,0.9969383458518052,0.0,0.0,0.0,0.8335809139894114,0.25648643507366503,0.0,0.0,0.7480854356315231
2024-03-26,96.98816034393836,1.0171630635914486,0.0,0.0,0.0,0.832640228966913,0.3232962061190212,0.0,0.0,0.8387401573842532
2024-03-27,96.98825220116828,1.0171320414282303,0.0,0.0,0.0,0.8326148345124644,0.3232863460011766,0.0,0.0,0.8387145768898451
2024-03-28,96.97195215101787,1.0226369191245983,0.0,0.0,0.0,0.8371210762249335,0.325036022270487,0.0,0.0,0.8432538313621125
2024-04-02,96.27669926420268,1.0157225320150565,0.0,0.0,0.0,0.8314610232087268,1.0385648678174941,0.0,0.0,0.8375523127560436
2024-04-03,96.27664256408211,1.0157379999007103,0.0,0.0,0.0,0.8314736850761438,1.0385806835566485,0.0,0.0,0.837565067384394
2024-04-05,96.26993980338845,1.0175665239836005,0.0,0.0,0.0,0.8329704978936221,1.040450328870788,0.0,0.0,0.8390728458635387
2024-04-08,95.58350330153961,1.0105671690816749,0.0,0.0,0.0,0.8272408910323754,1.745387374485891,0.0,0.0,0.8333012638604513
2024-04-09,95.57995400726071,1.011379306057328,0.0,0.0,0.0,0.827905698811546,1.7467900458441408,0.0,0.0,0.8339709420262825
2024-04-10,95.6504273512059,1.012623021551715,0.0,0.0,0.0,0.8289237927544774,1.6730293399550074,0.0,0.0,0.8349964945328985
2024-04-11,95.64328395113544,1.014286074901453,0.0,0.0,0.0,0.8302851527679062,1.675776993315444,0.0,0.0,0.8363678278797588
