date,FUTU SECURITIES INTERNATIONAL,BRADBURY SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,THE HONGKONG AND SHANGHAI BANKING,GRAND CHINA SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD
2024-03-01,22.18968107563281,37.34096571135158,0.0,6.747427875929484,10.505296388566647,23.21662894851948,0.0,0.0,0.0,0.0
2024-03-04,22.180179494980226,37.18246121083054,0.0,6.746273197444479,10.50349863097049,23.387587465774264,0.0,0.0,0.0,0.0
2024-03-05,19.838008355358514,33.34470116804501,0.0,6.049961633557848,9.344360133003667,21.130531162076906,0.0,10.292437547958052,0.0,0.0
2024-03-06,19.870546845646754,33.23940294429074,0.0,6.059364005874919,9.35888239915292,21.1633705639239,0.0,10.30843324111077,0.0,0.0
2024-03-07,19.891784866950005,33.04999402597846,0.0,6.055950978886101,9.353610869305477,21.346032396265382,0.0,10.302626862614574,0.0,0.0
2024-03-08,19.858700660420826,32.9749654430963,0.0,6.054710831242853,9.351695421423575,21.459410570146247,0.0,10.3005170736702,0.0,0.0
2024-03-11,17.77767540424748,29.365335298905116,0.0,5.4483192825663,8.415104190660463,19.31020715283856,0.0,9.296540286543511,10.386818384238572,0.0
2024-03-12,17.762349471614648,29.37300319488818,0.0,5.449741951339396,8.411157532563283,19.315249447038585,0.0,9.29896780535758,10.389530597198329,0.0
2024-03-13,17.759823046911002,29.373905563577157,0.0,5.4499093729839325,8.411415931922214,19.315842831249423,0.0,9.299253479155785,10.389849774200485,0.0
2024-03-14,17.785832770166493,29.37119862382503,0.0,5.449407138907661,8.410640781470786,19.314062787983044,0.0,9.279965595625729,10.388892302021258,0.0
