date,SPDB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,WEALTH LINK SECURITIES LTD,USMART SECURITIES LTD,FOSUN INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,CITIBANK N.A.
2024-03-01,0.0,11.64304139665015,14.407546792307969,0.0,24.760103305092954,0.0,18.13561423458511,12.19364828043262,14.378869350444297,4.481176640486896
2024-03-04,0.0,11.706153473357881,14.58944250620465,0.0,25.10191431996397,0.0,17.334333665474773,12.43850888770096,14.018551277700992,4.811095869596771
2024-03-05,0.0,11.729827812079305,14.63050444344079,0.0,25.170014753407617,0.0,17.444507470279518,12.538781454291673,13.648203592182917,4.8381604743181805
2024-03-06,0.0,11.74407843461547,14.665634892487791,0.0,25.22373496301648,0.0,17.384707239418468,12.675505344947045,13.462300747463155,4.844038378051593
2024-03-07,0.0,11.76143099472016,14.680072659584248,0.0,25.248566783348053,0.0,17.45394043234198,12.890667353149718,13.116514624835629,4.848807152020213
2024-03-08,0.0,11.824639031206335,14.764788076385654,0.0,25.39007918025151,0.0,17.384722869119702,13.070563577084304,12.837680484396833,4.727526781555659
2024-03-11,0.0,11.840494374161954,14.918673118404943,0.0,25.482422899784297,0.0,17.413863464117064,13.28630560251851,12.324374744942576,4.733865796070658
2024-03-12,0.0,11.84601924759405,14.94313210848644,0.0,25.494313210848645,0.0,17.480314960629922,13.409157188684748,12.090988626421698,4.7360746573345
2024-03-13,0.0,11.847705673138591,15.106990846014808,0.0,25.45624161856452,0.0,17.503352574193926,13.41029677569821,11.929333566555886,4.7460789458340615
2024-03-14,0.0,11.901833304047326,15.269724125812687,0.0,25.139108533942483,0.0,17.600890294617233,13.565278509927955,11.737831664030926,4.78533356762139
2024-03-15,0.0,11.90880853308328,15.302115688917542,0.0,25.106956572701165,0.0,17.658090605403505,13.965891109418038,11.2758600480572,4.78227744241927
2024-03-18,0.0,9.65137266077705,12.472689275197112,0.0,20.190937589056713,19.15550489218201,14.27757195782274,11.34226275292106,9.043412178208417,3.8662486938349003
2024-03-19,0.0,9.643128321943811,12.594912680334092,0.0,20.14047076689446,19.13914198936978,14.265375854214124,11.389521640091116,8.959757023538344,3.867691723614275
