date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,BNP PARIBAS
2024-03-01,19.282917546885177,42.9578081577411,16.771254307222218,6.542480840166376,5.786896346530367,5.177885358240658,2.0772469138446836,0.3567338467007641,1.0467766826686562
2024-03-04,19.201318078289127,42.97576495197841,16.752006005862224,6.480002110713593,5.871179044379534,5.177394253333912,2.0881728101832815,0.3580791734715262,1.096083571788391
2024-03-05,19.20264255436833,42.94793149927511,16.764103691851187,6.48251700329231,5.883431612232368,5.180486045687215,2.090591268261906,0.35961920698704086,1.0886771180445372
2024-03-06,19.221263743407793,42.99927102058243,16.772456193976083,6.408002067230681,5.898266072125541,5.192895073574707,2.0869207755567616,0.35996620344723124,1.0609588500987779
2024-03-07,19.240192805644334,42.86806558525585,16.789258220830295,6.468659681906928,5.908940074047156,5.197278473475248,2.085024502864649,0.35871207318566756,1.0838685827898764
2024-03-08,19.19816735497294,42.85918232917187,16.799682026707636,6.455182159497632,5.926778997085181,5.198924898322657,2.083465071781537,0.3587886828870578,1.1198284795734845
2024-03-11,19.217869165476458,42.915649400472475,16.706593867343205,6.468691545371211,5.93049447854167,5.206838750400325,2.0832173047535005,0.3657899041854121,1.1048555834557434
2024-03-12,19.225823108181803,42.91800803981036,16.680298440034907,6.448735635852061,5.965224382498165,5.201305605946685,2.0994512521999287,0.3652376934285511,1.09591584204754
2024-03-13,19.24385729352837,42.90466289784196,16.67314388261306,6.454360081067106,5.960998951646283,5.190604435762039,2.09663245230141,0.37276410508297153,1.102975900156797
2024-03-14,19.371302573213196,42.898333876096906,16.616197314121557,6.394269437463889,5.960629325668082,5.19118126166723,2.092393469248358,0.3673209777285961,1.108371764792188
2024-03-15,19.336417961252234,42.837440833136384,16.81573317413445,6.317580369531693,5.9387205171379795,5.1922450134877725,2.0879780673148236,0.39388298829452006,1.080001075710139
2024-03-18,19.339397279176374,42.805005438129015,16.867103594559353,6.36862216624762,5.961075061986357,5.199390944605316,2.0364675904589356,0.3965288291767156,1.02640909566031
