date,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CORNERSTONE SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,INTERACTIVE BROKERS HONG KONG LTD,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-26,0.0,0.21718750000000003,0.0,1.7234375,0.0,0.0,0.0,0.0,1.940625
2024-03-27,0.0,0.21875000000000003,0.0,1.7234375,0.0,0.0,0.0,0.0,1.9421875000000002
2024-03-28,0.0,0.234375,0.0,1.7078125,0.0,0.0,0.0,0.0,1.9421875000000002
2024-04-02,0.0,0.2421875,0.0,1.7078125,0.0,0.0,0.0,0.0,1.95
2024-04-03,0.0,0.2671875,0.0,1.69375,0.0,0.0,0.0,0.0,1.9609374999999998
2024-04-05,0.0,0.271875,0.0,1.690625,0.0,0.0,0.0,0.0,1.9625
2024-04-10,0.0,0.3640625,0.0,1.6734375,0.0390625,0.0,0.4265625,0.36874999999999997,2.871875
2024-04-11,0.0,0.3828125,0.0,1.659375,0.0390625,0.0,0.4265625,0.3671875,2.875
2024-04-12,0.0,0.390625,0.0,1.6515624999999998,0.0390625,0.0,0.4140625,0.3671875,2.8625000000000003
2024-04-16,0.0,0.39375,0.0,1.6515624999999998,0.0390625,0.0,0.4140625,0.3671875,2.865625
2024-04-18,5.690625,0.6,0.0,1.5890624999999998,0.0390625,0.0,0.3984375,0.3671875,8.684375
2024-04-19,5.690625,0.6312500000000001,0.0421875,1.5828124999999997,0.0390625,1.9703125,0.3828125,0.3671875,10.70625
2024-04-22,5.690625,0.6609375,0.0421875,1.5828124999999997,0.0390625,1.9703125,0.3671875,0.3515625,10.7046875
2024-04-23,5.690625,0.66875,0.0421875,1.5828124999999997,0.0390625,1.9703125,0.3671875,0.3515625,10.7125
2024-04-24,5.690625,0.684375,0.0421875,1.5609375,0.0390625,1.96875,0.3515625,0.3515625,10.6890625
2024-04-25,5.690625,0.69375,0.0421875,1.5609375,0.043750000000000004,1.96875,0.3515625,0.3234375,10.674999999999999
2024-04-26,5.4765625,0.703125,0.41250000000000003,1.525,0.046875,1.96875,0.3515625,0.2859375,10.7703125
2024-04-29,5.4734375,0.6796875,0.41250000000000003,1.525,0.046875,1.96875,0.340625,0.2859375,10.7328125
2024-04-30,5.4375,0.66875,0.496875,1.51875,0.046875,1.96875,0.3328125,0.2671875,10.7375
2024-05-02,5.4,0.6765625,0.496875,1.51875,0.046875,1.96875,0.3328125,0.2671875,10.7078125
2024-05-03,5.38125,0.696875,0.496875,1.51875,0.05,1.96875,0.3328125,0.26875,10.7140625
2024-05-07,5.38125,0.7000000000000001,0.5046875000000001,1.51875,0.05,1.96875,0.3328125,0.26875,10.725
2024-05-08,5.33125,0.703125,0.5546875,1.51875,0.05,1.96875,0.3328125,0.26875,10.728124999999999
2024-05-09,5.325,0.7046875,0.675,1.3984375,0.05,1.96875,0.3328125,0.271875,10.7265625
2024-05-10,5.325,0.7046875,0.721875,1.3984375,0.05,1.96875,0.3328125,0.271875,10.7734375
2024-05-13,5.325,0.7046875,0.721875,1.3984375,0.05,1.03125,0.3328125,0.271875,9.8359375
2024-05-14,5.31875,0.7046875,0.721875,1.3984375,0.05,1.03125,0.3328125,0.271875,9.8296875
2024-05-20,5.3031250000000005,0.7015625,0.7453124999999999,1.3984375,0.05,1.03125,0.3328125,0.271875,9.834375
2024-05-21,5.296875,0.7000000000000001,1.1640625,1.3984375,0.05,0.9375,0.3328125,0.271875,10.1515625
2024-05-22,5.296875,0.7000000000000001,1.165625,1.3984375,0.05,0.9375,0.3328125,0.271875,10.153125000000001
2024-05-23,5.296875,0.696875,1.1640625,1.3984375,0.05,0.9375,0.3328125,0.271875,10.1484375
2024-05-27,5.296875,0.6953125,1.1640625,1.3984375,0.05,0.9375,0.3328125,0.271875,10.146875
2024-05-30,5.296875,0.6953125,1.1640625,1.3984375,0.051562500000000004,0.9375,0.3328125,0.271875,10.1484375
2024-05-31,5.296875,0.7000000000000001,1.1640625,1.3984375,0.051562500000000004,0.9375,0.3328125,0.271875,10.153125000000001
2024-06-03,5.296875,0.7000000000000001,1.1640625,1.3984375,0.059375,0.9375,0.3328125,0.271875,10.1609375
2024-06-12,5.296875,0.696875,1.1640625,1.3984375,0.059375,0.9375,0.3359375,0.2734375,10.1625
2024-06-14,5.296875,0.69375,1.1640625,1.3984375,0.059375,0.9375,0.3359375,0.27499999999999997,10.1609375
2024-06-20,5.296875,0.6921875,1.1640625,1.3984375,0.059375,0.9375,0.3359375,0.27499999999999997,10.159374999999999
2024-06-25,5.296875,0.6890625,1.1640625,1.3984375,0.059375,0.9375,0.3359375,0.27499999999999997,10.15625
2024-06-26,5.296875,0.6984375,1.1640625,1.3984375,0.059375,0.9375,0.3359375,0.27499999999999997,10.165625
2024-06-28,5.296875,0.7000000000000001,1.1640625,1.3984375,0.059375,0.9375,0.3359375,0.27499999999999997,10.167187499999999
2024-07-02,5.296875,0.71875,1.1640625,1.3984375,0.059375,0.9375,0.3359375,0.27499999999999997,10.1859375
2024-07-05,5.296875,0.721875,1.1640625,1.3984375,0.059375,0.9375,0.3359375,0.27499999999999997,10.1890625
2024-07-11,5.296875,0.7250000000000001,1.1640625,1.3984375,0.059375,0.9375,0.3515625,0.27499999999999997,10.207812500000001
2024-07-12,5.296875,0.728125,1.1640625,1.3984375,0.059375,0.9375,0.3515625,0.27499999999999997,10.2109375
2024-08-08,5.296875,0.7328125,1.1640625,1.3984375,0.059375,0.9375,0.3515625,0.27499999999999997,10.215625000000001
2024-08-12,5.296875,0.7156250000000001,1.1640625,1.3984375,0.059375,0.9375,0.36874999999999997,0.27499999999999997,10.215625000000001
2024-09-03,5.296875,0.7203125,1.1640625,1.3984375,0.059375,0.9375,0.36874999999999997,0.27499999999999997,10.2203125
2024-09-13,5.296875,0.7203125,1.1640625,1.3984375,0.059375,0.3125,0.36874999999999997,0.27499999999999997,9.5953125
