date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),ICBC (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,CMB WING LUNG BANK LTD
2024-03-01,41.8355820520866,0.8471917163476623,33.17665516159398,0.0,11.13460935048635,4.737998117351742,0.0,1.004079071226859,7.263884530906808,0.0
2024-03-04,44.62480571961455,0.83929126515387,30.48057196145477,0.0,11.030774013055641,4.75598383587193,0.0,0.9947155735156978,7.2738576313335415,0.0
2024-03-05,43.63429902460329,0.7861406318241374,27.55917891978454,0.0,10.39044984713932,4.454796913670112,2.853399330324647,1.2811180666763722,6.8860096083855,2.1546076575920803
2024-03-06,43.322460658082974,0.7725321888412017,28.326752503576536,0.0,10.210586552217453,4.377682403433476,2.804005722460658,1.2875536480686696,6.7811158798283255,2.1173104434907013
2024-03-07,42.56668951336532,0.7539410555174777,29.04784098697738,0.0,9.920767649074708,4.688142563399589,2.700479780671693,1.3159698423577793,6.812885538039754,2.193283070596299
2024-03-08,42.707048458149785,0.7571585903083701,28.924008810572687,0.0,9.949339207048457,4.708149779735683,2.7395374449339207,1.3078193832599119,6.841960352422907,2.064977973568282
2024-03-11,42.36023516835917,0.7482629609834314,29.730625334045964,0.0,9.67022982362373,4.596472474612507,2.779262426509888,1.389631213254944,6.694281133083912,2.030999465526456
2024-03-12,43.07184617383396,0.7275561907236586,29.479537482135896,0.0,9.5195530726257,4.4692737430167595,2.819280239054177,1.3511757827725088,6.5869819410159804,1.9747953748213591
2024-03-13,43.80795043882292,5.089055240061952,24.544914816726898,0.0,9.482705214248838,4.439855446566856,2.80072276716572,1.3293753226639133,6.543624161073826,1.961796592669076
2024-03-14,43.51559633027523,5.141546526867628,24.452686762778505,0.0,9.616251638269988,4.5478374836173,2.8309305373525557,1.4809960681520316,6.422018348623854,1.9921363040629094
2024-03-15,44.01901915500611,5.288683602771362,24.01494362179052,0.0,8.745007471810895,4.700448308653716,2.8392881401983425,1.8204048362994159,6.575193587827741,1.9970112756418963
2024-03-18,43.92746955345061,5.281461434370771,24.015426251691473,0.0,8.710690121786199,4.668470906630582,2.828146143437077,2.0568335588633286,6.52232746955345,1.9891745602165087
2024-03-19,48.019361876193074,5.335424052358877,19.65148622852468,0.0,8.831742568857377,4.704117807472048,2.849740932642487,2.072538860103627,6.53122443414235,2.0043632397054814
2024-03-20,47.70913560016387,5.343438481496655,19.7083162638263,0.0,8.845008876143657,4.711183941007784,2.9359552096135464,2.2122081114297423,6.5410350949064595,1.9937184214119896
2024-03-21,48.081197734016726,5.2778527110871325,19.547342864850282,0.0,8.763420555705421,4.720798489344483,2.83247909360669,2.2524952792015105,6.5551659023469115,1.9692473698408417
