date,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA GALAXY INTERNATIONAL SECURITIES,DBS BANK LTD,BANK OF CHINA (HONG KONG) LTD,CHINA CITIC BANK INTERNATIONAL LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,0.0,8.944963850767008,79.18037867901985,0.0,7.852306276894313,0.0,0.0,0.0,0.0,4.022351193318818
2024-03-05,0.0,8.43477085926635,74.55199389688505,0.0,7.393393211902367,0.0,0.0,5.832569482978255,0.0,3.787272548967972
2024-03-06,0.0,8.437133916411906,74.56365341771871,0.0,7.395464520175085,0.0,0.0,5.834203516104187,0.0,3.7695446295901136
2024-03-07,0.0,8.437247149987707,74.5646541259195,0.0,7.394221687858833,0.0,0.0,5.834281816120832,0.0,3.7695952201131258
2024-03-08,0.0,8.439680265711974,74.56940360746621,0.0,7.396206956717613,0.0,0.0,5.836183869463304,0.0,3.758525300640895
2024-03-11,0.0,8.445616169468597,74.56041943895634,0.0,7.40109387210283,0.0,0.0,5.84017252899406,0.0,3.7526979904781648
2024-03-12,0.0,8.445701261826425,74.56117065968002,0.0,7.401168440555321,0.0,0.0,5.839391759937537,0.0,3.752567878000694
2024-03-13,0.0,8.446566464805477,74.55890050836214,0.0,7.401926638457984,0.0,0.0,5.839989964750841,0.0,3.7526164236235586
2024-03-14,0.0,8.446566464805477,74.5590684477073,0.0,7.401758699112812,0.0,0.0,5.839989964750841,0.0,3.7526164236235586
2024-03-15,0.0,8.443801274214806,74.57243369129112,0.0,7.399335551956569,0.0,0.0,5.838078100874859,0.0,3.7463513816626466
2024-03-18,0.0,8.443276801370539,74.57401308279876,0.0,7.398875954384742,0.0,0.0,5.837715478244697,0.0,3.7461186832012605
2024-03-19,0.0,8.44218334722512,74.57260804153348,0.0,7.397770669706781,0.0,0.0,5.84187887409227,0.0,3.7455590674423402
2024-03-20,0.0,8.44306198539087,74.58305520540411,0.0,7.398540608404451,0.0,0.0,5.842486880046102,0.0,3.732855320754467
2024-03-21,0.0,8.443331282086847,74.58224451619361,0.0,7.3987765894435995,0.0,0.0,5.842673229786968,0.0,3.7329743824889636
2024-03-22,0.0,8.446067743420178,74.56040467554733,0.0,7.396976361101333,0.0,0.0,5.861359433776598,0.0,3.7351917861545605
2024-03-25,0.0,8.446223760967115,74.56094232512524,0.0,7.397112999610717,0.0,0.0,5.861467706045819,0.0,3.7342532082511175
2024-03-26,0.0,8.446521628653954,74.56004518180066,0.0,7.397373868964979,0.0,0.0,5.861674418758683,0.0,3.734384901821723
2024-03-27,0.0,8.458681190798147,74.48726394689884,0.0,7.408023084253597,0.0,0.0,5.870112850280852,0.0,3.7759189277685676
2024-03-28,0.0,8.458811754992395,74.45289449835975,0.0,7.408284723707206,0.0,0.0,5.870320173219955,0.0,3.8096888497206813
2024-04-02,0.0,8.459039381398357,74.43572466722192,0.0,7.408484080457876,0.0,0.0,5.870141768706962,0.0,3.8266101022148793
2024-04-03,0.0,8.476846352268373,74.38662893222772,0.0,7.424079546356969,0.0,0.0,5.87424037006511,0.0,3.8382047990818298
2024-04-05,0.0,8.44728845088615,74.44363659115037,0.0,7.4117500742596825,0.0,0.0,5.862802164350152,0.0,3.8345227193536537
2024-04-08,0.0,8.34238989878029,74.52704846603582,0.0,7.410490705100696,0.0,0.0,5.858441327158473,0.0,3.861629602924714
2024-04-09,0.0,8.340887394843271,74.56230772385028,0.0,7.408110295351363,0.0,0.0,5.831332641259414,0.0,3.857361944695669
2024-04-10,0.0,8.254749666072394,74.6557604591295,0.0,7.40566916053908,0.0,0.0,5.82941108926504,0.0,3.854409624993988
2024-04-11,0.0,8.254609298503317,74.65702023162854,0.0,7.405694061953472,0.0,0.0,5.8294306905432025,0.0,3.8532457173714714
2024-04-12,0.0,7.26230939835993,66.62308721950335,10.87148078569196,6.606237064940753,0.0,0.0,5.198309681204679,0.0,3.438575850299331
2024-04-15,0.0,7.180390219998803,66.78145470048896,10.877057497466271,6.609625847090141,0.0,0.0,5.127630949666698,0.0,3.4238407852891264
2024-04-16,6.473816897142886,6.716582550071928,62.467796257150766,10.174468565807723,6.1801605007843445,0.0,0.0,4.796418509932437,0.0,3.190756719109914
2024-04-17,6.4742710735641475,6.71705375793495,62.47217874133264,10.175182364760468,6.18059407547817,0.0,0.0,4.789739417424981,0.0,3.1909805695046387
2024-04-18,6.5101033026791475,6.710584626257362,62.45100815883231,10.171757042888018,6.178513471582088,0.0,0.0,4.7881270237988325,0.0,3.189906373962243
2024-04-19,6.519821597849272,6.713109033069204,62.45871380497293,10.169631648959559,6.176521291733043,0.0,0.0,4.751787259504113,0.0,3.210415363911883
2024-04-22,6.51713463777973,6.7075388659567805,62.47278360974045,10.16544052290609,6.173975813175004,0.0,0.0,4.750109299690615,0.0,3.213017250751321
2024-04-23,6.512296388981094,6.694855226795664,62.54546688515603,10.157893812099712,6.169392321698898,0.0,0.0,4.739579201569626,0.0,3.1805161636989756
