date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,AFG SECURITIES LTD,HANG SENG BANK LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,60.411351602104524,36.082027684477126,0.0,3.5066207134183505,0.0,0.0,0.0,0.0
2024-03-07,60.4096287252322,36.08385056698692,0.0,3.506520707780884,0.0,0.0,0.0,0.0
2024-03-08,60.398949081617204,36.08146337434171,0.0,3.5195875440410904,0.0,0.0,0.0,0.0
2024-03-11,60.23175657072192,35.98215367569012,0.0,3.5098448467301013,0.0,0.0,0.0,0.2762449068578672
2024-03-15,60.23107149964623,35.98288180944117,0.0,3.5098049260417223,0.0,0.0,0.0,0.27624176487087776
2024-03-19,60.231194442382204,35.98260814305556,0.0,3.509944652424187,0.0,0.0,0.0,0.27625276213804917
2024-03-20,60.225371723720166,35.98879688405117,0.0,3.5096053362206883,0.0,0.0,0.0,0.276226056007971
2024-03-22,60.21638314778783,35.99785004481391,0.0,3.509545463700782,0.0,0.0,0.0,0.27622134369748236
2024-03-26,60.21535589692933,35.99894187829925,0.0,3.509485593223645,0.0,0.0,0.0,0.27621663154777126
2024-03-27,60.21193198051403,36.002581054224315,0.0,3.509286039718515,0.0,0.0,0.0,0.27620092554313436
2024-03-28,60.210348239824405,36.00401411582759,0.0,3.5094257247891725,0.0,0.0,0.0,0.27621191955882973
2024-04-03,60.20863640452002,36.00526496197098,0.0,3.5093259486040242,0.0,0.0,0.0,0.2767726849049774
2024-04-08,60.20534075356816,36.008517555533516,0.0,3.509365858397261,0.0,0.0,0.0,0.2767758325010657
2024-04-09,47.75681316897063,28.564016668291014,0.0,2.783741899693665,20.675880768470357,0.0,0.0,0.21954749457433015
2024-04-10,47.75614671271175,28.564789929311196,0.0,2.7837293436417823,20.675787510028663,0.0,0.0,0.2195465043066143
2024-04-16,47.7559313098573,28.565112135963457,0.0,2.783716787703167,20.675694252428244,0.0,0.0,0.2195455140478316
2024-04-18,47.75571590894599,28.565434339709117,0.0,2.783704231877818,20.675600995669097,0.0,0.0,0.2195445237979819
2024-04-22,47.75463893353542,28.567045314839866,0.0,2.783641454450007,20.67513472449198,0.0,0.0,0.2195395726827247
2024-04-23,47.754208156972176,28.56768968454737,0.0,2.783616344271691,20.67494822190961,0.0,0.0,0.21953759229914882
2024-04-24,47.75159615520212,28.569322330079373,0.0,2.7837314781626112,20.675803363904397,0.0,0.0,0.21954667265149577
2024-04-25,47.75173270871,28.569118062360772,0.0,2.7837394386985714,20.6758624897495,0.0,0.0,0.219547300481154
2024-04-26,47.551407335128104,28.45151230512073,0.0,2.77206125214116,20.589124278538335,0.4172685610325463,0.0,0.2186262680391257
2024-04-29,47.55610658916066,28.456570033701716,0.0,2.772335200290072,20.5911589927711,0.40518131035981664,0.0,0.2186478737166289
2024-05-02,47.55845656449596,28.46920684491876,0.0,2.7563000794115995,20.592176500704966,0.4052013323118636,0.0,0.21865867815684076
2024-05-03,47.56037944434126,28.473053371214064,0.0,2.7496728681202303,20.593009081995955,0.40521771538085843,0.0,0.21866751894764005
2024-05-06,47.56102043884381,28.472089367559988,0.0,2.7497099268067435,20.593286624054425,0.4052231766982603,0.0,0.21867046603677537
2024-05-07,47.56152619570058,28.45576972205054,0.0,2.765298195102627,20.593505610018507,0.40522748578158624,0.0,0.21867279134616846
2024-05-08,47.56344932378108,28.45871740813532,0.0,2.759569465047742,20.594338298792024,0.40524387096556225,0.0,0.21868163327827445
2024-05-10,47.57948144121825,28.434603130040998,0.0,2.760499627648829,20.601279991517032,0.4053804657126292,0.0,0.218755343862261
2024-05-16,47.579930865237884,28.434153706021366,0.0,2.760499627648829,20.601279991517032,0.4053804657126292,0.0,0.218755343862261
2024-05-17,47.566481969715504,28.43901055230739,0.0,2.7654661572734973,20.604798902304697,0.40544970887103937,0.0,0.21879270952787463
2024-05-23,47.56755105229454,28.437402180109377,0.0,2.7655283126309933,20.605262006377963,0.4054588215739865,0.0,0.2187976270131393
2024-05-24,47.568406352959016,28.436115430295416,0.0,2.765578038928671,20.605632504625106,0.40546611203128013,0.0,0.21880156116050722
2024-05-29,47.5735388029317,28.43918357890608,0.0,2.7550868149293883,20.607855773935427,0.40550986028133035,0.0,0.2188251690160714
2024-05-30,47.575222687617305,28.439921439552574,0.0,2.7521141959061004,20.608390449121938,0.40552038132061535,0.0,0.21883084648146814
2024-05-31,47.57498699569641,28.440049300080698,0.0,2.7521265688929706,20.608483100562353,0.4055222044638414,0.0,0.21883183030372166
2024-06-12,47.57408783338053,28.440948462396587,0.0,2.7521265688929706,20.608483100562353,0.4055222044638414,0.0,0.21883183030372166
2024-07-12,47.575157278095446,28.439339846173834,0.0,2.752188435496156,20.60894637026101,0.4055313204258723,0.0,0.21883674954768476
2024-07-16,47.57537117280821,28.43946770753627,0.0,2.7522008091505703,20.60858943341447,0.40553314366746024,0.0,0.21883773342301732
2024-07-22,47.57651498835892,28.438847207093144,0.0,2.752140760845897,20.608139789313988,0.4055242956293066,0.0,0.21883295875873887
2024-07-25,47.57508520242368,28.43948650325347,0.0,2.7524539508999344,20.608603053684124,0.4055334116853558,0.0,0.21883787805343702
2024-07-26,47.57487130885525,28.439808233283493,0.0,2.752441576099238,20.60851039914386,0.4055315884413579,0.0,0.218836894176804
2024-07-29,47.574657417210105,28.440129960420585,0.0,2.752429201409813,20.608417745436725,0.4055297652137543,0.0,0.21883591030901778
2024-08-16,47.57512881068471,28.439874235021,0.0,2.752404452364772,20.6082324405218,0.4055261188077288,0.0,0.21883394259998534
2024-08-19,47.574914920766744,28.440195957522068,0.0,2.7523920780091533,20.608139789313988,0.4055242956293066,0.0,0.21883295875873887
