date,SHANGHAI PUDONG DEVELOPMENT BANK CO.,FORTUNE (HK) SECURITIES LTD,OPEN SECURITIES LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,CAITONG INTERNATIONAL SECURITIES CO LTD,CCB INTERNATIONAL SECURITIES LTD,ZHESHANG INTERNATIONAL FINANCIAL,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CMB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-25,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,98.58191786982073,0.0,0.0,0.0,0.0,0.0,0.0,1.418082130179276,0.0
2024-04-10,0.0,98.58192171044617,0.0,0.0,0.0,0.0,0.0,0.0,1.4180782895538337,0.0
2024-04-11,0.0,98.5819255510508,0.0,0.0,0.0,0.0,0.0,0.0,1.4180744489491945,0.0
2024-04-15,0.0,98.58192939163463,0.0,0.0,0.0,0.0,0.0,0.0,1.4180706083653585,0.0
2024-04-26,0.0,98.57807838849355,0.0,0.0,0.0,0.0,0.0,0.0,1.4219216115064526,0.0
2024-05-03,0.0,98.80834231953169,0.0,0.0,0.0,0.0,0.0,0.0,1.1916576804683099,0.0
2024-05-08,0.0,98.80688414744525,0.0,0.0,0.0,0.0,0.0,0.0,1.1931158525547498,0.0
2024-05-09,0.0,98.80668292771992,0.0,0.0,0.0,0.0,0.0,0.0,1.1933170722800908,0.0
2024-05-14,0.0,98.80650340420772,0.0,0.0,0.0,0.0,0.0,0.0,1.1934965957922925,0.0
2024-05-20,0.0,81.19470436950414,0.0,0.0,0.0,0.0,17.631559686006916,0.0,1.1737359444889475,0.0
2024-05-21,0.0,81.18968656473002,0.0,0.0,0.0,0.0,17.636264303584102,0.0,1.1740491316858692,0.0
2024-05-22,0.0,73.82279999565817,0.0,0.0,0.0,0.0,16.06689089709927,0.0,1.0695756755469765,9.040733431695585
2024-05-23,0.0,73.8187889013284,0.0,0.0,0.0,0.0,16.069352803451498,0.0,1.0697395650739971,9.042118730146097
2024-05-27,0.0,73.81873541176654,0.0,0.0,0.0,0.0,16.069385633966395,0.0,1.06974175060699,9.042137203660076
2024-05-30,0.0,73.81573964743414,0.0,0.0,0.0,0.0,16.071224356926603,0.0,1.0698641547089973,9.043171840930254
2024-05-31,0.0,73.77839562995449,0.0,0.0,0.0,0.0,16.094145152672727,0.0,1.0713899960028261,9.056069221369954
2024-06-03,0.0,73.77710785557818,0.0,0.0,0.0,0.0,16.094935555404906,0.0,1.0714426132479198,9.056513975768992
2024-06-04,0.0,73.77705419556753,0.0,0.0,0.0,0.0,16.09496849053688,0.0,1.0714448057452892,9.056532508150307
2024-06-06,0.0,73.77694687488739,0.0,0.0,0.0,0.0,16.095034361205194,0.0,1.0714491907669472,9.05656957314048
2024-06-14,0.0,73.77689321421789,0.0,0.0,0.0,0.0,16.09506729674154,0.0,1.0714513832912358,9.056588105749336
2024-06-18,0.0,73.7742099007076,0.0,0.0,0.0,0.0,16.096714245437557,0.0,1.0715610209476698,9.057514832907176
2024-06-21,0.0,73.77405892017686,0.0,0.0,0.0,0.0,16.09668130316053,0.0,1.0715588279746528,9.057700948687959
2024-06-25,0.0,73.77400524810619,0.0,0.0,0.0,0.0,16.096714245437557,0.0,1.0715610209476698,9.05771948550858
2024-06-27,0.0,67.11456349555385,0.0,9.004289217991444,0.0,0.0,14.657518517786992,0.0,0.9757535151579785,8.247875253509735
2024-06-28,0.0,67.10205689154233,0.0,9.007713623796102,0.0,0.0,14.66309289354048,0.0,0.9761246023054843,8.25101198881559
2024-07-02,0.0,67.10211822162593,0.0,9.007696831140475,0.0,0.0,14.663065557828038,0.0,0.9761227825624306,8.250996606843128
2024-07-03,0.0,67.09917411965127,0.0,9.00850294924274,0.0,0.0,14.664377787002977,0.0,0.9762101378830866,8.251735006219924
2024-07-10,0.0,67.09923546048375,0.0,9.008486153643979,0.0,0.0,14.664350446499594,0.0,0.9762083178210992,8.251719621551572
2024-07-11,0.0,67.0992968010875,0.0,9.008469358107849,0.0,0.0,14.66432310609816,0.0,0.9762064977658987,8.251704236940586
2024-07-12,0.0,67.09935814146253,0.0,9.008452562634345,0.0,0.0,14.664295765798672,0.0,0.9762046777174846,8.251688852386966
2024-07-15,0.0,67.09941948160882,0.0,9.00843576722347,0.0,0.0,14.664268425601131,0.0,0.9762028576758573,8.251673467890713
2024-07-17,0.0,67.0994808215264,0.0,9.00841897187522,0.0,0.0,14.664241085505536,0.0,0.9762010376410166,8.251658083451826
2024-07-30,0.0,66.55385648998279,0.0,9.157815172984716,0.0,0.0,14.907433805245601,0.0,0.9923904185965473,8.388504113190335
2024-08-05,0.0,66.55391988106273,0.0,9.157797816012202,0.0,0.0,14.90740555091704,0.0,0.9923885377010616,8.388488214306967
2024-08-14,0.0,66.6879729385728,0.0,9.126833942733779,0.0,0.0,14.857001400742249,0.0,0.9890331248014004,8.339158593149774
2024-08-15,0.0,66.68835047476252,0.0,9.126730505314478,0.0,0.0,14.856833021445212,0.0,0.9890219157627925,8.339064082715005
2024-08-16,0.0,66.69099298849994,0.0,9.126006509022435,0.0,0.0,14.855654473222192,0.0,0.9889434596059742,8.338402569649455
2024-08-19,0.0,66.69155918689992,0.0,9.125851381903761,0.0,0.0,14.855401951500651,0.0,0.9889266491917731,8.338260830503897
2024-08-20,0.0,66.69916954121695,0.0,9.123766295938603,0.0,0.0,14.852007770637998,0.0,0.9887006979911115,8.336355694215353
2024-08-21,0.0,66.7009301194861,0.0,9.1232839324524,0.0,0.0,14.851222561327173,0.0,0.9886484264729659,8.335914960261363
2024-08-22,0.0,66.70237616952109,0.0,9.122887743456817,0.0,0.0,14.850577630072891,0.0,0.9886054932890412,8.33555296366016
2024-08-23,0.0,66.70394782059488,0.0,9.12245714227065,0.0,0.0,14.84987668136864,0.0,0.9885588310138894,8.335159524751946
2024-08-26,0.0,66.1734025537662,0.0,9.255011089269988,0.0,0.0,15.065652950401232,0.0,1.0029230941557528,8.503010312406833
2024-08-27,0.0,69.98653863029982,0.0,8.364962267563941,0.0,0.0,13.27341139606249,0.0,0.88361326728867,7.491474438785072
