date,GF SECURITIES (HONG KONG) BROKERAGE LTD,DBS BANK LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BNP PARIBAS
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,73.20282413350449,0.0,26.79717586649551,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,72.68198618029889,0.0,26.835931222882852,0.0,0.4820825968182549
2024-03-12,0.0,0.0,0.0,0.0,73.36577453365774,0.0,26.066504460665048,0.0,0.5677210056772101
2024-03-13,0.0,0.0,0.0,0.0,73.91730674946886,0.0,25.77218499754862,0.0,0.31050825298251344
2024-03-14,0.0,0.0,61.97961973406238,0.0,28.103641108487636,0.0,9.79868273890891,0.0,0.1180564185410712
2024-03-15,0.0,0.0,62.234839031694534,0.0,28.21936610930871,0.0,9.427252308460195,0.0,0.11854255053656101
2024-03-18,0.0,0.0,62.37493746873437,0.0,28.282891445722864,0.0,9.22336168084042,0.0,0.11880940470235118
2024-03-20,0.0,0.0,62.37883809642925,0.0,28.28466012131824,0.0,9.22393846538678,0.0,0.11256331686573698
2024-03-21,0.0,0.0,62.413965711425355,0.0,28.300588161681894,0.0,9.229132774371168,0.0,0.056313352521586785
2024-04-02,0.0,0.0,62.416359202051154,0.0,28.28466012131824,0.0,9.22393846538678,0.0,0.07504221124382465
2024-04-03,0.0,0.0,53.742192547921604,0.0,24.353866034891233,13.768037906525954,7.942063321128582,0.0,0.19384018953262977
2024-04-05,0.0,0.0,53.75376992675571,0.0,24.359112451529512,13.771003877638949,7.9437742352434295,0.0,0.17233950883239982
2024-04-10,0.0,0.0,53.67817955786174,0.0,24.447327171504245,13.8046592076104,7.972542024755419,0.0,0.09729203826820172
2024-04-11,0.0,0.0,53.689787533113474,0.0,24.452613937395252,13.807644482889117,7.974266097204952,0.0,0.07568794939719956
2024-04-12,0.0,0.0,53.67527834828667,0.0,24.446005837206787,13.803913090476705,7.972111123121825,0.0,0.10269160090800994
2024-04-15,0.0,0.0,53.70430456413584,0.0,24.45922561107506,13.811377893142982,7.976422236642873,0.0,0.04866969500324465
2024-04-18,0.0,0.0,53.63273237612005,0.0,24.414336608010366,13.942567202850048,7.961783439490445,0.0,0.04858037352909425
2024-04-22,0.0,0.0,53.592233009708735,0.0,24.395900755124057,13.932038834951458,7.955771305285868,0.0,0.12405609492988133
2024-04-23,0.0,0.0,48.72499019223225,0.0,22.180266771282856,12.656924284032955,7.2332287171439775,9.116320125539428,0.08826990976853667
2024-04-24,0.0,0.0,48.55264449023649,0.0,22.191149053086058,12.810322833873025,7.236777548817584,9.120792856441959,0.08831321754489255
2024-04-25,62.079144369061744,0.0,18.465029145488607,0.0,8.420844435488084,4.452057350559399,2.7522148332251106,3.7672689818857616,0.06344088429129069
