date,BANK OF COMMUNICATIONS TRUSTEE LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,CELESTIAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,MANGO FINANCIAL LTD,BOCI SECURITIES LTD
2024-05-09,0.0,0.0,0.0,0.0,64.71955258728349,0.0,35.28044741271651,0.0,0.0,0.0
2024-05-14,0.0,0.0,0.0,0.0,33.465141717409715,0.0,18.242789471201686,48.2920688113886,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,33.465141717409715,0.0,18.25626604554633,48.27859223704396,0.0,0.0
2024-05-20,0.0,0.0,8.1652524977462,0.0,30.728518763783246,0.0,16.77198150749788,44.33424723097267,0.0,0.0
2024-05-21,0.0,0.0,8.16727436305371,0.0,30.74025467534156,0.0,16.776134555741955,44.31633640586277,0.0,0.0
2024-05-27,0.0,0.0,8.16693731597051,0.0,30.743112886552204,0.0,16.77544223821128,44.31450755926601,0.0,0.0
2024-05-30,0.0,0.0,7.178655076260175,0.0,31.073961837585536,0.0,16.955974947703435,44.791408138450855,0.0,0.0
2024-06-04,0.0,0.0,7.232526778065643,0.0,31.05870018779558,0.0,16.94537253765812,44.763400496480656,0.0,0.0
2024-06-05,0.0,0.0,7.35022353449698,0.0,31.128301075179003,0.0,16.9765106066649,44.54496478365912,0.0,0.0
2024-06-18,0.0,0.0,7.349916582622876,0.0,31.131177218599465,0.0,16.975801652478403,44.543104546299254,0.0,0.0
2024-06-19,0.0,0.0,7.666965406735649,0.0,30.933698506508566,0.0,16.984313012741367,44.41502307401442,0.0,0.0
2024-06-20,0.0,0.0,7.1088624464171914,0.0,28.59283263955743,0.0,15.747970487567239,41.18191133485841,0.0,7.368423091599727
2024-06-21,0.0,0.0,7.109413289372493,0.0,28.587299527136846,0.0,15.749190747302006,41.185102389111556,0.0,7.368994047077101
2024-07-03,0.0,0.0,7.109137857224492,0.0,28.586192000960796,0.0,15.752454783365005,41.18350680017124,0.0,7.368708558278465
2024-07-04,0.0,0.0,7.1127364858975275,0.0,28.58508456059676,0.0,15.751844527047576,41.18191133485841,0.0,7.368423091599727
2024-07-09,0.0,0.0,19.84743319349205,0.0,14.70201453140551,32.37835452206062,8.101562429950675,21.18087345841673,0.0,3.789761864674418
2024-07-12,0.0,0.0,19.84743319349205,0.0,14.700022017281075,32.37835452206062,8.10355494407511,21.18087345841673,0.0,3.789761864674418
2024-07-15,0.0,0.0,19.84743319349205,0.0,14.69802950315664,32.37835452206062,8.105547458199544,21.18087345841673,0.0,3.789761864674418
2024-07-18,0.0,0.0,19.84743319349205,0.0,14.68009687603673,32.37835452206062,8.105547458199544,21.18087345841673,0.0,3.8076944917943285
2024-07-25,0.0,0.0,19.84743319349205,0.0,14.68009687603673,32.37835452206062,8.109532486448414,21.17688843016786,0.0,3.8076944917943285
2024-09-27,0.0,0.0,19.82950056637214,0.0,14.69802950315664,32.37835452206062,8.109532486448414,21.17688843016786,0.0,3.8076944917943285
2024-09-30,0.0,0.0,19.82910546864493,0.0,14.699729123102042,32.377709391627825,8.109370906087706,21.17646648608207,0.0,3.807618624455432
2024-10-04,0.0,0.0,19.79834904132579,0.0,14.706996194005084,32.38932567417135,8.112280338084764,21.184064053130452,0.0,3.808984699282551
