date,CHINA SUNRISE SECURITIES (INTL) LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,MONMONKEY GROUP SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,YUEN META (INTERNATIONAL) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,USMART SECURITIES LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,45.875638329828774,51.462901772303994,0.0,0.0,0.0,0.0,0.0,0.0,2.6614598978672275
2024-03-04,0.0,32.934259298709044,36.487580418388646,0.0,10.046440288014997,0.0,18.58889693664522,0.0,0.0,1.942823058242086
2024-03-05,0.0,33.39530952884006,36.21804352419184,0.0,10.162687513205155,0.0,18.225227128671033,0.0,0.0,1.998732305091908
2024-03-06,0.0,33.58473076598972,36.10853627707087,0.0,10.065728490772731,0.0,18.163815623156655,0.0,0.0,2.0771888430100276
2024-03-07,0.0,33.73670546855372,35.993635373921784,0.0,10.007537057197888,0.0,18.164307846913992,0.0,0.0,2.097814253412612
2024-03-08,0.0,33.73811816925589,36.00351744064319,0.0,10.007956115740548,0.0,18.14831874712114,0.0,0.0,2.1020895272392277
2024-03-11,0.0,33.94476246187273,35.97543141269377,0.0,9.969498182425939,0.0,18.008607362219532,0.0,0.0,2.1017005807880333
2024-03-12,0.0,33.90663390663391,35.855578228459585,0.0,10.290259442801815,0.0,17.848665306292425,0.0,0.0,2.0988631158122684
2024-03-13,0.0,33.865654838844186,35.846224408956346,0.0,10.303131384730852,0.0,17.88350081307593,0.0,0.0,2.101488554392695
2024-03-14,0.0,33.81414933088757,35.856922499687336,0.0,10.355609288364532,0.0,17.872180764580815,0.0,0.0,2.10113811647976
2024-03-15,0.0,33.81519746708882,35.831528078653555,0.0,10.348275287452092,0.0,17.905349108481918,0.0,0.0,2.0996500583236126
2024-03-18,0.0,33.728672492717436,35.76362879733666,0.0,10.38701622971286,0.0,17.93591344153142,0.0,0.0,2.184769038701623
2024-03-19,0.0,33.779403208378355,35.707754966336964,0.0,10.373202560053196,0.0,17.862189344194164,0.09558640179536197,0.0,2.181863519241958
2024-03-20,0.0,33.796911325141146,35.739787446031215,0.0,10.362005978080372,0.0,17.826303553636667,0.09548322816340087,0.0,2.1795084689471937
2024-03-21,0.0,33.71774661909898,35.74213888658425,0.0,10.511905749605907,0.0,17.75076744378993,0.09541193063967478,0.0,2.1820293702812577
2024-03-22,0.0,33.57142857142857,35.81810631229236,0.0,10.631229235880399,0.0,17.699335548172755,0.09551495016611296,0.0,2.1843853820598005
2024-03-25,0.0,33.507636122177956,35.835823373173966,0.0,10.6449203187251,0.0,17.724933598937582,0.09545152722443559,0.0,2.1912350597609564
2024-03-26,0.0,32.991677258005005,35.41060227132959,1.1766635234307736,10.524373744413923,0.0,17.625353614037962,0.0942970767906195,0.0,2.1770325119921283
2024-03-27,0.0,32.421922966722605,35.30760099873112,1.895133232368712,10.527608366419711,0.0,17.580123613441938,0.09414268756907207,0.0,2.173468134746838
2024-03-28,0.0,32.37908014907646,35.32784535364705,1.8962198468280296,10.533644591882704,0.0,17.59429905393783,0.09419666625711594,0.0,2.174714338370807
2024-04-02,0.0,32.349323493234934,35.362853628536286,1.9352193521935221,10.47970479704797,0.0,17.60147601476015,0.0943009430094301,0.0,2.177121771217712
2024-04-03,0.0,32.05369566996808,35.16002291888352,2.586559711876893,10.403536056314971,0.0,17.56977981501187,0.0941311287550135,0.0,2.1322746991896535
2024-04-05,0.0,32.236411263916175,35.2324819908317,2.5867714472822527,10.252946954813359,0.0,17.43614931237721,0.10232481990831697,0.0,2.152914210870989
2024-04-08,0.0,32.205128205128204,35.31487179487179,2.592820512820513,10.252307692307692,0.0,17.374358974358977,0.10256410256410256,0.0,2.157948717948718
2024-04-10,0.0,31.686667762617134,35.40604964655598,3.033042906460628,10.274535590991288,0.0,17.3351964491205,0.10274535590991288,0.0,2.161762288344567
2024-04-11,0.0,31.569657663574418,35.52253509564075,3.0293079385928903,10.315245053772268,0.0,17.297430424431493,0.10261883260816024,0.0,2.163204991380018
2024-04-12,0.0,31.690749660368038,35.5975464163682,3.038162282326788,10.16425836729653,0.0,17.2533036927257,0.10291877650158494,0.0,2.1530608044131574
