date,THE HONGKONG AND SHANGHAI BANKING,CHINA PA SECURITIES (HONG KONG) CO LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,98.03343601108617,0.0,0.0,1.9665639889138393,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,98.0142836228534,0.0,0.0,1.9857163771465984,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,92.38806976980088,3.40824958518699,0.0,1.861681624615992,2.341999020396144,0.0,0.0,0.0,0.0
2024-03-07,0.0,91.2152098209672,3.364943456903587,0.0,1.8390741089043472,2.3122409561811037,0.0,1.2685316570437617,0.0,0.0
2024-03-08,0.0,91.21839488624708,3.365060954463417,0.0,1.832503879736849,2.3123216953297905,0.0,1.2717185842228664,0.0,0.0
2024-03-11,13.431141135888508,78.96672352718312,2.9130948683607585,0.0,1.58637769732876,2.0017505049142765,0.0,1.10091226632457,0.0,0.0
2024-03-13,13.429354974901933,78.95622201585398,2.9127074659538135,0.0,1.586166730447817,2.001484299040884,0.0,1.1140645138015728,0.0,0.0
2024-03-14,13.430653953954977,78.96385920160846,2.912989202939171,0.0,1.56757933033543,2.0016778962899187,0.0,1.1232404148720514,0.0,0.0
2024-03-15,13.42185017486657,78.97764836906795,2.911079741678571,0.0,1.5665517837859366,2.0003657986016377,0.0,1.122504131999333,0.0,0.0
2024-03-19,13.421769087723085,79.00798251485031,2.9110621545994695,0.0,1.5695630336514315,1.9662196444817692,0.0,1.1234035646939324,0.0,0.0
2024-03-20,13.424526600362308,79.02421476478402,2.9104517006537005,0.0,1.5698855015671784,1.9472870638244142,0.0,1.123634368808379,0.0,0.0
2024-03-21,13.41641950164846,79.03688208383107,2.908694072996391,0.0,1.5689374445436777,1.9461110932356114,0.0,1.1229558037447915,0.0,0.0
2024-03-22,13.445112584839675,79.06003156582486,2.907324596426043,0.0,1.5694059899735724,1.8956981712605354,0.0,1.1224270916753298,0.0,0.0
2024-03-25,13.439472413004868,79.05525965051584,2.907149115763118,0.0,1.5801757261637794,1.8955837504723627,0.0,1.1223593440800412,0.0,0.0
2024-03-26,13.441624164787722,79.1563557766891,2.8448033259425003,0.0,1.5807481921505817,1.853702588060354,0.0,1.1227659523697504,0.0,0.0
2024-03-27,13.474846118211605,79.12983865907258,2.843850326228836,0.0,1.5805204455545383,1.8485546214466118,0.0,1.122389829485837,0.0,0.0
2024-03-28,13.484531803938427,79.18671698941802,2.845894478738803,0.0,1.6003814966398089,1.8498833578904357,0.0,1.0325918733745059,0.0,0.0
2024-04-02,13.49060262203884,79.22236733025309,2.937821235629422,0.0,1.5775341634496773,1.729553344331334,0.0,1.042121304297632,0.0,0.0
2024-04-03,13.48957388991852,79.22164922151072,2.939607499763296,0.0,1.5775198639391685,1.7295376668475773,0.0,1.0421118580207227,0.0,0.0
2024-04-05,13.489614648652603,79.22188858964499,2.9396163817844316,0.0,1.5775246304138675,1.729240742743435,0.0,1.0421150067606644,0.0,0.0
2024-04-08,13.489818446017651,79.22308545201425,2.93966079269523,0.0,1.5772463087541475,1.7280582497729187,0.0,1.0421307507457958,0.0,0.0
2024-04-09,13.49071522758373,79.22835207609268,2.9398562166455195,0.0,1.5725163687350483,1.7263600810108217,0.0,1.0422000299322025,0.0,0.0
2024-04-10,13.520195059104543,79.19748048858003,2.938710692018432,0.0,1.5719036325690119,1.7256873991371904,0.0,1.0460227285907933,0.0,0.0
2024-04-12,13.538290608694394,79.18671698941802,2.956432245821304,0.0,1.5710859682053757,1.6713920454703328,0.0,1.0760821423905715,0.0,0.0
2024-04-15,13.538290608694394,79.18671698941802,2.956432245821304,0.0,1.5716899997194878,1.6707880139562208,0.0,1.0760821423905715,0.0,0.0
2024-04-16,13.577058998021474,79.13103274170696,2.9839300082713445,0.0,1.5506657613531067,1.6665950789051656,0.0,1.0907174117419478,0.0,0.0
2024-04-17,13.577058998021474,79.13103274170696,2.9839300082713445,0.0,1.5518729748691464,1.6653878653891256,0.0,1.0907174117419478,0.0,0.0
2024-04-18,13.62976854484782,79.08663711907721,2.98225590613959,0.0,1.5473827044094364,1.6632469810533272,0.0,1.0907087444726162,0.0,0.0
2024-04-19,13.62976854484782,79.08663711907721,2.98225590613959,0.0,1.550700679019281,1.6599290064434824,0.0,1.0907087444726162,0.0,0.0
2024-04-22,13.630508601453512,79.09093129238099,2.982116183487829,0.0,1.5534997314345862,1.6521762244727116,0.0,1.0907679667703813,0.0,0.0
2024-04-23,13.630878659894357,79.09307855390841,2.982197145783335,0.0,1.5556535181878068,1.6473945418950615,0.0,1.0907975803310277,0.0,0.0
2024-04-24,10.353255439595983,78.74523612690531,2.9690817795343913,3.6935046972249275,1.548811929704517,1.6041096512715243,0.0,1.086000375763338,0.0,0.0
2024-04-25,10.403791828853285,78.67317052046712,2.966364552568916,3.690124497114042,1.5674983231458643,1.6020414973336894,0.0,1.0970087805170903,0.0,0.0
2024-04-26,10.309673914318173,77.9614535944598,2.9692635962241103,3.6567417816813768,1.544695011254181,1.5851698860033518,0.0,1.087084689344617,0.0,0.8859175267143925
2024-04-29,10.328566976879646,78.0278084387336,2.971790806973158,3.659854121437574,1.5463073335702513,1.4906932415989385,0.0,1.0880099329354962,0.0,0.8869691478713347
2024-04-30,10.323637201625981,78.08055515439005,2.973799734403293,3.6623281789377167,1.551521792133102,1.4258878361596798,0.0,1.094701364276638,0.0,0.8875687380735323
2024-05-02,10.324897837833035,78.0900896985601,2.974162869947917,3.6627753918157278,1.5436697531484131,1.4218922881034939,0.0,1.0948350400489228,0.0,0.8876771205423862
2024-05-06,10.332423946018887,78.10195299153182,2.9746146989265747,3.663331833455511,1.5257336759365026,1.41912951418781,0.0,1.0950013652367403,0.0,0.8878119747061595
2024-05-07,10.336989119708768,78.15899360674592,2.9514490007856145,3.6660072941003476,1.535492758614958,1.3668067614766324,0.0,1.0958010834145964,0.0,0.8884603751531648
2024-05-08,9.819015797747701,78.51392857030778,2.994797072358729,3.6826553355515457,1.5819930940177147,1.37900268807667,0.0,1.1361123980131005,0.0,0.8924950439267647
2024-05-09,9.704331315215367,78.58428939016571,2.997480881221135,3.68595557352692,1.6172789556113634,1.3802384912199614,0.0,1.1371305332819703,0.0,0.8932948597575775
2024-05-10,9.686592474518294,78.44064279098178,3.009951910416268,3.679217903860515,1.6484280912825402,1.3786130222971111,0.0,1.2648918275757859,0.0,0.8916619790677036
2024-05-13,9.684628960940989,78.4974743352884,3.0121326704058746,3.6818835581422378,1.664591755039923,1.366738208984058,0.0,1.2783825169101566,0.0,0.8141679942883666
2024-05-14,9.688775180104903,78.65265290258098,3.018087236922146,3.689162128826566,1.6018870733688757,1.2656473769225165,0.0,1.2737102085251397,0.0,0.8100778927488728
2024-05-16,9.691711561704942,78.67649019867716,3.0310047207215867,3.690280204908762,1.6053732557034441,1.2084175619168158,0.0,1.2863990929347038,0.0,0.8103234034325916
2024-05-17,9.69060657564164,78.66752001579195,3.0306591452313465,3.6898594631058157,1.620792070343504,1.2040792882119704,0.0,1.2862524260574975,0.0,0.8102310156162745
2024-05-20,9.692118725358585,78.67979551858903,3.0131271154456982,3.6904352392349105,1.6273467131821553,1.2006661876711806,0.0,1.2861530541579786,0.0,0.8103574463604558
2024-05-21,9.689792536601683,78.66091171609784,3.0124039399855453,3.6895495042160933,1.6494569128613215,1.2018780696009135,0.0,1.2858443667740311,0.0,0.8101629538625601
2024-05-22,9.691391671404013,78.67389335642018,3.024303360617657,3.6901584013617055,1.6218235602875715,1.2020764190539068,0.0,1.2860565734306257,0.0,0.8102966574243429
2024-05-23,9.692264149240263,78.6809760572925,3.033878319909127,3.690490611794077,1.6036642672200174,1.2021846372612257,0.0,1.2861723520406052,0.0,0.8103696052421959
2024-05-24,9.691537073468409,78.67507371801281,3.042652661166431,3.690213765613579,1.602043644769978,1.2020944540687755,0.0,1.286075868418079,0.0,0.8103088144819417
2024-05-27,9.665936702530523,78.66209168818693,3.0421505986232344,3.6896048501985046,1.6254804677850774,1.2018960986644682,0.0,1.3026644871027695,0.0,0.8101751069084925
