date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,TIGER BROKERS (HK) GLOBAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,MIB SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,3.9724000000000004,0.0,0.0,0.0,0.0,0.0,0.3608,0.9436,0.8064,0.0,6.0832
2024-03-04,3.9795999999999996,0.0,0.0,0.0,0.7132000000000001,1.0332,0.362,0.9556,0.7932,0.0,7.836799999999999
2024-03-05,3.9823999999999997,0.0,0.0,0.0,0.7392,1.0332,0.3624,0.9376000000000001,0.8004000000000001,0.0,7.8552
2024-03-06,3.9711999999999996,0.0,0.0,0.0,0.7352,1.0352000000000001,0.3624,0.9384,0.7964000000000001,0.0,7.8388
2024-03-07,3.9711999999999996,0.0,1.1084,0.0,0.7104,1.0332,0.3984,0.9276,0.812,0.0,8.9612
2024-03-11,3.9844,0.0,1.1084,0.0,0.7112,1.0288,0.3824,0.9376000000000001,0.8008,0.0,8.9536
2024-03-12,3.9888,3.52782,1.1084,0.0,0.7112,1.0284,0.4228,0.9391999999999999,0.8104,0.0,12.537019999999998
2024-03-13,4.0172,3.52782,1.1084,1.3632,0.7384,0.992,0.42319999999999997,0.9212,0.8156,0.0,13.907020000000001
2024-03-14,3.9012,3.47222,1.1092,1.4156,0.7384,0.942,0.45399999999999996,0.9324000000000001,0.9508000000000001,0.0,13.91582
2024-03-15,3.9532,3.48222,1.1092,1.3964,0.7348,0.9336000000000001,0.4524,0.922,0.8772,0.0,13.861019999999998
2024-03-18,3.9143999999999997,3.4690199999999995,1.1092,1.418,0.7092,0.9356,0.5107999999999999,0.9348000000000001,0.8880000000000001,0.0,13.889019999999999
2024-03-19,3.9068,3.4690199999999995,1.1092,1.4200000000000002,0.7092,0.9356,0.5376,0.9096,0.8876000000000001,0.0,13.88462
2024-03-20,3.9172,3.4690199999999995,1.1092,1.3728,0.7108,0.9356,0.5968,0.9039999999999999,0.886,0.0,13.90142
2024-03-21,3.9084,3.4190199999999997,1.1092,1.3884,0.7108,0.9256,0.5744,0.8999999999999999,1.0028000000000001,0.0,13.938619999999998
2024-03-22,3.9135999999999997,3.4190199999999997,1.1092,1.3728,0.7004,0.9256,0.5748,0.9143999999999999,0.9403999999999999,0.0,13.87022
2024-03-25,3.9128000000000003,3.4190199999999997,1.1092,1.3728,0.7056,0.9216,0.5664,0.9112,0.9339999999999999,0.0,13.852619999999998
2024-03-26,3.9088,3.4038199999999996,1.1092,1.3552,0.7072,0.9216,0.5828,0.9039999999999999,0.9431999999999999,0.0,13.835819999999998
2024-03-27,3.8775999999999997,3.35382,1.1092,1.3552,0.7072,0.9216,0.62,0.8840000000000001,0.9684,0.0,13.797019999999998
2024-03-28,3.8768,3.35382,1.1092,1.3552,0.7072,0.9483999999999999,0.644,0.8840000000000001,0.9591999999999999,0.0,13.83782
2024-04-02,3.8792,3.35382,1.1092,1.3552,0.7072,0.9456000000000001,0.6596000000000001,0.8728,0.9547999999999999,0.0,13.83742
2024-04-03,3.8572,2.29622,1.1344,1.3552,1.7548000000000001,0.9456000000000001,0.6596000000000001,0.8728,0.9648,0.0,13.840620000000001
2024-04-05,3.8568,2.29622,1.1344,1.3552,1.7431999999999999,0.9384,0.6692,0.8867999999999999,0.9556,0.0,13.835819999999998
2024-04-08,3.8407999999999998,2.29622,1.1344,1.3552,1.7431999999999999,0.9384,0.6804,0.8888,0.9523999999999999,0.0,13.829820000000002
2024-04-09,3.8584,2.29622,1.1344,1.3552,1.7431999999999999,0.9384,0.6856,0.8884,0.9016,0.0,13.80142
2024-04-10,3.7920000000000003,2.29622,1.1344,1.3552,1.7528,0.9384,0.6528,0.9024000000000001,0.8936,0.0,13.71782
2024-04-11,3.7775999999999996,2.29622,1.1344,1.3552,1.7408,0.9384,0.7000000000000001,0.8932000000000001,0.9048,0.0,13.74062
2024-04-12,3.752,2.29622,1.1344,1.3552,1.7408,0.9384,0.6804,0.8892000000000001,0.922,0.0,13.70862
2024-04-15,3.7572,2.29622,1.1344,1.3556000000000001,1.6955999999999998,0.9384,0.694,0.8956000000000001,0.9196,0.0,13.68662
2024-04-16,3.7508,2.29622,1.1344,1.3556000000000001,1.6955999999999998,0.9384,0.6712,0.8968,0.9587999999999999,0.0,13.69782
2024-04-17,3.718,2.29622,1.1292,1.3556000000000001,1.6955999999999998,0.9384,0.7156,0.8828,0.928,0.0,13.65942
2024-04-18,3.6852000000000005,2.29622,1.1292,1.3592,1.6948,0.9384,0.732,0.8884,0.9728000000000001,0.0,13.69622
2024-04-19,3.7095999999999996,2.29622,1.1292,1.3648,1.6483999999999999,0.9384,0.7772,0.9011999999999999,0.9324000000000001,0.0,13.69742
2024-04-22,3.6976,2.29622,1.1292,1.3648,1.6483999999999999,0.9384,0.7852,0.9011999999999999,0.8712,0.0,13.63222
2024-04-23,3.1256,2.07502,1.0916000000000001,1.358,1.3996,0.8184,0.8308,0.73,0.8132,0.4684,12.71062
2024-04-24,2.9292,1.89742,1.084,1.2884,0.9488,1.7760000000000002,0.9452,0.6652,0.6984,0.4684,12.70102
2024-04-25,2.8164000000000002,1.84262,1.0912,1.1732,1.0852,1.886,0.9568,0.6156,0.7516,0.4684,12.687019999999999
2024-04-26,2.8392,1.8314199999999998,1.0912,1.162,1.0932000000000002,1.9103999999999999,0.938,0.6148,0.7268,0.4684,12.67542
2024-04-29,2.8716,1.64142,1.0868,1.17,1.0659999999999998,1.9103999999999999,0.9692,0.6332,0.7268,0.4684,12.54382
2024-04-30,2.8247999999999998,1.58862,1.084,1.1584,1.1124,1.9103999999999999,0.9952000000000001,0.6596000000000001,0.7664,0.4684,12.56822
2024-05-02,2.812,1.58862,1.086,1.1544,1.1199999999999999,1.9140000000000001,1.0012,0.6916,0.7332,0.4684,12.569420000000001
2024-05-03,2.8124,1.5822200000000002,1.09,1.162,1.1199999999999999,1.9151999999999998,1.0052,0.6916,0.7072,0.4684,12.554219999999999
2024-05-06,2.804,1.59502,1.0892000000000002,1.1780000000000002,1.1168,1.9140000000000001,1.0111999999999999,0.6859999999999999,0.7436,0.4684,12.60622
2024-05-07,2.7864,1.5650199999999999,1.0776000000000001,1.1560000000000001,1.1188,1.9140000000000001,1.0016,0.6508,0.7228,0.4684,12.461419999999999
2024-05-08,2.7872,1.53302,1.0844,1.15,1.1164,1.916,0.9608,0.6508,0.72,0.4684,12.38702
2024-05-09,2.784,1.55822,1.0776000000000001,1.1320000000000001,1.1424,1.916,0.9483999999999999,0.6348,0.698,0.4684,12.359820000000001
2024-05-10,2.786,1.56342,1.0792,1.1228,1.1504,1.916,0.9348000000000001,0.6284,0.692,0.4184,12.29142
2024-05-13,2.7672,1.57782,1.0616,1.0724,1.1424,1.9307999999999998,0.924,0.6355999999999999,0.6832,0.4184,12.21342
2024-05-14,2.768,1.5978200000000002,1.06,1.0728,1.1523999999999999,1.9175999999999997,0.8752,0.6332,0.7444000000000001,0.4184,12.23982
2024-05-16,2.7652,1.5978200000000002,1.0616,1.0724,1.1388,1.9183999999999999,0.8724000000000001,0.6344,0.772,0.4184,12.25142
2024-05-17,2.7768,1.6014199999999998,1.06,1.0576,1.122,1.9368,0.8884,0.6008,0.7568,0.4184,12.21902
2024-05-20,2.7692,1.6002200000000002,1.06,1.0576,1.122,1.9368,0.8884,0.604,0.762,0.4184,12.21862
2024-05-21,2.7688,1.59622,1.0608,1.0576,1.122,1.9364,0.8884,0.6056,0.7528,0.4184,12.20702
2024-05-22,2.7732,1.60902,1.06,1.0576,1.122,1.9,0.9036000000000001,0.6072,0.7707999999999999,0.4184,12.22182
2024-05-23,2.7676,1.60902,1.06,1.0588,1.1152,1.8852,0.9208,0.602,0.7572,0.4184,12.19422
2024-05-24,2.7720000000000002,1.60902,1.06,1.3412,1.1148,1.8852,0.9208,0.602,0.7216,0.4184,12.44502
2024-05-27,2.7996,1.60902,1.06,1.3412,1.1148,1.8852,0.9119999999999999,0.602,0.7504000000000001,0.4184,12.49262
2024-05-28,2.802,1.60902,1.06,1.3416000000000001,1.1136,1.9220000000000002,0.9252,0.5988,0.7504000000000001,0.4184,12.54102
2024-05-29,2.7992,1.60902,1.06,1.3416000000000001,1.1136,1.9092000000000002,0.9431999999999999,0.5976,0.7448,0.4184,12.536620000000001
2024-05-30,2.78,1.60742,1.06,1.3356,1.1136,1.9276000000000002,0.9768000000000001,0.602,0.7343999999999999,0.4184,12.55582
2024-05-31,2.776,1.60742,1.06,1.336,1.1136,1.9212,1.0276,0.612,0.7372,0.4184,12.609419999999998
2024-06-03,2.7772,1.60742,1.06,1.336,1.1136,1.9212,1.0316,0.6068,0.738,0.4184,12.61022
2024-06-04,2.8112000000000004,1.60182,1.06,1.336,1.1152,1.8731999999999998,1.0624,0.5992,0.7472000000000001,0.4184,12.62462
2024-06-05,2.8132,1.60702,1.06,1.3259999999999998,1.1152,1.8812,1.0628,0.5992,0.7476,0.4184,12.63062
2024-06-06,2.814,1.60702,1.06,1.3256000000000001,1.1152,1.8872,1.0619999999999998,0.6015999999999999,0.7464000000000001,0.4184,12.637419999999999
2024-06-07,2.8152,1.60702,1.06,1.3276,1.1152,1.8976,1.0635999999999999,0.6015999999999999,0.7464000000000001,0.4184,12.65262
