date,SDICS INTERNATIONAL SECURITIES (HONG,CHINA MERCHANTS BANK CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,YUE XIU SECURITIES CO LTD
2024-03-04,100.0,0.0,0.0,0.0,0.0
2024-03-05,99.06851750823382,0.0,0.0,0.0,0.9314824917661797
2024-03-06,99.06951839241874,0.0,0.0,0.0,0.930481607581253
2024-03-07,99.06952779293205,0.0,0.0,0.0,0.9304722070679518
2024-03-11,99.06953719325541,0.0,0.0,0.0,0.9304628067445925
2024-03-12,99.06954659338884,0.0,0.0,0.0,0.9304534066111694
2024-03-15,99.06955599333233,0.0,0.0,0.0,0.9304440066676769
2024-03-18,99.0695653930859,0.0,0.0,0.0,0.9304346069141091
2024-03-25,99.06957479264953,0.0,0.0,0.0,0.9304252073504602
2024-03-26,99.06966877784176,0.0,0.0,0.0,0.9303312221582473
2024-03-27,99.06969696969698,0.0,0.0,0.0,0.9303030303030303
2024-03-28,99.06979093020907,0.0,0.0,0.0,0.9302090697909302
2024-04-02,99.06980972003393,0.0,0.0,0.0,0.9301902799660647
2024-04-03,99.06981911466171,0.0,0.0,0.0,0.9301808853382889
2024-04-05,99.06984729740648,0.0,0.0,0.0,0.9301527025935202
2024-04-08,99.0699224430441,0.0,0.0,0.0,0.9300775569558896
2024-04-09,99.06996001130993,0.0,0.0,0.0,0.9300399886900675
2024-04-11,99.06996940290217,0.0,0.0,0.0,0.9300305970978199
2024-04-19,97.9758136190695,0.0,0.0,1.1044647939364283,0.9197215869940782
2024-04-22,97.97579340510096,0.0,0.0,1.104475823363758,0.9197307715352814
2024-04-23,97.97094213390584,0.0,0.0,1.1093913824953818,0.9196664835987818
2024-04-25,90.7471466360828,7.37342533158216,0.0,1.027580976340665,0.8518470559943765
2024-04-26,89.06438438803444,7.236549312460869,1.8545268861930302,1.0085055552112425,0.8360338581004091
2024-04-29,89.06357591718765,7.236483623586571,1.8545100519564002,1.0084964006277821,0.8369340066415978
2024-04-30,79.80235868239122,6.484749898332655,1.6616531110207402,0.9036193574623831,0.7498983326555511
2024-05-02,89.0556906890863,7.236603088771531,1.8543080649527106,1.0174629452543442,0.8359352119351037
2024-05-03,89.03548767625776,7.234961406090656,1.8538873999807761,1.0399179444851239,0.8357455731856885
2024-05-06,89.04495964237195,7.2346988059820605,1.844746113045095,1.0398801996306837,0.8357152389702092
2024-05-07,89.04474809810303,7.234239301658637,1.8446289459262841,1.0398141527280569,0.836569501584004
2024-05-08,89.04565544029562,7.234239301658637,1.8446289459262841,1.0398141527280569,0.8356621593913967
2024-05-13,89.04494689774106,7.23410802542989,1.8445954723402773,1.0397952837254052,0.8365543207633712
2024-05-14,89.04239869181924,7.232795525137536,1.8442608032852656,1.0441424369037131,0.8364025428542341
2024-05-16,89.03270665074682,7.232008253541891,1.8440600601368744,1.0549135330326376,0.8363115025417814
2024-05-17,89.03119100782794,7.2318114624211685,1.8440098811778365,1.05760594069774,0.8353817078753162
2024-05-20,89.02583714196037,7.231155569360424,1.843842637702078,1.0638587084986553,0.8353059424784837
2024-05-22,89.02593667182258,7.231089986597815,1.8438259150229932,1.0638490598619386,0.835298366694668
2024-05-23,89.02603619987947,7.231024405024796,1.843809192647237,1.0638394114002363,0.8352907910482675
2024-05-24,89.02633477321848,7.230827667442963,1.843759027339861,1.0638104670651694,0.8352680649335217
2024-05-27,89.02935399917124,7.227003382086132,1.8437088647621485,1.0637815243050612,0.836152229675419
2024-05-28,89.03065880805791,7.226741227821884,1.8436419855709572,1.0637429364079645,0.8352150421412919
2024-05-30,89.03085775686573,7.226610157821721,1.843608547794824,1.063723643509208,0.8351998940085086
2024-05-31,79.88125254168361,6.481496543310289,1.653519723464823,0.9540463603090688,0.7490849938999593
2024-06-03,89.03211568373366,7.226709290230769,1.8429400468906645,1.0633379324436392,0.8348970467012717
2024-06-05,89.03420321400921,7.225333822182332,1.8425892779517357,1.0631355460887952,0.8347381397679288
2024-06-06,89.03470012790808,7.2250064069593165,1.842505781217299,1.0630873702161663,0.8347003136991382
2024-06-07,89.0357931799775,7.2242861979092385,1.8423221150357474,1.0629813986637653,0.8346171084137491
2024-06-12,89.03599189330524,7.224155266235427,1.8422887251185134,1.0629621333785946,0.8346019819622214
2024-06-13,89.03609124726806,7.224089802178242,1.842272030613757,1.0629525009978773,0.8345944189420673
2024-06-17,89.03732216361317,7.2202949158078695,1.8413042667554804,1.0669226556474751,0.8341559981759971
2024-06-19,89.03742145243675,7.220229521695343,1.841287590087862,1.0669129925435417,0.8341484432365041
2024-06-20,89.03206325596837,7.218987258582571,1.840970790788574,1.0739737692773368,0.8340049253831595
2024-06-24,89.03216257443127,7.218921888154658,1.840954120160956,1.0739640440731844,0.8339973731799349
2024-06-25,89.03325495881914,7.218202891577491,1.8407707631816692,1.0738570784509411,0.8339143079707562
2024-06-26,89.036828514088,7.215850812918047,1.8401709410799576,1.0735071580683397,0.8336425738456501
2024-06-27,89.03751099512397,7.214805936585232,1.8399044789378598,1.0733517110875672,0.8344268782653769
2024-07-02,89.03700284534243,7.214544764781926,1.8398378754595546,1.0733128563762375,0.8353016580398543
2024-07-05,89.03002630463439,7.212586578803151,1.8348148034720573,1.0893068540992217,0.8332654589911819
2024-07-08,89.0301255534668,7.212521324244067,1.834798203320406,1.089296998794513,0.833257920174208
2024-07-10,89.03042328918913,7.212325567651163,1.8347484046676465,1.089267433950326,0.8332353045417363
2024-07-11,89.0333997577535,7.210368586001452,1.8342505667752647,1.0889718737513483,0.8330092157184317
2024-07-15,89.03198764025461,7.210107735352597,1.8341842088013556,1.0889324778430165,0.8347879377484255
2024-07-16,89.03208683723847,7.210042525639368,1.8341676200580723,1.0889226293113146,0.8347803877527769
2024-07-17,89.03299125802693,7.210042525639368,1.8341676200580723,1.0889226293113146,0.8338759669643123
2024-07-18,89.03377291147595,7.20893414095641,1.8338856573250066,1.0887552315242748,0.8346520587183601
2024-07-19,89.04053669633171,7.205676160218824,1.8330568573901374,1.088263183254323,0.8324671028050096
2024-07-22,89.04063575507439,7.205611030640771,1.8330402890324966,1.0882533468253248,0.8324595784270133
2024-07-23,89.04103197213865,7.205350524101804,1.8329740185969354,1.0882140028874276,0.8324294822751834
2024-07-24,89.0426290581166,7.2048946829806795,1.8328580568642154,1.0872413827929952,0.8323768192455101
2024-07-25,89.04173771575459,7.205480775016704,1.8330071532157317,1.0873298259339055,0.8324445300790748
2024-07-26,89.04352025548728,7.204308686282065,1.8327089847656481,1.0871529540388014,0.8323091194262145
