date,NANYANG COMMERCIAL BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,10.984339902715485,7.058606686491503,5.488175195722773,0.0,3.802444154618545,2.8035857987802437,0.6528715923418394,0.45199351232577706,0.0,31.24201684299617
2024-03-04,0.0,11.002866118555122,7.041113291047106,5.464904461192495,0.0,3.8252307545885538,2.80448951662608,0.6525488359683266,0.45199351232577706,0.7420556334709165,31.985202123774375
2024-03-05,0.0,11.030687717951933,7.068095723872782,5.434339432620826,4.970198984177892,3.845261983397883,2.8146886180290864,0.6522260795948137,0.45199351232577706,0.7081662142520648,36.97565826622306
2024-03-06,0.0,11.013452527606345,7.075030467314079,5.451639174241116,4.96841543245786,3.944145499063769,2.8016860547657467,0.6517742206718957,0.45199351232577706,0.7058423683627721,37.06397925680936
2024-03-07,0.0,11.032817910017117,7.09572237841999,5.444603085298535,4.9681572273590495,3.913333884622736,2.8016860547657467,0.6435762087846687,0.45199351232577706,0.7109741947016268,37.062864456295245
2024-03-08,0.0,11.064577137170783,7.136953214110766,5.409067608574768,4.96709794094118,3.9876159412303505,2.8016860547657467,0.643382554960561,0.45273585198485666,0.7109741947016268,37.174090498440634
2024-03-11,0.0,11.076454571716058,7.198739434961456,5.350551878056884,4.966876530068951,3.9960808726384722,2.819147174572793,0.6275029413837276,0.4559634157199854,0.7116842587233552,37.20300107784168
2024-03-12,0.0,11.125061681567097,7.1768565528372825,5.308303068764049,4.966876530068951,4.062974713100004,2.818275732364308,0.627438390109025,0.4559634157199854,0.6968374655417631,37.23858755007247
2024-03-13,0.0,11.128579726038387,7.085673358730666,5.23962051248051,4.9659547378661975,4.258920430216043,2.819114898935442,0.6278256977572405,0.4552210760609058,0.6968374655417631,37.27774790362716
2024-03-14,0.0,11.119316618118567,7.070286916892561,5.237845352426189,4.9659547378661975,4.270178495280545,2.8211482640885728,0.6278256977572405,0.4552139754206885,0.6968374655417631,37.26460752339232
