date,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA MERCHANTS BANK CO LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,18.926320589575578,16.109163234031655,6.46355249943069,0.0,0.0,4.851107766220573,6.367295957747091,0.0,2.0485551790971535,54.76599522610274
2024-03-04,20.145510211129615,12.013166761172974,6.708477163972304,8.820419204942626,3.6370930312866943,4.839290285243897,6.277477018076725,6.441922297071937,1.9662683039851303,70.84962427688191
2024-03-05,20.330377735319193,11.958408532488972,6.751800985270894,8.820536209704771,3.6334658836601896,4.842800428108256,6.17191344959304,6.4647382256902715,1.9662381167564968,70.94027956659208
2024-03-06,20.531625926209113,11.8967470228384,6.785733302331128,8.820536209704771,3.62773265031507,4.839290285243897,6.144954382347141,6.450112630422107,1.9662591776136829,71.06299158702531
2024-03-07,20.531625926209113,11.87276104659861,6.768465271514676,8.820536209704771,3.6296047265093954,4.8030188089788535,6.0607093155358545,6.444730411363424,2.117794853182354,71.04924656959705
2024-03-08,20.531625926209113,11.863400665626987,6.756296776251563,8.820887223991207,3.6296047265093954,4.806411947081068,6.030497281892791,6.440050220877612,2.083233050501778,70.96200781894152
2024-03-11,21.25123936206932,12.322980970015344,7.117473897242274,9.12726527570723,3.7568188272067835,4.972813195192687,6.3257141262561865,6.624228448223003,2.069704772945977,73.56823887485882
2024-03-12,21.25123936206932,12.390436825298996,7.278496715770598,9.12726527570723,3.756455510212437,4.976446365136152,6.275349186809249,6.625802821865172,2.1008688936643654,73.78236095653352
2024-03-13,21.25123936206932,12.390194613969433,7.244550797932163,9.12726527570723,3.756334404547655,5.004906196359955,6.245571968163946,6.630283731462111,2.149247457997546,73.79959380820937
2024-03-14,21.25123936206932,12.402910708771557,7.2966262337884835,9.127628592701576,3.756334404547655,4.902802010382132,6.16834530784567,6.630889259786022,2.2388268961235998,73.77560277601603
2024-03-15,21.25123936206932,12.317460489391916,7.321574000733605,9.127628592701576,3.730902214943406,4.922421128076839,6.215932809976494,6.62180633492736,2.2515018149996986,73.76046674782022
2024-03-18,21.25123936206932,12.373774623515612,7.333719445643276,9.127628592701576,3.743981626739877,4.909826138939496,6.057489784319361,6.618778693307807,2.3259566088624406,73.74239487609877
2024-03-19,21.25123936206932,12.389276148607726,7.303634860820756,9.13005070599722,3.7399851398020663,4.909220610615585,6.020511138423452,6.5267383880733805,2.3895474979602356,73.66020385236975
2024-03-20,21.25099715073976,12.393757058204665,7.328934803039064,9.127628592701576,3.736957498182513,4.902802010382132,5.997764830252741,6.562827876178458,2.3679802745418432,73.66965009422275
2024-03-21,21.25099715073976,12.442950179239169,7.626082084261819,9.127628592701576,3.7413173021146697,4.903165327376478,5.954668652806028,6.569201182893283,2.4378424993847165,74.0538529715175
