date,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,GRANSING SECURITIES CO LTD,GRAND CHINA SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,USMART SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,KGI ASIA LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,16.847361710810556,46.98243226906134,23.886246570227797,0.0,0.0,0.0,12.283959449900303
2024-03-06,0.0,0.0,0.0,16.622737175550505,47.14254766023013,23.967650523331873,0.45159988892825187,0.0,0.0,11.815464751959244
2024-03-07,0.0,0.0,0.0,16.627219300177202,47.13621704004283,23.964431985094638,0.4582535832566126,0.0,0.0,11.813878091428716
2024-03-08,0.0,0.0,0.0,15.092643283578427,43.10922140800535,21.93425939724552,0.41943213889315517,8.622172759957463,0.0,10.822271012320094
2024-03-11,0.0,0.0,0.0,14.90402282656555,43.08803751615349,21.92348089177162,0.6925675436382528,8.574938278660763,0.0,10.816952943210318
2024-03-12,0.0,0.0,0.0,14.89487002642074,42.92852120050847,22.168346010914206,0.6779090174864527,8.61541256986169,0.0,10.714941174808446
2024-03-13,0.0,0.0,1.2623253803422967,14.635243302713524,35.62004790569177,19.128248738453276,0.8073305896365894,7.391447407787425,12.258244054890255,8.897112620484862
2024-03-14,0.0,0.0,1.2657584021965687,14.558127887914448,35.67625330073747,19.12943627946788,0.8171512576429655,7.411549198404005,12.291581592414872,8.850142081221792
2024-03-15,0.0,0.0,1.2640395603263024,14.766799502185432,35.62526835260037,19.027312420693534,0.8160416037046309,7.357065593585918,12.27489018822891,8.868582778674899
2024-03-18,0.0,0.0,1.2645852281545846,14.80872470741064,35.64064727223554,18.928874473534268,0.8163938772122469,7.3500842226776015,12.280189083043314,8.910501135731803
2024-03-19,0.0,0.0,1.2640716453979262,15.041310346820804,35.62617262753178,19.0074890184807,0.8160623172599062,7.21510773502732,12.27520176133408,8.754584548147484
2024-03-20,0.0,0.0,1.2803866500293106,14.243015952810989,36.07827609075678,19.165397188263846,0.8265949959526573,7.34422583495728,12.433634215947281,8.62846907128186
2024-03-21,0.0,0.0,1.279761485352598,14.194944788587177,36.06066042457648,19.156039445165703,0.8261914006844584,7.340639925521479,12.51236681161004,8.629395718502057
2024-03-22,0.0,0.0,1.2932881083726353,13.415267160293054,36.44180875963708,19.25723035943583,0.8349239494815306,7.41822787463139,12.558918257208965,8.780335530939517
2024-03-25,0.0,0.0,1.4340082971603172,13.427591278890198,36.44892018119851,18.951992964500704,0.835205919451163,7.548027368476995,12.563159646861038,8.791094343461074
2024-03-26,0.0,0.0,1.4432315413128836,12.9779720347678,36.68335208134464,19.113106503634363,0.8431923407126901,7.59657471609526,12.659650585211924,8.682920196920445
2024-03-27,0.0,0.0,1.4469389735696052,13.055871906896396,36.77496451141338,18.86862321322164,0.8453583677105031,7.6213316406768605,12.692171213811646,8.694740172699964
2024-03-28,0.0,0.0,1.5683882733230854,18.437099317233084,34.234929239239094,17.07978640856736,0.7939508288750612,7.128483248501892,11.810475924464042,8.946886759796389
2024-04-02,0.0,0.0,1.5619496008357936,18.458576250934662,34.072522844264434,16.96351507696903,0.7542540451936453,7.308126553832792,11.761990617802352,9.119065010167294
2024-04-03,0.0,0.0,1.5318094237660214,18.159564984467245,33.41504204514616,16.760057261680597,0.7254058624210785,7.293366331041485,11.537407526125726,10.577346565351688
2024-04-05,0.0,0.0,1.5312622382465495,18.238809746766346,33.42692002892764,16.623091430385248,0.7370539078340701,7.285998161610137,11.580914874950187,10.575949611279823
2024-04-08,0.0,0.0,1.535650699697717,17.75372222220514,33.713779350441186,16.754320806548346,0.7439427573185674,7.285384851365297,11.614104747480557,10.599094564943186
2024-04-09,0.0,0.0,1.5490802668678632,17.908982012175706,34.00861297662672,16.900840634726723,0.7504486829383195,7.349096973686496,11.715672376016203,9.817266076961964
2024-04-10,0.0,0.0,1.5481478386924696,18.013771527429835,33.9809193005999,16.873813753162135,0.7788893092021989,7.344673377809298,11.660466536217154,9.799318356887015
