date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,TAI FUNG KUENTAI SECURITIES CO LTD,HANG SENG SECURITIES LTD
2024-03-01,27.80774182083161,20.286523316891973,17.885936133290446,12.581010961194966,0.0,5.769176523018963,3.386629902961285,4.027242883921126,3.611068947399216,4.644669510490411
2024-03-04,27.60152672200687,20.39494083320944,17.872854037125702,12.518498676720085,0.0,5.859195961368081,3.4572663909080212,4.03193390462114,3.610579195251567,4.653204278789093
2024-03-05,27.554067652423463,20.38254486706017,17.864000773621893,12.51829927415743,0.0,5.879584420530903,3.512198854774439,4.029830921662185,3.608695983200181,4.650777252569338
2024-03-06,27.54807437274296,20.064233948606063,17.87205059406048,12.546245065789039,0.0,6.167051127051297,3.471353988699863,4.0612109012406,3.6102273621393963,4.659552639670303
2024-03-07,27.461789097142216,20.041822541439387,17.887523632125035,12.597290474347522,0.0,6.221983403987641,3.4164795183220997,4.078014539724197,3.6143241420774546,4.680772650834445
2024-03-08,27.519505393852956,20.179774006519363,17.875722501655023,12.59411512825453,0.0,6.043531554695343,3.418197262160319,4.076923419360579,3.611797392406524,4.680433341095366
2024-03-11,27.552127284580603,20.16632989650768,17.8658121738363,12.597672285473768,0.0,6.052825195201259,3.3885151012691934,4.080519430755152,3.613423420113049,4.682775212262995
2024-03-12,27.53063489947935,20.274423837938933,17.842218439397605,12.588412531921241,0.0,5.993966823085706,3.3890288124895767,4.075773298735876,3.620944154130596,4.68459720282111
2024-03-13,27.549467925671344,20.279945406241172,17.86288148025422,12.612129944210709,0.0,5.878379081861502,3.4353606694449654,4.077125729936298,3.6210927366955694,4.683617025684218
2024-03-14,27.516326669207743,20.331884916754557,17.840206787305007,12.586549100033901,0.0,5.870435326860606,3.4879391477926243,4.06914620251177,3.617137208394582,4.680374641139213
2024-03-15,27.016944022203624,20.38221813679891,17.98298777181991,12.712791071072916,0.0,5.857204701657589,3.5520180950553057,4.116719612514977,3.650495670350034,4.728620918526726
2024-03-18,27.231149924487863,20.295419046610398,18.00719062303809,12.73955216218953,0.0,5.712452794043604,3.511427340846005,4.122523353331768,3.649460264606689,4.730824490846058
2024-03-19,27.425656008374816,20.2638271799344,17.950409484246276,12.649721965297845,0.0,5.706348961621545,3.5030825435819937,4.126878106866558,3.6449576153067667,4.729118134769802
2024-03-20,27.43889379605211,20.43489055705279,17.88994719349343,12.584305164281972,0.0,5.71198419625337,3.48495776947138,4.116537382179128,3.6313591786475508,4.707124762568267
2024-03-21,27.592504873455333,20.214711486465042,17.87826935446039,12.595539064689266,0.0,5.763059218520465,3.5056361405897554,4.1123262625877155,3.6280588707208765,4.70989472851116
2024-03-22,27.686926572455622,20.084468183446948,17.877209541945255,12.612899901159007,0.0,5.7437010021395425,3.5213155852658202,4.129097102665911,3.628141977752783,4.716240133169107
2024-03-25,27.756643663650728,20.14177073406284,17.879924638357572,12.599110626880893,0.0,5.610120851642151,3.5282361955135317,4.136886950895966,3.632761066377451,4.71454527261887
2024-03-26,27.77733599864839,19.9921691876091,17.873069917488678,12.599771608113604,0.0,5.559180820798671,3.7055923921405705,4.141068993765904,3.6276716393294954,4.724139442105586
2024-03-27,27.89625663816348,19.96797945711821,17.86823631940726,12.652410894065417,0.0,5.4159284450053535,3.7092377639151706,4.141471597328068,3.6260713809516685,4.722407504045368
