date,GLORY SUN SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,LEHIN SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,WANHAI SECURITIES (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD,VALUABLE CAPITAL LTD,DBS BANK (HONG KONG) LTD
2024-03-05,0.0,73.76899713960869,0.0,0.0,0.0,7.142152342298344,0.0,19.088850518092972,0.0,0.0
2024-03-07,0.0,48.776102410755364,33.87994374053097,0.0,0.0,4.72239514686465,0.0,12.62155870184902,0.0,0.0
2024-03-12,0.0,48.77853917269532,33.876640507418905,0.0,0.0,4.722631068805735,0.0,12.622189251080046,0.0,0.0
2024-03-13,0.0,48.7774315234499,33.87814201792923,0.0,0.0,4.722523828637652,0.0,12.621902629983218,0.0,0.0
2024-03-14,0.0,48.423365455713046,34.35810796767203,0.0,0.0,4.688243929315862,0.0,12.530282647299071,0.0,0.0
2024-03-15,0.0,48.392761737069485,34.39955379494537,0.0,0.0,4.685291850359604,0.0,12.522392617625538,0.0,0.0
2024-03-18,0.0,48.394942286463085,34.3965978774061,0.0,0.0,4.685502966855883,0.0,12.522956869274932,0.0,0.0
2024-03-21,0.0,35.701473611282275,25.37474317397001,26.228915823568194,0.0,3.4565463377684624,0.0,9.238321053411058,0.0,0.0
2024-03-22,0.0,35.70206699421693,25.375164919574534,26.22768969764136,0.0,3.456603787935142,0.0,9.238474600632038,0.0,0.0
2024-03-25,0.0,35.70123565632286,25.375755386974014,26.22830000286614,0.0,3.456019378520455,0.0,9.238689575316533,0.0,0.0
2024-03-26,0.0,35.70107534877012,25.375818652968103,26.22836539439627,0.0,3.4560279949536707,0.0,9.238712608911836,0.0,0.0
2024-03-28,0.0,35.70166875023536,25.376240434324078,26.22713920735175,0.0,3.456085438939771,0.0,9.238866169149041,0.0,0.0
2024-04-02,0.0,35.70226217142724,25.37666222970147,26.225912979544685,0.0,3.4561428848355016,0.0,9.239019734491102,0.0,0.0
2024-04-03,0.0,35.74325592979169,25.405800012471246,26.256025882038326,0.0,3.345290089817985,0.0,9.249628085880756,0.0,0.0
2024-04-05,0.0,32.85169101646762,23.350516631033134,24.13196076181095,0.0,3.0746621574435884,0.0,8.5013498627954,0.0,8.08981957044931
2024-04-08,0.0,32.85370094595139,23.35194526043959,24.12731900961427,0.0,3.0748502711732524,0.0,8.501869991690212,0.0,8.090314521131296
2024-04-09,0.0,32.854228593195,23.350714253470898,24.127706506699976,0.0,3.0748996548415577,0.0,8.502006536071438,0.0,8.090444455721132
2024-04-10,0.0,32.84822446605393,23.392249223766047,24.095769881972775,0.0,3.0743377153511404,0.0,8.50045279001248,0.0,8.088965922843633
2024-04-12,0.0,32.79806661241162,23.5092260288677,24.058976657413933,0.0,3.0696433312959845,0.0,8.487472957042346,0.0,8.076614412968421
2024-04-15,0.0,32.7380790129956,23.64912750422677,24.01497283636132,0.0,3.0640289596720747,0.0,8.471949385674007,0.0,8.061842301070232
2024-04-17,0.0,30.210934709571173,21.878438812559068,22.16118960808419,0.0,2.8275079552512286,0.0,7.524718380320178,7.957684491778659,7.4395260424355
2024-04-19,0.0,30.208612500252325,21.88109795349218,22.161033759456494,0.0,2.827488070793651,0.0,7.524665462717192,7.957628529340289,7.439473723947869
2024-04-22,0.0,30.1822926251814,21.951971204136626,22.14172550291255,0.0,2.822214013416937,0.0,7.518109443140736,7.950695281785429,7.432991929426319
2024-04-23,0.0,30.16973081740446,21.979998854565103,22.13457131559492,0.0,2.821302131111297,0.0,7.515680275494176,7.948126341828882,7.430590264001166
2024-04-24,0.0,30.13675513934475,22.031755446683217,22.125883643012337,0.0,2.8201947887181626,0.0,7.512730420783285,7.945006754902248,7.427673806555999
2024-04-25,0.0,30.130408456510192,22.048175254225846,22.121224018402213,0.0,2.8196008667191643,0.0,7.5111482691222395,7.943333567534906,7.426109567485442
2024-04-26,0.0,30.06609160344714,22.123232098272634,22.116255914884118,0.0,2.8189676255850427,0.0,7.5094613750285975,7.941549610941482,7.424441771840982
2024-04-29,0.0,30.06852924867284,22.133877296428604,22.110204055033442,0.0,2.818196247416003,0.0,7.507406497025257,7.939376496946618,7.422410158477239
2024-04-30,0.0,6.291363923396973,4.677039747410664,4.649045412965859,0.0,0.5926111717666499,0.0,1.5786597420992063,1.6694945262474548,1.560786685945292
2024-05-03,0.0,29.921954857174654,22.254608541705053,22.121403996073465,0.0,2.819802772129389,0.0,7.511686125912692,7.943902372163049,7.426641334841699
2024-05-06,0.0,29.833226716713607,22.256166718033253,22.120161661896816,0.0,2.909500132461371,0.0,7.511264270934584,7.943456243996199,7.426224255964171
2024-05-07,0.0,29.79368310481571,22.241836793779633,22.145034887564425,0.0,2.9127717474920747,0.0,7.519710383314577,7.95238833874115,7.434574744292431
2024-05-09,0.0,29.805413347762226,22.250593755725227,22.15375373707277,0.0,2.8745469744621834,0.0,7.522671011893911,7.955519319455763,7.437501853627916
2024-05-10,0.0,29.798709221014953,22.268081916949686,22.14877069686969,0.0,2.873900403081577,0.0,7.5209789387341335,7.953729885796992,7.435828937552971
2024-05-13,0.0,29.767741824513,22.34886243365869,22.125753264835517,0.0,2.8709137900498094,0.0,7.5131629915683975,7.945464215454829,7.428101479919756
2024-05-14,0.0,29.857559475855506,22.0964338038724,22.200891845369767,0.0,2.8806633513161994,0.0,7.538677530926753,7.9724468404388915,7.453327152220486
2024-05-16,0.0,29.842000624275272,22.137029554003842,22.18932290312416,0.0,2.879162230182304,0.0,7.534749106538624,7.968292377740023,7.449443204135776
2024-05-17,0.0,29.867434116115692,22.121624767666553,22.187291766398214,0.0,2.8788986812596433,0.0,7.534059400696861,7.967562986790955,7.443128281072081
2024-05-20,0.0,62.60970580424326,46.3705627194665,46.490454129658595,0.0,6.032340877570893,0.0,15.786597420992063,16.69494526247455,15.596063619463543
2024-05-21,67.5753243760548,7.914230607387315,5.851422024499827,5.8777719502604135,2.4759715388867,0.7626667596257327,3.4630584859863167,1.9970132323708738,2.110736124479034,1.9718049004489882
2024-05-23,67.578097624874,7.910451465317463,5.851662163180181,5.87801317032515,2.4760731512016987,0.7626980589899622,3.463200607728916,1.9970951885381543,2.110822747762295,1.9718858220821782
2024-05-24,67.57879097264554,7.910532626138618,5.850696206124162,5.878073478434966,2.476098555583619,0.7627058842324319,3.463236139987268,1.9971156786310569,2.1108444046940478,1.9719060535282904
